	corr	w	p
0	-0.023019133062313492	0.0	-30.0
1	-0.07010619673357835	0.2	-30.0
2	-0.07162159211277874	0.4	-30.0
3	-0.071360725102842	0.6	-30.0
4	-0.07105038073491657	0.8	-30.0
5	-0.07080333203202469	1.0	-30.0
6	-0.023017962217908472	0.0	-29.9
7	-0.07010467669128664	0.2	-29.9
8	-0.07162132533060483	0.4	-29.9
9	-0.07136067463818536	0.6	-29.9
10	-0.07105037587830695	0.8	-29.9
11	-0.07080333203202469	1.0	-29.9
12	-0.023016783556547602	0.0	-29.799999999999997
13	-0.07010314597676345	0.2	-29.799999999999997
14	-0.07162105663195821	0.4	-29.799999999999997
15	-0.07136062380043805	0.6	-29.799999999999997
16	-0.07105037098114618	0.8	-29.799999999999997
17	-0.07080333203202469	1.0	-29.799999999999997
18	-0.02301559700399308	0.0	-29.699999999999996
19	-0.07010160447913902	0.2	-29.699999999999996
20	-0.07162078599683926	0.4	-29.699999999999996
21	-0.07136057258576621	0.6	-29.699999999999996
22	-0.07105036604305075	0.8	-29.699999999999996
23	-0.07080333203202469	1.0	-29.699999999999996
24	-0.02301440248509269	0.0	-29.599999999999994
25	-0.07010005208601569	0.2	-29.599999999999994
26	-0.07162051340497291	0.4	-29.599999999999994
27	-0.07136052099028495	0.6	-29.599999999999994
28	-0.0710503610636326	0.8	-29.599999999999994
29	-0.07080333203202469	1.0	-29.599999999999994
30	-0.02301319992376566	0.0	-29.499999999999993
31	-0.07009848868344189	0.2	-29.499999999999993
32	-0.07162023883580391	0.4	-29.499999999999993
33	-0.07136046901005705	0.6	-29.499999999999993
34	-0.07105035604249951	0.8	-29.499999999999993
35	-0.07080333203202469	1.0	-29.499999999999993
36	-0.02301198924298817	0.0	-29.39999999999999
37	-0.07009691415588488	0.2	-29.39999999999999
38	-0.07161996226849189	0.4	-29.39999999999999
39	-0.0713604166410923	0.6	-29.39999999999999
40	-0.07105035097925463	0.8	-29.39999999999999
41	-0.07080333203202469	1.0	-29.39999999999999
42	-0.02301077036477873	0.0	-29.29999999999999
43	-0.07009532838620353	0.2	-29.29999999999999
44	-0.0716196836819063	0.4	-29.29999999999999
45	-0.07136036387934658	0.6	-29.29999999999999
46	-0.07105034587349662	0.8	-29.29999999999999
47	-0.07080333203202469	1.0	-29.29999999999999
48	-0.02300954321018312	0.0	-29.19999999999999
49	-0.07009373125561992	0.2	-29.19999999999999
50	-0.07161940305462147	0.4	-29.19999999999999
