	corr	w	p
0	-0.005510572379409363	0.0	-30.0
1	-0.05996437499018596	0.2	-30.0
2	-0.06752008140771133	0.4	-30.0
3	-0.06954014240776255	0.6	-30.0
4	-0.07037240347247035	0.8	-30.0
5	-0.07080333203202469	1.0	-30.0
6	-0.005511007515921221	0.0	-29.9
7	-0.05996221858870964	0.2	-29.9
8	-0.06751934654640995	0.4	-29.9
9	-0.06953986190534511	0.6	-29.9
10	-0.07037230994868926	0.8	-29.9
11	-0.07080333203202469	1.0	-29.9
12	-0.005511449746454136	0.0	-29.799999999999997
13	-0.059960049122546655	0.2	-29.799999999999997
14	-0.06751860734430644	0.4	-29.799999999999997
15	-0.06953957980400799	0.6	-29.799999999999997
16	-0.07037221590867922	0.8	-29.799999999999997
17	-0.07080333203202469	1.0	-29.799999999999997
18	-0.00551189917845913	0.0	-29.699999999999996
19	-0.059957866472085924	0.2	-29.699999999999996
20	-0.0675178637626784	0.4	-29.699999999999996
21	-0.06953929609006712	0.6	-29.699999999999996
22	-0.07037212134819837	0.8	-29.699999999999996
23	-0.07080333203202469	1.0	-29.699999999999996
24	-0.005512355921228923	0.0	-29.599999999999994
25	-0.05995567051624118	0.2	-29.599999999999994
26	-0.06751711576233736	0.4	-29.599999999999994
27	-0.06953901074968115	0.6	-29.599999999999994
28	-0.07037202626295848	0.8	-29.599999999999994
29	-0.07080333203202469	1.0	-29.599999999999994
30	-0.005512820085934386	0.0	-29.499999999999993
31	-0.059953461132427825	0.2	-29.499999999999993
32	-0.06751636330362158	0.4	-29.499999999999993
33	-0.06953872376884887	0.6	-29.499999999999993
34	-0.07037193064862422	0.8	-29.499999999999993
35	-0.07080333203202469	1.0	-29.499999999999993
36	-0.005513291785661671	0.0	-29.39999999999999
37	-0.05995123819653977	0.2	-29.39999999999999
38	-0.06751560634638888	0.4	-29.39999999999999
39	-0.06953843513340727	0.6	-29.39999999999999
40	-0.07037183450081255	0.8	-29.39999999999999
41	-0.07080333203202469	1.0	-29.39999999999999
42	-0.005513771135450332	0.0	-29.29999999999999
43	-0.05994900158292546	0.2	-29.29999999999999
44	-0.06751484485000916	0.4	-29.29999999999999
45	-0.06953814482902887	0.6	-29.29999999999999
46	-0.07037173781509208	0.8	-29.29999999999999
47	-0.07080333203202469	1.0	-29.29999999999999
48	-0.005514258252332274	0.0	-29.19999999999999
49	-0.05994675116436386	0.2	-29.19999999999999
50	-0.06751407877335719	0.4	-29.19999999999999
51	-0.06953785284121954	0.6	-29.19999999999999
52	-0.0703716405869824	0.8	-29.19999999999999
53	-0.07080333203202469	1.0	-29.19999999999999
54	-0.005514753255371582	0.0	-29.099999999999987
55	-0.05994448681203957	0.2	-29.099999999999987
56	-0.06751330807480463	0.4	-29.099999999999987
57	-0.06953755915531588	0.6	-29.099999999999987
58	-0.07037154281195335	0.8	-29.099999999999987
59	-0.07080333203202469	1.0	-29.099999999999987
60	-0.0055152562657052664	0.0	-28.999999999999986
61	-0.05994220839551779	0.2	-28.999999999999986
62	-0.06751253271221261	0.4	-28.999999999999986
63	-0.06953726375648286	0.6	-28.999999999999986
64	-0.07037144448542451	0.8	-28.999999999999986
65	-0.07080333203202469	1.0	-28.999999999999986
66	-0.00551576740658502	0.0	-28.899999999999984
67	-0.059939915782718727	0.2	-28.899999999999984
68	-0.06751175264292351	0.4	-28.899999999999984
69	-0.06953696662971129	0.6	-28.899999999999984
70	-0.0703713456027642	0.8	-28.899999999999984
71	-0.07080333203202469	1.0	-28.899999999999984
