	corr	w	p
0	0.007842926121648056	0.0	-30.0
1	-0.058061621284601954	0.2	-30.0
2	-0.08109679521088092	0.4	-30.0
3	-0.09087415345012957	0.6	-30.0
4	-0.09601160717544255	0.8	-30.0
5	-0.0991175270881437	1.0	-30.0
6	0.007846298839642114	0.0	-29.9
7	-0.05805078097037783	0.2	-29.9
8	-0.08109067102107166	0.4	-29.9
9	-0.09087116071738156	0.6	-29.9
10	-0.09601045464062169	0.8	-29.9
11	-0.0991175270881437	1.0	-29.9
12	0.007849693169343409	0.0	-29.799999999999997
13	-0.05803986910064582	0.2	-29.799999999999997
14	-0.08108450536418267	0.4	-29.799999999999997
15	-0.09086814754308477	0.6	-29.799999999999997
16	-0.0960092942071798	0.8	-29.799999999999997
17	-0.0991175270881437	1.0	-29.799999999999997
18	0.007853109300867467	0.0	-29.699999999999996
19	-0.05802888497979908	0.2	-29.699999999999996
20	-0.08107829782549869	0.4	-29.699999999999996
21	-0.09086511372086653	0.6	-29.699999999999996
22	-0.0960081257950937	0.8	-29.699999999999996
23	-0.0991175270881437	1.0	-29.699999999999996
24	0.007856547426555784	0.0	-29.599999999999994
25	-0.05801782790323641	0.2	-29.599999999999994
26	-0.08107204798478283	0.4	-29.599999999999994
27	-0.0908620590415792	0.6	-29.599999999999994
28	-0.09600694932326023	0.8	-29.599999999999994
29	-0.0991175270881437	1.0	-29.599999999999994
30	0.007860007741009797	0.0	-29.499999999999993
31	-0.05800669715721653	0.2	-29.499999999999993
32	-0.08106575541618444	0.4	-29.499999999999993
33	-0.0908589832932532	0.6	-29.499999999999993
34	-0.09600576470947783	0.8	-29.499999999999993
35	-0.0991175270881437	1.0	-29.499999999999993
36	0.00786349044112595	0.0	-29.39999999999999
37	-0.05799549201870889	0.2	-29.39999999999999
38	-0.0810594196881447	0.4	-29.39999999999999
39	-0.09085588626104946	0.6	-29.39999999999999
40	-0.09600457187042773	0.8	-29.39999999999999
41	-0.0991175270881437	1.0	-29.39999999999999
42	0.007866995726131204	0.0	-29.29999999999999
43	-0.05798421175524196	0.2	-29.29999999999999
44	-0.08105304036330084	0.4	-29.29999999999999
45	-0.09085276772721036	0.6	-29.29999999999999
46	-0.09600337072165516	0.8	-29.29999999999999
47	-0.0991175270881437	1.0	-29.29999999999999
48	0.007870523797619287	0.0	-29.19999999999999
49	-0.057972855624748396	0.2	-29.19999999999999
50	-0.08104661699838803	0.4	-29.19999999999999
51	-0.09084962747101015	0.6	-29.19999999999999
52	-0.09600216117754974	0.8	-29.19999999999999
53	-0.0991175270881437	1.0	-29.19999999999999
54	0.007874074859587575	0.0	-29.099999999999987
55	-0.057961422875407134	0.2	-29.099999999999987
56	-0.0810401491441393	0.4	-29.099999999999987
57	-0.09084646526870416	0.6	-29.099999999999987
58	-0.09600094315132561	0.8	-29.099999999999987
59	-0.0991175270881437	1.0	-29.099999999999987
60	0.007877649118474708	0.0	-28.999999999999986
61	-0.05794991274548267	0.2	-28.999999999999986
62	-0.08103363634518397	0.4	-28.999999999999986
63	-0.09084328089347679	0.6	-28.999999999999986
64	-0.0959997165550012	0.8	-28.999999999999986
65	-0.0991175270881437	1.0	-28.999999999999986
66	0.007881246783198959	0.0	-28.899999999999984
67	-0.0579383244631606	0.2	-28.899999999999984
68	-0.08102707813994314	0.4	-28.899999999999984
69	-0.09084007411538886	0.6	-28.899999999999984
70	-0.09599848129937859	0.8	-28.899999999999984
71	-0.0991175270881437	1.0	-28.899999999999984
72	0.007884868065197226	0.0	-28.799999999999983
73	-0.05792665724638062	0.2	-28.799999999999983
74	-0.08102047406052379	0.4	-28.799999999999983
75	-0.09083684470132347	0.6	-28.799999999999983
76	-0.09599723729402232	0.8	-28.799999999999983
77	-0.0991175270881437	1.0	-28.799999999999983
78	0.007888513178464765	0.0	-28.69999999999998
79	-0.05791491030266548	0.2	-28.69999999999998
80	-0.08101382363261034	0.4	-28.69999999999998
81	-0.09083359241493096	0.6	-28.69999999999998
82	-0.095995984447238	0.8	-28.69999999999998
83	-0.0991175270881437	1.0	-28.69999999999998
84	0.007892182339595846	0.0	-28.59999999999998
85	-0.057903082828947225	0.2	-28.59999999999998
86	-0.0810071263753541	0.4	-28.59999999999998
87	-0.0908303170165727	0.6	-28.59999999999998
88	-0.0959947226660501	0.8	-28.59999999999998
89	-0.0991175270881437	1.0	-28.59999999999998
90	0.007895875767824844	0.0	-28.49999999999998
91	-0.057891174011389435	0.2	-28.49999999999998
92	-0.08100038180126036	0.4	-28.49999999999998
93	-0.09082701826326359	0.6	-28.49999999999998
94	-0.09599345185617963	0.8	-28.49999999999998
95	-0.0991175270881437	1.0	-28.49999999999998
96	0.007899593685068491	0.0	-28.399999999999977
97	-0.05787918302520619	0.2	-28.399999999999977
98	-0.08099358941607337	0.4	-28.399999999999977
99	-0.0908236959086135	0.6	-28.399999999999977
100	-0.09599217192202136	0.8	-28.399999999999977
101	-0.0991175270881437	1.0	-28.399999999999977
102	0.00790333631596862	0.0	-28.299999999999976
103	-0.05786710903447734	0.2	-28.299999999999976
104	-0.08098674871865863	0.4	-28.299999999999976
105	-0.09082034970276753	0.6	-28.299999999999976
106	-0.09599088276661993	0.8	-28.299999999999976
107	-0.0991175270881437	1.0	-28.299999999999976
108	0.00790710388793594	0.0	-28.199999999999974
109	-0.05785495119196002	0.2	-28.199999999999974
110	-0.08097985920088291	0.4	-28.199999999999974
111	-0.09081697939234465	0.6	-28.199999999999974
112	-0.09598958429164656	0.8	-28.199999999999974
113	-0.0991175270881437	1.0	-28.199999999999974
114	0.007910896631194344	0.0	-28.099999999999973
115	-0.057842708638896435	0.2	-28.099999999999973
116	-0.08097292034749184	0.4	-28.099999999999973
117	-0.09081358472037568	0.6	-28.099999999999973
118	-0.09598827639737416	0.8	-28.099999999999973
119	-0.0991175270881437	1.0	-28.099999999999973
120	0.00791471477882644	0.0	-27.99999999999997
121	-0.05783038050481763	0.2	-27.99999999999997
122	-0.08096593163598478	0.4	-27.99999999999997
123	-0.09081016542623926	0.6	-27.99999999999997
124	-0.09598695898265269	0.8	-27.99999999999997
125	-0.0991175270881437	1.0	-27.99999999999997
126	0.007918558566819663	0.0	-27.89999999999997
127	-0.05781796590734351	0.2	-27.89999999999997
128	-0.08095889253648715	0.4	-27.89999999999997
129	-0.09080672124559705	0.6	-27.89999999999997
130	-0.09598563194488369	0.8	-27.89999999999997
131	-0.0991175270881437	1.0	-27.89999999999997
132	0.00792242823411324	0.0	-27.79999999999997
133	-0.057805463951978574	0.2	-27.79999999999997
134	-0.08095180251162007	0.4	-27.79999999999997
135	-0.09080325191032715	0.6	-27.79999999999997
136	-0.09598429517999402	0.8	-27.79999999999997
137	-0.0991175270881437	1.0	-27.79999999999997
138	0.00792632402264631	0.0	-27.699999999999967
139	-0.057792873731903525	0.2	-27.699999999999967
140	-0.08094466101636726	0.4	-27.699999999999967
141	-0.09079975714845631	0.6	-27.699999999999967
142	-0.09598294858240962	0.8	-27.699999999999967
143	-0.0991175270881437	1.0	-27.699999999999967
144	0.00793024617740658	0.0	-27.599999999999966
145	-0.057780194327762754	0.2	-27.599999999999966
146	-0.08093746749793916	0.4	-27.599999999999966
147	-0.09079623668409065	0.6	-27.599999999999966
148	-0.09598159204502824	0.8	-27.599999999999966
149	-0.0991175270881437	1.0	-27.599999999999966
150	0.00793419494648021	0.0	-27.499999999999964
151	-0.057767424807447336	0.2	-27.499999999999964
152	-0.08093022139563408	0.4	-27.499999999999964
153	-0.09079269023734483	0.6	-27.499999999999964
154	-0.09598022545919171	0.8	-27.499999999999964
155	-0.0991175270881437	1.0	-27.499999999999964
156	0.00793817058110251	0.0	-27.399999999999963
157	-0.057754564225873564	0.2	-27.399999999999963
158	-0.0809229221406964	0.4	-27.399999999999963
159	-0.09078911752426984	0.6	-27.399999999999963
160	-0.0959788487146577	0.8	-27.399999999999963
161	-0.0991175270881437	1.0	-27.399999999999963
162	0.00794217333570941	0.0	-27.29999999999996
163	-0.05774161162475709	0.2	-27.29999999999996
164	-0.08091556915617193	0.4	-27.29999999999996
165	-0.09078551825677897	0.6	-27.29999999999996
166	-0.09597746169957083	0.8	-27.29999999999996
167	-0.0991175270881437	1.0	-27.29999999999996
168	0.007946203467990407	0.0	-27.19999999999996
169	-0.05772856603238208	0.2	-27.19999999999996
170	-0.08090816185676	0.4	-27.19999999999996
171	-0.09078189214257254	0.6	-27.19999999999996
172	-0.09597606430043293	0.8	-27.19999999999996
173	-0.0991175270881437	1.0	-27.19999999999996
174	0.00795026123894168	0.0	-27.09999999999996
175	-0.057715426463366006	0.2	-27.09999999999996
176	-0.08090069964866231	0.4	-27.09999999999996
177	-0.09077823888506063	0.6	-27.09999999999996
178	-0.09597465640207306	0.8	-27.09999999999996
179	-0.0991175270881437	1.0	-27.09999999999996
180	0.007954346912921224	0.0	-26.999999999999957
181	-0.057702191918419146	0.2	-26.999999999999957
182	-0.08089318192942876	0.4	-26.999999999999957
183	-0.09077455818328446	0.6	-26.999999999999957
184	-0.09597323788761654	0.8	-26.999999999999957
185	-0.0991175270881437	1.0	-26.999999999999957
186	0.007958460757703966	0.0	-26.899999999999956
187	-0.057688861384099344	0.2	-26.899999999999956
188	-0.08088560808779983	0.4	-26.899999999999956
189	-0.09077084973183575	0.6	-26.899999999999956
