	corr	w	p
0	-0.026956375460622017	0.0	-30.0
1	-0.017496763404570535	0.2	-30.0
2	-0.013110510496893466	0.4	-30.0
3	-0.011207820669900946	0.6	-30.0
4	-0.010168665763616046	0.8	-30.0
5	-0.009517517074026073	1.0	-30.0
6	-0.026957566520563324	0.0	-29.9
7	-0.017499446535574496	0.2	-29.9
8	-0.013111991759012644	0.4	-29.9
9	-0.011208558568005175	0.6	-29.9
10	-0.010168957274035667	0.8	-29.9
11	-0.009517517074026073	1.0	-29.9
12	-0.026958765298371212	0.0	-29.799999999999997
13	-0.017502147431128087	0.2	-29.799999999999997
14	-0.013113483089615845	0.4	-29.799999999999997
15	-0.011209301521463691	0.6	-29.799999999999997
16	-0.01016925078846334	0.8	-29.799999999999997
17	-0.009517517074026073	1.0	-29.799999999999997
18	-0.02695997187501229	0.0	-29.699999999999996
19	-0.01750486626935787	0.2	-29.699999999999996
20	-0.013114984592115964	0.4	-29.699999999999996
21	-0.011210049582583708	0.6	-29.699999999999996
22	-0.010169546327700797	0.8	-29.699999999999996
23	-0.009517517074026073	1.0	-29.699999999999996
24	-0.026961186332492268	0.0	-29.599999999999994
25	-0.017507603230729054	0.2	-29.599999999999994
26	-0.013116496371322985	0.4	-29.599999999999994
27	-0.011210802804385064	0.6	-29.599999999999994
28	-0.010169843912834275	0.8	-29.599999999999994
29	-0.009517517074026073	1.0	-29.599999999999994
30	-0.026962408753870154	0.0	-29.499999999999993
31	-0.017510358498082856	0.2	-29.499999999999993
32	-0.013118018533466995	0.4	-29.499999999999993
33	-0.011211561240612223	0.6	-29.499999999999993
34	-0.010170143565239246	0.8	-29.499999999999993
35	-0.009517517074026073	1.0	-29.499999999999993
36	-0.02696363922327305	0.0	-29.39999999999999
37	-0.017513132256674575	0.2	-29.39999999999999
38	-0.013119551186221864	0.4	-29.39999999999999
39	-0.011212324945746414	0.6	-29.39999999999999
40	-0.01017044530658532	0.8	-29.39999999999999
41	-0.009517517074026073	1.0	-29.39999999999999
42	-0.026964877825910796	0.0	-29.29999999999999
43	-0.017515924694212204	0.2	-29.29999999999999
44	-0.013121094438729185	0.4	-29.29999999999999
45	-0.011213093975018018	0.6	-29.29999999999999
46	-0.010170749158841183	0.8	-29.29999999999999
47	-0.009517517074026073	1.0	-29.29999999999999
48	-0.026966124648091047	0.0	-29.19999999999999
49	-0.01751873600089598	0.2	-29.19999999999999
50	-0.013122648401622888	0.4	-29.19999999999999
51	-0.011213868384419236	0.6	-29.19999999999999
52	-0.010171055144279734	0.8	-29.19999999999999
53	-0.009517517074026073	1.0	-29.19999999999999
54	-0.026967379777234388	0.0	-29.099999999999987
55	-0.01752156636945853	0.2	-29.099999999999987
56	-0.013124213187054125	0.4	-29.099999999999987
57	-0.011214648230716969	0.6	-29.099999999999987
58	-0.010171363285483175	0.8	-29.099999999999987
59	-0.009517517074026073	1.0	-29.099999999999987
60	-0.026968643301889778	0.0	-28.999999999999986
61	-0.01752441599520569	0.2	-28.999999999999986
62	-0.013125788908716778	0.4	-28.999999999999986
63	-0.011215433571466	0.6	-28.999999999999986
64	-0.010171673605348357	0.8	-28.999999999999986
65	-0.009517517074026073	1.0	-28.999999999999986
66	-0.026969915311750192	0.0	-28.899999999999984
67	-0.017527285076058413	0.2	-28.899999999999984
68	-0.01312737568187351	0.4	-28.899999999999984
69	-0.011216224465022325	0.6	-28.899999999999984
70	-0.01017198612709217	0.8	-28.899999999999984
71	-0.009517517074026073	1.0	-28.899999999999984
72	-0.026971195897668415	0.0	-28.799999999999983
73	-0.017530173812595147	0.2	-28.799999999999983
74	-0.013128973623382188	0.4	-28.799999999999983
75	-0.011217020970556978	0.6	-28.799999999999983
76	-0.010172300874256909	0.8	-28.799999999999983
77	-0.009517517074026073	1.0	-28.799999999999983
78	-0.026972485151673095	0.0	-28.69999999999998
79	-0.017533082408095223	0.2	-28.69999999999998
80	-0.013130582851723048	0.4	-28.69999999999998
81	-0.011217823148069935	0.6	-28.69999999999998
82	-0.010172617870716083	0.8	-28.69999999999998
83	-0.009517517074026073	1.0	-28.69999999999998
84	-0.02697378316698492	0.0	-28.59999999999998
85	-0.017536011068582855	0.2	-28.59999999999998
86	-0.013132203487026053	0.4	-28.59999999999998
87	-0.011218631058404274	0.6	-28.59999999999998
88	-0.010172937140679942	0.8	-28.59999999999998
89	-0.009517517074026073	1.0	-28.59999999999998
90	-0.026975090038033202	0.0	-28.49999999999998
91	-0.017538960002872254	0.2	-28.49999999999998
92	-0.013133835651099258	0.4	-28.49999999999998
93	-0.011219444763260885	0.6	-28.49999999999998
94	-0.010173258708701451	0.8	-28.49999999999998
95	-0.009517517074026073	1.0	-28.49999999999998
96	-0.026976405860472535	0.0	-28.399999999999977
97	-0.017541929422613435	0.2	-28.399999999999977
98	-0.013135479467457311	0.4	-28.399999999999977
99	-0.01122026432521315	0.6	-28.399999999999977
100	-0.01017358259968215	0.8	-28.399999999999977
101	-0.009517517074026073	1.0	-28.399999999999977
102	-0.02697773073119953	0.0	-28.299999999999976
103	-0.017544919542338874	0.2	-28.299999999999976
104	-0.013137135061350901	0.4	-28.299999999999976
