	corr	w	p
0	-0.046528952088470674	0.0	-30.0
1	-0.015307486407341683	0.2	-30.0
2	-0.015198677143468424	0.4	-30.0
3	-0.015162385751900312	0.6	-30.0
4	-0.015144236036350902	0.8	-30.0
5	-0.015133344925458848	1.0	-30.0
6	-0.046528952085047134	0.0	-29.9
7	-0.015307513303244282	0.2	-29.9
8	-0.015198687238507856	0.4	-29.9
9	-0.01516239023991276	0.6	-29.9
10	-0.015144237719603458	0.8	-29.9
11	-0.015133344925458848	1.0	-29.9
12	-0.04652895208159996	0.0	-29.799999999999997
13	-0.015307540383849138	0.2	-29.799999999999997
14	-0.015198697402874412	0.4	-29.799999999999997
15	-0.01516239475874659	0.6	-29.799999999999997
16	-0.0151442394144158	0.8	-29.799999999999997
17	-0.015133344925458848	1.0	-29.799999999999997
18	-0.04652895207812889	0.0	-29.699999999999996
19	-0.015307567651065133	0.2	-29.699999999999996
20	-0.0151987076372846	0.4	-29.699999999999996
21	-0.015162399308720351	0.6	-29.699999999999996
22	-0.015144241120907346	0.8	-29.699999999999996
23	-0.015133344925458848	1.0	-29.699999999999996
24	-0.04652895207463367	0.0	-29.599999999999994
25	-0.01530759510682743	0.2	-29.599999999999994
26	-0.015198717942464779	0.4	-29.599999999999994
27	-0.01516240389015698	0.6	-29.599999999999994
28	-0.015144242839199254	0.8	-29.599999999999994
29	-0.015133344925458848	1.0	-29.599999999999994
30	-0.0465289520711141	0.0	-29.499999999999993
31	-0.01530762275309815	0.2	-29.499999999999993
32	-0.015198728319151441	0.4	-29.499999999999993
33	-0.015162408503383898	0.6	-29.499999999999993
34	-0.015144244569414322	0.8	-29.499999999999993
35	-0.015133344925458848	1.0	-29.499999999999993
36	-0.04652895206756989	0.0	-29.39999999999999
37	-0.015307650591866635	0.2	-29.39999999999999
38	-0.015198738768091302	0.4	-29.39999999999999
39	-0.015162413148733084	0.6	-29.39999999999999
40	-0.015144246311677068	0.8	-29.39999999999999
41	-0.015133344925458848	1.0	-29.39999999999999
42	-0.04652895206400077	0.0	-29.29999999999999
43	-0.015307678625150088	0.2	-29.29999999999999
44	-0.01519874929004151	0.4	-29.29999999999999
45	-0.015162417826541156	0.6	-29.29999999999999
