	corr	w	p
0	-0.06693934206337818	0.0	-30.0
1	-0.04271735393185022	0.2	-30.0
2	-0.04088837790922285	0.4	-30.0
3	-0.04026979446735948	0.6	-30.0
4	-0.03995891604465044	0.8	-30.0
5	-0.03977189268866957	1.0	-30.0
6	-0.06693997261615653	0.0	-29.9
7	-0.042717830205200986	0.2	-29.9
8	-0.04088856039159295	0.4	-29.9
9	-0.040269876106994756	0.6	-29.9
10	-0.03995894675727121	0.8	-29.9
11	-0.03977189268866957	1.0	-29.9
12	-0.06694060758485114	0.0	-29.799999999999997
13	-0.042718309705862045	0.2	-29.799999999999997
14	-0.04088874411109142	0.4	-29.799999999999997
15	-0.04026995830017646	0.6	-29.799999999999997
16	-0.03995897767814795	0.8	-29.799999999999997
17	-0.03977189268866957	1.0	-29.799999999999997
18	-0.06694124701836009	0.0	-29.699999999999996
19	-0.042718792465885724	0.2	-29.699999999999996
20	-0.04088892908001006	0.4	-29.699999999999996
21	-0.04027004105240511	0.6	-29.699999999999996
22	-0.03995900880935013	0.8	-29.699999999999996
23	-0.03977189268866957	1.0	-29.699999999999996
24	-0.06694189096635583	0.0	-29.599999999999994
25	-0.042719278517730275	0.2	-29.599999999999994
26	-0.04088911531079627	0.4	-29.599999999999994
27	-0.040270124369250884	0.6	-29.599999999999994
28	-0.039959040152973524	0.8	-29.599999999999994
29	-0.03977189268866957	1.0	-29.599999999999994
30	-0.06694253947930136	0.0	-29.499999999999993
31	-0.04271976789426575	0.2	-29.499999999999993
32	-0.040889302816055524	0.4	-29.499999999999993
33	-0.040270208256354634	0.6	-29.499999999999993
34	-0.03995907171114046	0.8	-29.499999999999993
35	-0.03977189268866957	1.0	-29.499999999999993
36	-0.0669431926084667	0.0	-29.39999999999999
37	-0.04272026062878029	0.2	-29.39999999999999
38	-0.040889491608553624	0.4	-29.39999999999999
39	-0.040270292719429085	0.6	-29.39999999999999
40	-0.03995910348600026	0.8	-29.39999999999999
41	-0.03977189268866957	1.0	-29.39999999999999
42	-0.06694385040594619	0.0	-29.29999999999999
43	-0.042720756754985934	0.2	-29.29999999999999
44	-0.040889681701219	0.4	-29.29999999999999
45	-0.04027037776425965	0.6	-29.29999999999999
46	-0.039959135479729666	0.8	-29.29999999999999
47	-0.03977189268866957	1.0	-29.29999999999999
48	-0.06694451292467603	0.0	-29.19999999999999
49	-0.042721256307025224	0.2	-29.19999999999999
50	-0.040889873107145217	0.4	-29.19999999999999
51	-0.04027046339670568	0.6	-29.19999999999999
52	-0.03995916769453322	0.8	-29.19999999999999
53	-0.03977189268866957	1.0	-29.19999999999999
54	-0.06694518021845218	0.0	-29.099999999999987
55	-0.04272175931947748	0.2	-29.099999999999987
56	-0.040890065839593405	0.4	-29.099999999999987
57	-0.04027054962270149	0.6	-29.099999999999987
58	-0.03995920013264363	0.8	-29.099999999999987
59	-0.03977189268866957	1.0	-29.099999999999987
60	-0.06694585234194883	0.0	-28.999999999999986
61	-0.04272226582736513	0.2	-28.999999999999986
62	-0.04089025991199466	0.4	-28.999999999999986
63	-0.0402706364482575	0.6	-28.999999999999986
64	-0.039959232796322325	0.8	-28.999999999999986
65	-0.03977189268866957	1.0	-28.999999999999986
66	-0.0669465293507375	0.0	-28.899999999999984
67	-0.04272277586616051	0.2	-28.899999999999984
68	-0.04089045533795264	0.4	-28.899999999999984
69	-0.04027072387946129	0.6	-28.899999999999984
70	-0.039959265687859666	0.8	-28.899999999999984
71	-0.03977189268866957	1.0	-28.899999999999984
72	-0.06694721130130628	0.0	-28.799999999999983
73	-0.04272328947179235	0.2	-28.799999999999983
74	-0.04089065213124615	0.4	-28.799999999999983
75	-0.04027081192247896	0.6	-28.799999999999983
76	-0.039959298809575605	0.8	-28.799999999999983
77	-0.03977189268866957	1.0	-28.799999999999983
78	-0.06694789825108	0.0	-28.69999999999998
79	-0.04272380668065265	0.2	-28.69999999999998
80	-0.04089085030583162	0.4	-28.69999999999998
81	-0.040270900583555924	0.6	-28.69999999999998
82	-0.039959332163819944	0.8	-28.69999999999998
83	-0.03977189268866957	1.0	-28.69999999999998
84	-0.06694859025844055	0.0	-28.59999999999998
85	-0.04272432752960356	0.2	-28.59999999999998
86	-0.04089104987584596	0.4	-28.59999999999998
87	-0.040270989869018475	0.6	-28.59999999999998
88	-0.03995936575297289	0.8	-28.59999999999998
89	-0.03977189268866957	1.0	-28.59999999999998
90	-0.06694928738274816	0.0	-28.49999999999998
91	-0.04272485205598442	0.2	-28.49999999999998
92	-0.040891250855608914	0.4	-28.49999999999998
93	-0.04027107978527474	0.6	-28.49999999999998
94	-0.03995939957944547	0.8	-28.49999999999998
95	-0.03977189268866957	1.0	-28.49999999999998
96	-0.06694998968436273	0.0	-28.399999999999977
97	-0.04272538029761873	0.2	-28.399999999999977
98	-0.040891453259626204	0.4	-28.399999999999977
99	-0.04027117033881601	0.6	-28.399999999999977
100	-0.03995943364568	0.8	-28.399999999999977
101	-0.03977189268866957	1.0	-28.399999999999977
102	-0.06695069722466626	0.0	-28.299999999999976
103	-0.04272591229282149	0.2	-28.299999999999976
104	-0.04089165710259197	0.4	-28.299999999999976
105	-0.04027126153621796	0.6	-28.299999999999976
106	-0.039959467954150486	0.8	-28.299999999999976
107	-0.03977189268866957	1.0	-28.299999999999976
108	-0.06695141006608551	0.0	-28.199999999999974
109	-0.042726448080406584	0.2	-28.199999999999974
110	-0.04089186239939167	0.4	-28.199999999999974
111	-0.04027135338414184	0.6	-28.199999999999974
112	-0.039959502507363256	0.8	-28.199999999999974
113	-0.03977189268866957	1.0	-28.199999999999974
114	-0.06695212827211547	0.0	-28.099999999999973
115	-0.04272698769969406	0.2	-28.099999999999973
116	-0.04089206916510509	0.4	-28.099999999999973
117	-0.04027144588933589	0.6	-28.099999999999973
118	-0.03995953730785721	0.8	-28.099999999999973
119	-0.03977189268866957	1.0	-28.099999999999973
120	-0.06695285190734335	0.0	-27.99999999999997
121	-0.042727531190517906	0.2	-27.99999999999997
122	-0.040892277415009004	0.4	-27.99999999999997
123	-0.040271539058636494	0.6	-27.99999999999997
124	-0.03995957235820455	0.8	-27.99999999999997
125	-0.03977189268866957	1.0	-27.99999999999997
126	-0.06695358103747331	0.0	-27.89999999999997
127	-0.042728078593233465	0.2	-27.89999999999997
128	-0.04089248716458027	0.4	-27.89999999999997
129	-0.04027163289896962	0.6	-27.89999999999997
130	-0.03995960766101109	0.8	-27.89999999999997
131	-0.03977189268866957	1.0	-27.89999999999997
132	-0.06695431572935193	0.0	-27.79999999999997
133	-0.042728629948725574	0.2	-27.79999999999997
134	-0.04089269842949889	0.4	-27.79999999999997
135	-0.0402717274173521	0.6	-27.79999999999997
136	-0.039959643218916874	0.8	-27.79999999999997
137	-0.03977189268866957	1.0	-27.79999999999997
138	-0.0669550560509941	0.0	-27.699999999999967
139	-0.04272918529841626	0.2	-27.699999999999967
140	-0.04089291122565085	0.4	-27.699999999999967
141	-0.040271822620892954	0.6	-27.699999999999967
142	-0.03995967903459666	0.8	-27.699999999999967
143	-0.03977189268866957	1.0	-27.699999999999967
144	-0.06695580207160995	0.0	-27.599999999999966
145	-0.04272974468427285	0.2	-27.599999999999966
146	-0.04089312556913134	0.4	-27.599999999999966
147	-0.040271918516794875	0.6	-27.599999999999966
148	-0.039959715110760366	0.8	-27.599999999999966
149	-0.03977189268866957	1.0	-27.599999999999966
150	-0.06695655386163234	0.0	-27.499999999999964
151	-0.04273030814881617	0.2	-27.499999999999964
152	-0.04089334147624798	0.4	-27.499999999999964
153	-0.04027201511235552	0.6	-27.499999999999964
154	-0.03995975145015376	0.8	-27.499999999999964
155	-0.03977189268866957	1.0	-27.499999999999964
156	-0.06695731149274517	0.0	-27.399999999999963
157	-0.04273087573512889	0.2	-27.399999999999963
158	-0.04089355896352371	0.4	-27.399999999999963
159	-0.04027211241496908	0.6	-27.399999999999963
160	-0.03995978805555879	0.8	-27.399999999999963
161	-0.03977189268866957	1.0	-27.399999999999963
162	-0.06695807503791251	0.0	-27.29999999999996
163	-0.0427314474868639	0.2	-27.29999999999996
164	-0.04089377804770044	0.4	-27.29999999999996
165	-0.040272210432127545	0.6	-27.29999999999996
166	-0.03995982492979435	0.8	-27.29999999999996
167	-0.03977189268866957	1.0	-27.29999999999996
168	-0.06695884457140838	0.0	-27.19999999999996
169	-0.042732023448252915	0.2	-27.19999999999996
170	-0.040893998745741934	0.4	-27.19999999999996
171	-0.04027230917142235	0.6	-27.19999999999996
172	-0.039959862075716626	0.8	-27.19999999999996
173	-0.03977189268866957	1.0	-27.19999999999996
174	-0.06695962016884775	0.0	-27.09999999999996
175	-0.042732603664115146	0.2	-27.09999999999996
176	-0.040894221074837415	0.4	-27.09999999999996
177	-0.0402724086405457	0.6	-27.09999999999996
178	-0.03995989949621979	0.8	-27.09999999999996
179	-0.03977189268866957	1.0	-27.09999999999996
180	-0.0669604019072178	0.0	-26.999999999999957
181	-0.042733188179866204	0.2	-26.999999999999957
182	-0.04089444505240487	0.4	-26.999999999999957
183	-0.04027250884729229	0.6	-26.999999999999957
184	-0.03995993719423653	0.8	-26.999999999999957
185	-0.03977189268866957	1.0	-26.999999999999957
186	-0.06696118986491077	0.0	-26.899999999999956
187	-0.042733777041526984	0.2	-26.899999999999956
188	-0.04089467069609447	0.4	-26.899999999999956
189	-0.04027260979956066	0.6	-26.899999999999956
190	-0.03995997517273864	0.8	-26.899999999999956
191	-0.03977189268866957	1.0	-26.899999999999956
192	-0.0669619841217571	0.0	-26.799999999999955
193	-0.042734370295732904	0.2	-26.799999999999955
194	-0.04089489802379209	0.4	-26.799999999999955
195	-0.04027271150535482	0.6	-26.799999999999955
196	-0.039960013434737596	0.8	-26.799999999999955
197	-0.03977189268866957	1.0	-26.799999999999955
198	-0.06696278475906009	0.0	-26.699999999999953
199	-0.042734967989743036	0.2	-26.699999999999953
200	-0.0408951270536229	0.4	-26.699999999999953
201	-0.04027281397278598	0.6	-26.699999999999953
202	-0.039960051983285186	0.8	-26.699999999999953
203	-0.03977189268866957	1.0	-26.699999999999953
204	-0.06696359185963104	0.0	-26.59999999999995
205	-0.042735570171449584	0.2	-26.59999999999995
206	-0.0408953578039549	0.4	-26.59999999999995
207	-0.040272917210073825	0.6	-26.59999999999995
208	-0.03996009082147402	0.8	-26.59999999999995
209	-0.03977189268866957	1.0	-26.59999999999995
210	-0.06696440550782574	0.0	-26.49999999999995
211	-0.042736176889387446	0.2	-26.49999999999995
212	-0.040895590293402576	0.4	-26.49999999999995
213	-0.04027302122554853	0.6	-26.49999999999995
214	-0.039960129952438334	0.8	-26.49999999999995
215	-0.03977189268866957	1.0	-26.49999999999995
216	-0.06696522578958186	0.0	-26.39999999999995
217	-0.042736788192743756	0.2	-26.39999999999995
218	-0.04089582454083073	0.4	-26.39999999999995
219	-0.04027312602765222	0.6	-26.39999999999995
220	-0.03996016937935437	0.8	-26.39999999999995
221	-0.03977189268866957	1.0	-26.39999999999995
222	-0.06696605279245761	0.0	-26.299999999999947
223	-0.04273740413136795	0.2	-26.299999999999947
224	-0.040896060565358085	0.4	-26.299999999999947
225	-0.04027323162494064	0.6	-26.299999999999947
226	-0.03996020910544122	0.8	-26.299999999999947
227	-0.03977189268866957	1.0	-26.299999999999947
228	-0.06696688660567107	0.0	-26.199999999999946
229	-0.04273802475578156	0.2	-26.199999999999946
230	-0.0408962983863613	0.4	-26.199999999999946
231	-0.040273338026085	0.6	-26.199999999999946
232	-0.03996024913396138	0.8	-26.199999999999946
233	-0.03977189268866957	1.0	-26.199999999999946
234	-0.06696772732014127	0.0	-26.099999999999945
235	-0.042738650117188484	0.2	-26.099999999999945
236	-0.04089653802347866	0.4	-26.099999999999945
237	-0.04027344523987357	0.6	-26.099999999999945
238	-0.03996028946822141	0.8	-26.099999999999945
239	-0.03977189268866957	1.0	-26.099999999999945
240	-0.06696857502852999	0.0	-25.999999999999943
241	-0.04273928026748519	0.2	-25.999999999999943
242	-0.040896779496614216	0.4	-25.999999999999943
243	-0.04027355327521358	0.6	-25.999999999999943
244	-0.03996033011157259	0.8	-25.999999999999943
245	-0.03977189268866957	1.0	-25.999999999999943
246	-0.06696942982528507	0.0	-25.89999999999994
247	-0.04273991525927129	0.2	-25.89999999999994
248	-0.04089702282594166	0.4	-25.89999999999994
249	-0.04027366214113287	0.6	-25.89999999999994
250	-0.0399603710674116	0.8	-25.89999999999994
251	-0.03977189268866957	1.0	-25.89999999999994
252	-0.06697029180668479	0.0	-25.79999999999994
253	-0.04274055514585996	0.2	-25.79999999999994
254	-0.04089726803190844	0.4	-25.79999999999994
255	-0.040273771846781894	0.6	-25.79999999999994
256	-0.03996041233918128	0.8	-25.79999999999994
257	-0.03977189268866957	1.0	-25.79999999999994
258	-0.06697116107088377	0.0	-25.69999999999994
259	-0.042741199981288905	0.2	-25.69999999999994
260	-0.04089751513523994	0.4	-25.69999999999994
261	-0.040273882401435354	0.6	-25.69999999999994
262	-0.039960453930371155	0.8	-25.69999999999994
263	-0.03977189268866957	1.0	-25.69999999999994
264	-0.06697203771796	0.0	-25.599999999999937
265	-0.042741849820331176	0.2	-25.599999999999937
266	-0.04089776415694355	0.4	-25.599999999999937
267	-0.04027399381449433	0.6	-25.599999999999937
268	-0.03996049584451836	0.8	-25.599999999999937
269	-0.03977189268866957	1.0	-25.599999999999937
270	-0.06697292184996345	0.0	-25.499999999999936
271	-0.042742504718506366	0.2	-25.499999999999936
272	-0.04089801511831304	0.4	-25.499999999999936
273	-0.04027410609548785	0.6	-25.499999999999936
274	-0.03996053808520818	0.8	-25.499999999999936
275	-0.03977189268866957	1.0	-25.499999999999936
276	-0.06697381357096607	0.0	-25.399999999999935
277	-0.04274316473209174	0.2	-25.399999999999935
278	-0.04089826804093282	0.4	-25.399999999999935
279	-0.040274219254075164	0.6	-25.399999999999935
280	-0.03996058065607483	0.8	-25.399999999999935
281	-0.03977189268866957	1.0	-25.399999999999935
282	-0.06697471298711336	0.0	-25.299999999999933
283	-0.042743829918133754	0.2	-25.299999999999933
284	-0.040898522946682336	0.4	-25.299999999999933
285	-0.04027433330004752	0.6	-25.299999999999933
286	-0.03996062356080221	0.8	-25.299999999999933
287	-0.03977189268866957	1.0	-25.299999999999933
288	-0.06697562020667715	0.0	-25.199999999999932
289	-0.04274450033445966	0.2	-25.199999999999932
290	-0.04089877985774052	0.4	-25.199999999999932
291	-0.04027444824333014	0.6	-25.199999999999932
292	-0.03996066680312466	0.8	-25.199999999999932
293	-0.03977189268866957	1.0	-25.199999999999932
294	-0.06697653534011054	0.0	-25.09999999999993
295	-0.04274517603968925	0.2	-25.09999999999993
296	-0.040899038796590306	0.4	-25.09999999999993
297	-0.04027456409398435	0.6	-25.09999999999993
298	-0.03996071038682771	0.8	-25.09999999999993
299	-0.03977189268866957	1.0	-25.09999999999993
300	-0.06697745850010407	0.0	-24.99999999999993
301	-0.042745857093246784	0.2	-24.99999999999993
302	-0.040899299786023184	0.4	-24.99999999999993
303	-0.04027468086220954	0.6	-24.99999999999993
304	-0.03996075431574882	0.8	-24.99999999999993
305	-0.03977189268866957	1.0	-24.99999999999993
306	-0.0669783898016436	0.0	-24.899999999999928
307	-0.04274654355537324	0.2	-24.899999999999928
308	-0.04089956284914387	0.4	-24.899999999999928
309	-0.04027479855834522	0.6	-24.899999999999928
310	-0.03996079859377821	0.8	-24.899999999999928
311	-0.03977189268866957	1.0	-24.899999999999928
312	-0.06697932936207028	0.0	-24.799999999999926
313	-0.04274723548713834	0.2	-24.799999999999926
314	-0.04089982800937504	0.4	-24.799999999999926
315	-0.04027491719287329	0.6	-24.799999999999926
316	-0.03996084322485961	0.8	-24.799999999999926
317	-0.03977189268866957	1.0	-24.799999999999926
318	-0.06698027730114195	0.0	-24.699999999999925
319	-0.04274793295045343	0.2	-24.699999999999925
320	-0.0409000952904621	0.4	-24.699999999999925
321	-0.04027503677641997	0.6	-24.699999999999925
322	-0.039960888212991055	0.8	-24.699999999999925
323	-0.03977189268866957	1.0	-24.699999999999925
324	-0.0669812337410968	0.0	-24.599999999999923
325	-0.042748636008083644	0.2	-24.599999999999923
326	-0.04090036471647801	0.4	-24.599999999999923
327	-0.04027515731975811	0.6	-24.599999999999923
328	-0.03996093356222588	0.8	-24.599999999999923
