	corr	w	p
0	-0.015191827476812615	0.0	-30.0
1	-0.04061789165817509	0.2	-30.0
2	-0.04010728563032928	0.4	-30.0
3	-0.03992360463750502	0.6	-30.0
4	-0.03982927805117195	0.8	-30.0
5	-0.03977189268866957	1.0	-30.0
6	-0.015191271220199889	0.0	-29.9
7	-0.040617937753347905	0.2	-29.9
8	-0.04010730659924999	0.4	-29.9
9	-0.03992361449314943	0.6	-29.9
10	-0.03982928184672066	0.8	-29.9
11	-0.03977189268866957	1.0	-29.9
12	-0.015190710882534195	0.0	-29.799999999999997
13	-0.040617984132765794	0.2	-29.799999999999997
14	-0.0401073277000353	0.4	-29.799999999999997
15	-0.039923624411079967	0.6	-29.799999999999997
16	-0.03982928566631091	0.8	-29.799999999999997
17	-0.03977189268866957	1.0	-29.799999999999997
18	-0.015190146412990192	0.0	-29.699999999999996
19	-0.0406180307985829	0.2	-29.699999999999996
20	-0.04010734893374959	0.4	-29.699999999999996
21	-0.039923634391807135	0.6	-29.699999999999996
22	-0.03982928951014099	0.8	-29.699999999999996
23	-0.03977189268866957	1.0	-29.699999999999996
24	-0.015189577759826605	0.0	-29.599999999999994
25	-0.04061807775296466	0.2	-29.599999999999994
26	-0.04010737030146483	0.4	-29.599999999999994
27	-0.039923644435845215	0.6	-29.599999999999994
28	-0.03982929337841092	0.8	-29.599999999999994
29	-0.03977189268866957	1.0	-29.599999999999994
30	-0.015189004870365615	0.0	-29.499999999999993
31	-0.04061812499808746	0.2	-29.499999999999993
32	-0.040107391804260595	0.4	-29.499999999999993
33	-0.03992365454371244	0.6	-29.499999999999993
34	-0.0398292972713221	0.8	-29.499999999999993
35	-0.03977189268866957	1.0	-29.499999999999993
36	-0.01518842769097196	0.0	-29.39999999999999
37	-0.04061817253613853	0.2	-29.39999999999999
38	-0.040107413443223966	0.4	-29.39999999999999
39	-0.039923664715930826	0.6	-29.39999999999999
40	-0.03982930118907754	0.8	-29.39999999999999
41	-0.03977189268866957	1.0	-29.39999999999999
42	-0.015187846167031185	0.0	-29.29999999999999
43	-0.04061822036931556	0.2	-29.29999999999999
44	-0.040107435219449525	0.4	-29.29999999999999
45	-0.03992367495302626	0.6	-29.29999999999999
46	-0.03982930513188181	0.8	-29.29999999999999
47	-0.03977189268866957	1.0	-29.29999999999999
48	-0.015187260242927913	0.0	-29.19999999999999
49	-0.04061826849982655	0.2	-29.19999999999999
50	-0.04010745713403939	0.4	-29.19999999999999
51	-0.0399236852555285	0.6	-29.19999999999999
52	-0.039829309099940965	0.8	-29.19999999999999
53	-0.03977189268866957	1.0	-29.19999999999999
54	-0.015186669862023015	0.0	-29.099999999999987
55	-0.040618316929889486	0.2	-29.099999999999987
56	-0.04010747918810296	0.4	-29.099999999999987
57	-0.03992369562397115	0.6	-29.099999999999987
58	-0.03982931309346263	0.8	-29.099999999999987
59	-0.03977189268866957	1.0	-29.099999999999987
60	-0.015186074966630596	0.0	-28.999999999999986
61	-0.040618365661731964	0.2	-28.999999999999986
62	-0.04010750138275707	0.4	-28.999999999999986
63	-0.039923706058891575	0.6	-28.999999999999986
64	-0.03982931711265594	0.8	-28.999999999999986
65	-0.03977189268866957	1.0	-28.999999999999986
66	-0.01518547549799414	0.0	-28.899999999999984
67	-0.04061841469759102	0.2	-28.899999999999984
68	-0.04010752371912586	0.4	-28.899999999999984
69	-0.03992371656083094	0.6	-28.899999999999984
70	-0.03982932115773162	0.8	-28.899999999999984
71	-0.03977189268866957	1.0	-28.899999999999984
72	-0.015184871396262272	0.0	-28.799999999999983
73	-0.04061846403971271	0.2	-28.799999999999983
74	-0.0401075461983407	0.4	-28.799999999999983
75	-0.03992372713033425	0.6	-28.799999999999983
76	-0.03982932522890183	0.8	-28.799999999999983
77	-0.03977189268866957	1.0	-28.799999999999983
78	-0.015184262600463669	0.0	-28.69999999999998
79	-0.040618513690351764	0.2	-28.69999999999998
80	-0.04010756882154011	0.4	-28.69999999999998
81	-0.03992373776795018	0.6	-28.69999999999998
82	-0.039829329326380294	0.8	-28.69999999999998
83	-0.03977189268866957	1.0	-28.69999999999998
84	-0.015183649048481778	0.0	-28.59999999999998
85	-0.040618563651771314	0.2	-28.59999999999998
86	-0.04010759158986972	0.4	-28.59999999999998
87	-0.03992374847423122	0.6	-28.59999999999998
88	-0.03982933345038224	0.8	-28.59999999999998
89	-0.03977189268866957	1.0	-28.59999999999998
90	-0.015183030677028307	0.0	-28.49999999999998
91	-0.04061861392624233	0.2	-28.49999999999998
92	-0.0401076145044822	0.4	-28.49999999999998
93	-0.039923759249733556	0.6	-28.49999999999998
94	-0.03982933760112437	0.8	-28.49999999999998
95	-0.03977189268866957	1.0	-28.49999999999998
96	-0.015182407421616636	0.0	-28.399999999999977
97	-0.040618664516043436	0.2	-28.399999999999977
98	-0.04010763756653714	0.4	-28.399999999999977
99	-0.039923770095017005	0.6	-28.399999999999977
100	-0.039829341778824946	0.8	-28.399999999999977
101	-0.03977189268866957	1.0	-28.399999999999977
102	-0.015181779216534179	0.0	-28.299999999999976
103	-0.04061871542346032	0.2	-28.299999999999976
104	-0.040107660777201015	0.4	-28.299999999999976
105	-0.039923781010645115	0.6	-28.299999999999976
106	-0.03982934598370365	0.8	-28.299999999999976
107	-0.03977189268866957	1.0	-28.299999999999976
108	-0.015181145994814023	0.0	-28.199999999999974
