	corr	w	p
0	-0.06862327245365885	0.0	-30.0
1	-0.034672626974346005	0.2	-30.0
2	-0.03467262696450178	0.4	-30.0
3	-0.03467262696122035	0.6	-30.0
4	-0.03467262695957966	0.8	-30.0
5	-0.03467262695859525	1.0	-30.0
6	-0.06862211506808572	0.0	-29.9
7	-0.034672626974403695	0.2	-29.9
8	-0.034672626964523424	0.4	-29.9
9	-0.034672626961229976	0.6	-29.9
10	-0.03467262695958327	0.8	-29.9
11	-0.03467262695859525	1.0	-29.9
12	-0.06862094971384941	0.0	-29.799999999999997
13	-0.03467262697446177	0.2	-29.799999999999997
14	-0.03467262696454519	0.4	-29.799999999999997
15	-0.03467262696123965	0.6	-29.799999999999997
16	-0.03467262695958689	0.8	-29.799999999999997
17	-0.03467262695859525	1.0	-29.799999999999997
18	-0.06861977630844865	0.0	-29.699999999999996
19	-0.03467262697452031	0.2	-29.699999999999996
20	-0.03467262696456713	0.4	-29.699999999999996
21	-0.034672626961249425	0.6	-29.699999999999996
22	-0.034672626959590544	0.8	-29.699999999999996
23	-0.03467262695859525	1.0	-29.699999999999996
24	-0.06861859476822599	0.0	-29.599999999999994
25	-0.03467262697457926	0.2	-29.599999999999994
26	-0.034672626964589254	0.4	-29.599999999999994
27	-0.03467262696125926	0.6	-29.599999999999994
28	-0.03467262695959422	0.8	-29.599999999999994
29	-0.03467262695859525	1.0	-29.599999999999994
30	-0.06861740500837936	0.0	-29.499999999999993
31	-0.034672626974638646	0.2	-29.499999999999993
32	-0.03467262696461152	0.4	-29.499999999999993
33	-0.03467262696126913	0.6	-29.499999999999993
34	-0.03467262695959797	0.8	-29.499999999999993
35	-0.03467262695859525	1.0	-29.499999999999993
36	-0.0686162069429075	0.0	-29.39999999999999
37	-0.03467262697469847	0.2	-29.39999999999999
38	-0.03467262696463397	0.4	-29.39999999999999
39	-0.03467262696127911	0.6	-29.39999999999999
40	-0.03467262695960171	0.8	-29.39999999999999
41	-0.03467262695859525	1.0	-29.39999999999999
42	-0.06861500048462041	0.0	-29.29999999999999
43	-0.03467262697475876	0.2	-29.29999999999999
44	-0.03467262696465656	0.4	-29.29999999999999
45	-0.03467262696128917	0.6	-29.29999999999999
46	-0.03467262695960546	0.8	-29.29999999999999
47	-0.03467262695859525	1.0	-29.29999999999999
48	-0.06861378554509703	0.0	-29.19999999999999
49	-0.034672626974819494	0.2	-29.19999999999999
50	-0.03467262696467934	0.4	-29.19999999999999
51	-0.03467262696129926	0.6	-29.19999999999999
52	-0.03467262695960926	0.8	-29.19999999999999
53	-0.03467262695859525	1.0	-29.19999999999999
54	-0.06861256203468472	0.0	-29.099999999999987
55	-0.034672626974880674	0.2	-29.099999999999987
56	-0.034672626964702295	0.4	-29.099999999999987
57	-0.03467262696130948	0.6	-29.099999999999987
58	-0.034672626959613075	0.8	-29.099999999999987
59	-0.03467262695859525	1.0	-29.099999999999987
60	-0.06861132986243161	0.0	-28.999999999999986
61	-0.03467262697494233	0.2	-28.999999999999986
62	-0.034672626964725395	0.4	-28.999999999999986
63	-0.03467262696131974	0.6	-28.999999999999986
64	-0.034672626959616946	0.8	-28.999999999999986
65	-0.03467262695859525	1.0	-28.999999999999986
66	-0.06861008893613757	0.0	-28.899999999999984
67	-0.034672626975004436	0.2	-28.899999999999984
68	-0.03467262696474869	0.4	-28.899999999999984
69	-0.034672626961330104	0.6	-28.899999999999984
70	-0.03467262695962082	0.8	-28.899999999999984
71	-0.03467262695859525	1.0	-28.899999999999984
72	-0.06860883916225671	0.0	-28.799999999999983
73	-0.034672626975067	0.2	-28.799999999999983
74	-0.03467262696477216	0.4	-28.799999999999983
75	-0.03467262696134054	0.6	-28.799999999999983
76	-0.034672626959624725	0.8	-28.799999999999983
77	-0.03467262695859525	1.0	-28.799999999999983
78	-0.06860758044592544	0.0	-28.69999999999998
79	-0.03467262697513007	0.2	-28.69999999999998
80	-0.03467262696479581	0.4	-28.69999999999998
81	-0.034672626961351025	0.6	-28.69999999999998
82	-0.03467262695962868	0.8	-28.69999999999998
83	-0.03467262695859525	1.0	-28.69999999999998
84	-0.06860631269090994	0.0	-28.59999999999998
85	-0.03467262697519363	0.2	-28.59999999999998
86	-0.03467262696481964	0.4	-28.59999999999998
87	-0.034672626961361634	0.6	-28.59999999999998
88	-0.03467262695963265	0.8	-28.59999999999998
89	-0.03467262695859525	1.0	-28.59999999999998
90	-0.06860503579959565	0.0	-28.49999999999998
91	-0.03467262697525766	0.2	-28.49999999999998
92	-0.03467262696484366	0.4	-28.49999999999998
93	-0.034672626961372306	0.6	-28.49999999999998
94	-0.03467262695963663	0.8	-28.49999999999998
95	-0.03467262695859525	1.0	-28.49999999999998
96	-0.06860374967296551	0.0	-28.399999999999977
97	-0.03467262697532218	0.2	-28.399999999999977
98	-0.03467262696486785	0.4	-28.399999999999977
99	-0.03467262696138307	0.6	-28.399999999999977
100	-0.03467262695964069	0.8	-28.399999999999977
101	-0.03467262695859525	1.0	-28.399999999999977
102	-0.06860245421055636	0.0	-28.299999999999976
103	-0.034672626975387213	0.2	-28.299999999999976
104	-0.03467262696489225	0.4	-28.299999999999976
105	-0.03467262696139391	0.6	-28.299999999999976
106	-0.03467262695964475	0.8	-28.299999999999976
107	-0.03467262695859525	1.0	-28.299999999999976
108	-0.06860114931044839	0.0	-28.199999999999974
109	-0.03467262697545276	0.2	-28.199999999999974
110	-0.03467262696491682	0.4	-28.199999999999974
111	-0.03467262696140483	0.6	-28.199999999999974
112	-0.03467262695964882	0.8	-28.199999999999974
113	-0.03467262695859525	1.0	-28.199999999999974
114	-0.06859983486924559	0.0	-28.099999999999973
115	-0.03467262697551879	0.2	-28.099999999999973
116	-0.03467262696494159	0.4	-28.099999999999973
117	-0.03467262696141582	0.6	-28.099999999999973
118	-0.03467262695965296	0.8	-28.099999999999973
119	-0.03467262695859525	1.0	-28.099999999999973
120	-0.06859851078200889	0.0	-27.99999999999997
121	-0.03467262697558536	0.2	-27.99999999999997
122	-0.03467262696496652	0.4	-27.99999999999997
123	-0.034672626961426936	0.6	-27.99999999999997
124	-0.03467262695965713	0.8	-27.99999999999997
125	-0.03467262695859525	1.0	-27.99999999999997
126	-0.06859717694229045	0.0	-27.89999999999997
127	-0.03467262697565244	0.2	-27.89999999999997
128	-0.0346726269649917	0.4	-27.89999999999997
129	-0.03467262696143809	0.6	-27.89999999999997
130	-0.03467262695966132	0.8	-27.89999999999997
