	corr	w	p
0	-0.07740402601296414	0.0	-30.0
1	-0.058410649171256206	0.2	-30.0
2	-0.03054456049594669	0.4	-30.0
3	-0.013924105798678588	0.6	-30.0
4	-0.004506670943046411	0.8	-30.0
5	0.001301537750125592	1.0	-30.0
6	-0.0773957132083414	0.0	-29.9
7	-0.05840932642070565	0.2	-29.9
8	-0.030546519031216503	0.4	-29.9
9	-0.013925433721029222	0.6	-29.9
10	-0.0045072147129517955	0.8	-29.9
11	0.001301537750125592	1.0	-29.9
12	-0.07738734234917923	0.0	-29.799999999999997
13	-0.05840798983524229	0.2	-29.799999999999997
14	-0.030548487743300688	0.4	-29.799999999999997
15	-0.013926769225402279	0.6	-29.799999999999997
16	-0.004507761637956477	0.8	-29.799999999999997
17	0.001301537750125592	1.0	-29.799999999999997
18	-0.07737891282405254	0.0	-29.699999999999996
19	-0.05840663922200508	0.2	-29.699999999999996
20	-0.03055046670157823	0.4	-29.699999999999996
21	-0.013928112373075636	0.6	-29.699999999999996
22	-0.00450831174421195	0.8	-29.699999999999996
23	0.001301537750125592	1.0	-29.699999999999996
24	-0.07737042401300406	0.0	-29.599999999999994
25	-0.05840527438485557	0.2	-29.599999999999994
26	-0.0305524559759077	0.4	-29.599999999999994
27	-0.013929463225939858	0.6	-29.599999999999994
28	-0.004508865058141893	0.8	-29.599999999999994
29	0.001301537750125592	1.0	-29.599999999999994
30	-0.07736187528739571	0.0	-29.499999999999993
31	-0.05840389512431155	0.2	-29.499999999999993
32	-0.030554455636627748	0.4	-29.499999999999993
33	-0.013930821846504656	0.6	-29.499999999999993
34	-0.004509421606445317	0.8	-29.499999999999993
35	0.001301537750125592	1.0	-29.499999999999993
36	-0.07735326600975669	0.0	-29.39999999999999
37	-0.05840250123747903	0.2	-29.39999999999999
38	-0.03055646575455694	0.4	-29.39999999999999
39	-0.013932188297905487	0.6	-29.39999999999999
40	-0.004509981416099812	0.8	-29.39999999999999
41	0.001301537750125592	1.0	-29.39999999999999
42	-0.07734459553362877	0.0	-29.29999999999999
43	-0.05840109251798286	0.2	-29.29999999999999
44	-0.030558486400993935	0.4	-29.29999999999999
45	-0.013933562643910352	0.6	-29.29999999999999
46	-0.004510544514364775	0.8	-29.29999999999999
47	0.001301537750125592	1.0	-29.29999999999999
48	-0.07733586320340774	0.0	-29.19999999999999
49	-0.05839966875589569	0.2	-29.19999999999999
50	-0.0305605176477171	0.4	-29.19999999999999
51	-0.01393494494892646	0.6	-29.19999999999999
52	-0.004511110928784635	0.8	-29.19999999999999
53	0.001301537750125592	1.0	-29.19999999999999
54	-0.07732706835418178	0.0	-29.099999999999987
55	-0.058398229737664786	0.2	-29.099999999999987
56	-0.030562559566984063	0.4	-29.099999999999987
57	-0.01393633527800697	0.6	-29.099999999999987
58	-0.00451168068719221	0.8	-29.099999999999987
59	0.001301537750125592	1.0	-29.099999999999987
60	-0.07731821031156627	0.0	-28.999999999999986
61	-0.05839677524603756	0.2	-28.999999999999986
62	-0.03056461223153105	0.4	-28.999999999999986
63	-0.01393773369685791	0.6	-28.999999999999986
64	-0.004512253817711977	0.8	-28.999999999999986
65	0.001301537750125592	1.0	-28.999999999999986
66	-0.07730928839153528	0.0	-28.899999999999984
67	-0.05839530505998523	0.2	-28.899999999999984
68	-0.0305666757145721	0.4	-28.899999999999984
69	-0.013939140271844973	0.6	-28.899999999999984
70	-0.0045128303487635135	0.8	-28.899999999999984
71	0.001301537750125592	1.0	-28.899999999999984
72	-0.07730030190024906	0.0	-28.799999999999983
73	-0.05839381895462422	0.2	-28.799999999999983
74	-0.030568750089797966	0.4	-28.799999999999983
75	-0.01394055507000046	0.6	-28.799999999999983
76	-0.004513410309064743	0.8	-28.799999999999983
77	0.001301537750125592	1.0	-28.799999999999983
78	-0.07729125013387804	0.0	-28.69999999999998
79	-0.05839231670113622	0.2	-28.69999999999998
80	-0.030570835431374795	0.4	-28.69999999999998
81	-0.01394197815903022	0.6	-28.69999999999998
82	-0.004513993727635538	0.8	-28.69999999999998
83	0.001301537750125592	1.0	-28.69999999999998
84	-0.07728213237842288	0.0	-28.59999999999998
85	-0.0583907980666858	0.2	-28.59999999999998
86	-0.03057293181394252	0.4	-28.59999999999998
87	-0.013943409607320652	0.6	-28.59999999999998
88	-0.004514580633801101	0.8	-28.59999999999998
89	0.001301537750125592	1.0	-28.59999999999998
90	-0.07727294790953068	0.0	-28.49999999999998
91	-0.05838926281433627	0.2	-28.49999999999998
92	-0.030575039312613243	0.4	-28.49999999999998
93	-0.013944849483945752	0.6	-28.49999999999998
94	-0.004515171057195396	0.8	-28.49999999999998
95	0.001301537750125592	1.0	-28.49999999999998
96	-0.07726369599230719	0.0	-28.399999999999977
97	-0.05838771070296335	0.2	-28.399999999999977
98	-0.030577158002968972	0.4	-28.399999999999977
99	-0.013946297858674163	0.6	-28.399999999999977
100	-0.004515765027764719	0.8	-28.399999999999977
101	0.001301537750125592	1.0	-28.399999999999977
102	-0.07725437588112458	0.0	-28.299999999999976
103	-0.058386141487166796	0.2	-28.299999999999976
104	-0.03057928796105939	0.4	-28.299999999999976
105	-0.013947754801976273	0.6	-28.299999999999976
106	-0.004516362575771335	0.8	-28.299999999999976
107	0.001301537750125592	1.0	-28.299999999999976
108	-0.07724498681942549	0.0	-28.199999999999974
109	-0.05838455491717965	0.2	-28.199999999999974
110	-0.030581429263399195	0.4	-28.199999999999974
111	-0.013949220385031446	0.6	-28.199999999999974
112	-0.004516963731796827	0.8	-28.199999999999974
113	0.001301537750125592	1.0	-28.199999999999974
114	-0.07723552803952224	0.0	-28.099999999999973
115	-0.05838295073877541	0.2	-28.099999999999973
116	-0.030583581986965147	0.4	-28.099999999999973
117	-0.013950694679735007	0.6	-28.099999999999973
118	-0.004517568526745961	0.8	-28.099999999999973
119	0.001301537750125592	1.0	-28.099999999999973
120	-0.07722599876239185	0.0	-27.99999999999997
121	-0.0583813286931728	0.2	-27.99999999999997
122	-0.03058574620919289	0.4	-27.99999999999997
123	-0.013952177758705633	0.6	-27.99999999999997
124	-0.004518176991850156	0.8	-27.99999999999997
125	0.001301537750125592	1.0	-27.99999999999997
126	-0.07721639819746637	0.0	-27.89999999999997
127	-0.058379688516938116	0.2	-27.89999999999997
128	-0.03058792200797327	0.4	-27.89999999999997
129	-0.013953669695292437	0.6	-27.89999999999997
130	-0.0045187891586712225	0.8	-27.89999999999997
131	0.001301537750125592	1.0	-27.89999999999997
132	-0.07720672554241848	0.0	-27.79999999999997
133	-0.05837802994188497	0.2	-27.79999999999997
134	-0.03059010946164841	0.4	-27.79999999999997
135	-0.01395517056358227	0.6	-27.79999999999997
136	-0.004519405059104989	0.8	-27.79999999999997
137	0.001301537750125592	1.0	-27.79999999999997
138	-0.07719697998294246	0.0	-27.699999999999967
139	-0.05837635269497202	0.2	-27.699999999999967
140	-0.030592308649007537	0.4	-27.699999999999967
141	-0.01395668043840697	0.6	-27.699999999999967
142	-0.004520024725385135	0.8	-27.699999999999967
143	0.001301537750125592	1.0	-27.699999999999967
144	-0.07718716069252983	0.0	-27.599999999999966
145	-0.058374656498197265	0.2	-27.599999999999966
146	-0.030594519649282087	0.4	-27.599999999999966
147	-0.013958199395350663	0.6	-27.599999999999966
148	-0.004520648190086825	0.8	-27.599999999999966
149	0.001301537750125592	1.0	-27.599999999999966
150	-0.07717726683224023	0.0	-27.499999999999964
151	-0.05837294106849042	0.2	-27.499999999999964
152	-0.03059674254214084	0.4	-27.499999999999964
153	-0.013959727510756954	0.6	-27.499999999999964
