	corr	w	p
0	-0.03601644009446113	0.0	-30.0
1	-0.03174563066767758	0.2	-30.0
2	-0.02357713926933213	0.4	-30.0
3	-0.020071047095759673	0.6	-30.0
4	-0.01820871517173785	0.8	-30.0
5	-0.017064472331865994	1.0	-30.0
6	-0.036014737213323655	0.0	-29.9
7	-0.03174784011656056	0.2	-29.9
8	-0.023578605207345435	0.4	-29.9
9	-0.020071774129177756	0.6	-29.9
10	-0.018208998671938197	0.8	-29.9
11	-0.017064472331865994	1.0	-29.9
12	-0.03601302493667381	0.0	-29.799999999999997
13	-0.03175006474837837	0.2	-29.799999999999997
14	-0.02358008142139991	0.4	-29.799999999999997
15	-0.02007250627789996	0.6	-29.799999999999997
16	-0.018209284168706687	0.8	-29.799999999999997
17	-0.017064472331865994	1.0	-29.799999999999997
18	-0.036011303168307515	0.0	-29.699999999999996
19	-0.03175230470995321	0.2	-29.699999999999996
20	-0.02358156801564963	0.4	-29.699999999999996
21	-0.02007324359417389	0.6	-29.699999999999996
22	-0.01820957168248409	0.8	-29.699999999999996
23	-0.017064472331865994	1.0	-29.699999999999996
24	-0.03600957181043206	0.0	-29.599999999999994
25	-0.0317545601498561	0.2	-29.599999999999994
26	-0.023583065095598293	0.4	-29.599999999999994
27	-0.020073986130932836	0.6	-29.599999999999994
28	-0.01820986123398039	0.8	-29.599999999999994
29	-0.017064472331865994	1.0	-29.599999999999994
30	-0.0360078307636303	0.0	-29.499999999999993
31	-0.03175683121843017	0.2	-29.499999999999993
32	-0.02358457276812007	0.4	-29.499999999999993
33	-0.020074733941806387	0.6	-29.499999999999993
34	-0.018210152844179185	0.8	-29.499999999999993
35	-0.017064472331865994	1.0	-29.499999999999993
36	-0.036006079926823926	0.0	-29.39999999999999
37	-0.031759118067814056	0.2	-29.39999999999999
38	-0.023586091141480723	0.4	-29.39999999999999
39	-0.020075487081131525	0.6	-29.39999999999999
40	-0.01821044653434193	0.8	-29.39999999999999
41	-0.017064472331865994	1.0	-29.39999999999999
42	-0.03600431919723589	0.0	-29.29999999999999
43	-0.031761420851966024	0.2	-29.29999999999999
44	-0.023587620325359333	0.4	-29.29999999999999
45	-0.020076245603963767	0.6	-29.29999999999999
46	-0.018210742326012334	0.8	-29.29999999999999
47	-0.017064472331865994	1.0	-29.29999999999999
48	-0.036002548470351725	0.0	-29.19999999999999
49	-0.031763739726687945	0.2	-29.19999999999999
