	corr	w	p
0	-0.0015825656389265265	0.0	-30.0
1	-0.009919308455029157	0.2	-30.0
2	-0.009900758584123152	0.4	-30.0
3	-0.009892611216912367	0.6	-30.0
4	-0.009888167785903089	0.8	-30.0
5	-0.009885383292546271	1.0	-30.0
6	-0.0015826011622590954	0.0	-29.9
7	-0.00991931430989437	0.2	-29.9
8	-0.009900761767059344	0.4	-29.9
9	-0.00989261277870141	0.6	-29.9
10	-0.009888168399199298	0.8	-29.9
11	-0.009885383292546271	1.0	-29.9
12	-0.0015826353361004953	0.0	-29.799999999999997
13	-0.009919320129042489	0.2	-29.799999999999997
14	-0.00990076494333584	0.4	-29.799999999999997
15	-0.009892614338536887	0.6	-29.799999999999997
16	-0.009888169011952053	0.8	-29.799999999999997
17	-0.009885383292546271	1.0	-29.799999999999997
18	-0.0015826681446837526	0.0	-29.699999999999996
19	-0.009919325911967687	0.2	-29.699999999999996
20	-0.009900768112831948	0.4	-29.699999999999996
21	-0.00989261589637552	0.6	-29.699999999999996
22	-0.009888169624147021	0.8	-29.699999999999996
23	-0.009885383292546271	1.0	-29.699999999999996
24	-0.001582699572159783	0.0	-29.599999999999994
25	-0.009919331658162755	0.2	-29.599999999999994
26	-0.009900771275427482	0.4	-29.599999999999994
27	-0.00989261745217432	0.6	-29.599999999999994
28	-0.009888170235770051	0.8	-29.599999999999994
29	-0.009885383292546271	1.0	-29.599999999999994
30	-0.0015827296025993955	0.0	-29.499999999999993
31	-0.009919337367119307	0.2	-29.499999999999993
32	-0.009900774431002658	0.4	-29.499999999999993
33	-0.00989261900589064	0.6	-29.499999999999993
34	-0.009888170846807137	0.8	-29.499999999999993
35	-0.009885383292546271	1.0	-29.499999999999993
36	-0.0015827582199953744	0.0	-29.39999999999999
37	-0.009919343038327769	0.2	-29.39999999999999
38	-0.009900777579438304	0.4	-29.39999999999999
39	-0.00989262055748228	0.6	-29.39999999999999
40	-0.00988817145724451	0.8	-29.39999999999999
41	-0.009885383292546271	1.0	-29.39999999999999
42	-0.0015827854082647499	0.0	-29.29999999999999
43	-0.009919348671277747	0.2	-29.29999999999999
44	-0.00990078072061585	0.4	-29.29999999999999
45	-0.00989262210690751	0.6	-29.29999999999999
46	-0.009888172067068544	0.8	-29.29999999999999
47	-0.009885383292546271	1.0	-29.29999999999999
48	-0.0015828111512511001	0.0	-29.19999999999999
49	-0.009919354265458005	0.2	-29.19999999999999
50	-0.009900783854417502	0.4	-29.19999999999999
51	-0.009892623654124919	0.6	-29.19999999999999
52	-0.009888172676265777	0.8	-29.19999999999999
53	-0.009885383292546271	1.0	-29.19999999999999
54	-0.001582835432726957	0.0	-29.099999999999987
55	-0.009919359820356598	0.2	-29.099999999999987
56	-0.009900786980726169	0.4	-29.099999999999987
57	-0.009892625199093733	0.6	-29.099999999999987
58	-0.009888173284823033	0.8	-29.099999999999987
59	-0.009885383292546271	1.0	-29.099999999999987
60	-0.0015828582363964895	0.0	-28.999999999999986
61	-0.009919365335461179	0.2	-28.999999999999986
62	-0.009900790099425657	0.4	-28.999999999999986
63	-0.009892626741773667	0.6	-28.999999999999986
64	-0.009888173892727354	0.8	-28.999999999999986
65	-0.009885383292546271	1.0	-28.999999999999986
66	-0.0015828795458980045	0.0	-28.899999999999984
67	-0.009919370810259088	0.2	-28.899999999999984
68	-0.009900793210400756	0.4	-28.899999999999984
69	-0.009892628282124994	0.6	-28.899999999999984
70	-0.009888174499965994	0.8	-28.899999999999984
71	-0.009885383292546271	1.0	-28.899999999999984
72	-0.0015828993448069898	0.0	-28.799999999999983
73	-0.00991937624423747	0.2	-28.799999999999983
74	-0.00990079631353721	0.4	-28.799999999999983
75	-0.009892629820108653	0.6	-28.799999999999983
76	-0.009888175106526474	0.8	-28.799999999999983
77	-0.009885383292546271	1.0	-28.799999999999983
78	-0.0015829176166388716	0.0	-28.69999999999998
79	-0.009919381636883646	0.2	-28.69999999999998
80	-0.009900799408721897	0.4	-28.69999999999998
81	-0.00989263135568616	0.6	-28.69999999999998
82	-0.009888175712396672	0.8	-28.69999999999998
83	-0.009885383292546271	1.0	-28.69999999999998
84	-0.00158293434485222	0.0	-28.59999999999998
85	-0.009919386987685023	0.2	-28.59999999999998
86	-0.009900802495842957	0.4	-28.59999999999998
87	-0.009892632888819893	0.6	-28.59999999999998
88	-0.009888176317564617	0.8	-28.59999999999998
89	-0.009885383292546271	1.0	-28.59999999999998
90	-0.001582949512851953	0.0	-28.49999999999998
91	-0.009919392296129523	0.2	-28.49999999999998
92	-0.009900805574789768	0.4	-28.49999999999998
93	-0.009892634419472766	0.6	-28.49999999999998
94	-0.009888176922018821	0.8	-28.49999999999998
95	-0.009885383292546271	1.0	-28.49999999999998
96	-0.001582963103992644	0.0	-28.399999999999977
97	-0.009919397561705692	0.2	-28.399999999999977
98	-0.009900808645453122	0.4	-28.399999999999977
99	-0.009892635947608648	0.6	-28.399999999999977
100	-0.00988817752574794	0.8	-28.399999999999977
101	-0.009885383292546271	1.0	-28.399999999999977
102	-0.0015829751015822109	0.0	-28.299999999999976
103	-0.009919402783902992	0.2	-28.299999999999976
104	-0.00990081170772532	0.4	-28.299999999999976
105	-0.009892637473192158	0.6	-28.299999999999976
106	-0.009888178128741144	0.8	-28.299999999999976
107	-0.009885383292546271	1.0	-28.299999999999976
108	-0.0015829854888854463	0.0	-28.199999999999974
109	-0.00991940796221186	0.2	-28.199999999999974
110	-0.00990081476150021	0.4	-28.199999999999974
111	-0.009892638996188894	0.6	-28.199999999999974
112	-0.009888178730987865	0.8	-28.199999999999974
113	-0.009885383292546271	1.0	-28.199999999999974
114	-0.0015829942491279204	0.0	-28.099999999999973
115	-0.009919413096124112	0.2	-28.099999999999973
116	-0.009900817806673463	0.4	-28.099999999999973
117	-0.009892640516565297	0.6	-28.099999999999973
118	-0.009888179332477976	0.8	-28.099999999999973
119	-0.009885383292546271	1.0	-28.099999999999973
120	-0.0015830013654999859	0.0	-27.99999999999997
121	-0.009919418185133134	0.2	-27.99999999999997
122	-0.009900820843142463	0.4	-27.99999999999997
123	-0.009892642034288902	0.6	-27.99999999999997
124	-0.009888179933201714	0.8	-27.99999999999997
125	-0.009885383292546271	1.0	-27.99999999999997
126	-0.0015830068211610563	0.0	-27.89999999999997
127	-0.00991942322873408	0.2	-27.89999999999997
128	-0.00990082387080659	0.4	-27.89999999999997
129	-0.009892643549328188	0.6	-27.89999999999997
130	-0.009888180533149807	0.8	-27.89999999999997
131	-0.009885383292546271	1.0	-27.89999999999997
132	-0.0015830105992437685	0.0	-27.79999999999997
133	-0.00991942822642415	0.2	-27.79999999999997
134	-0.009900826889567251	0.4	-27.79999999999997
135	-0.009892645061652787	0.6	-27.79999999999997
136	-0.009888181132313378	0.8	-27.79999999999997
137	-0.009885383292546271	1.0	-27.79999999999997
138	-0.001583012682858721	0.0	-27.699999999999967
139	-0.009919433177702913	0.2	-27.699999999999967
140	-0.009900829899328055	0.4	-27.699999999999967
141	-0.009892646571233588	0.6	-27.699999999999967
142	-0.009888181730684032	0.8	-27.699999999999967
143	-0.009885383292546271	1.0	-27.699999999999967
144	-0.0015830130550990853	0.0	-27.599999999999966
145	-0.009919438082072577	0.2	-27.599999999999966
146	-0.00990083289999495	0.4	-27.599999999999966
147	-0.009892648078042535	0.6	-27.599999999999966
148	-0.009888182328253937	0.8	-27.599999999999966
149	-0.009885383292546271	1.0	-27.599999999999966
150	-0.0015830116990456083	0.0	-27.499999999999964
151	-0.0099194429390382	0.2	-27.499999999999964
152	-0.009900835891476258	0.4	-27.499999999999964
153	-0.009892649582052975	0.6	-27.499999999999964
154	-0.00988818292501565	0.8	-27.499999999999964
155	-0.009885383292546271	1.0	-27.499999999999964
156	-0.001583008597771698	0.0	-27.399999999999963
157	-0.009919447748108046	0.2	-27.399999999999963
158	-0.009900838873682906	0.4	-27.399999999999963
159	-0.009892651083239602	0.6	-27.399999999999963
160	-0.00988818352096239	0.8	-27.399999999999963
161	-0.009885383292546271	1.0	-27.399999999999963
162	-0.0015830037343488122	0.0	-27.29999999999996
163	-0.009919452508793964	0.2	-27.29999999999996
164	-0.009900841846528629	0.4	-27.29999999999996
165	-0.009892652581578492	0.6	-27.29999999999996
166	-0.009888184116087929	0.8	-27.29999999999996
167	-0.009885383292546271	1.0	-27.29999999999996
168	-0.001582997091851922	0.0	-27.19999999999996
169	-0.009919457220611612	0.2	-27.19999999999996
170	-0.009900844809929928	0.4	-27.19999999999996
171	-0.009892654077047251	0.6	-27.19999999999996
172	-0.009888184710386622	0.8	-27.19999999999996
173	-0.009885383292546271	1.0	-27.19999999999996
174	-0.0015829886533653892	0.0	-27.09999999999996
175	-0.00991946188308078	0.2	-27.09999999999996
176	-0.00990084776380636	0.4	-27.09999999999996
177	-0.009892655569624962	0.6	-27.09999999999996
178	-0.009888185303853395	0.8	-27.09999999999996
179	-0.009885383292546271	1.0	-27.09999999999996
180	-0.0015829784019888984	0.0	-26.999999999999957
181	-0.009919466495725863	0.2	-26.999999999999957
182	-0.009900850708080729	0.4	-26.999999999999957
183	-0.00989265705929252	0.6	-26.999999999999957
184	-0.00988818589648395	0.8	-26.999999999999957
185	-0.009885383292546271	1.0	-26.999999999999957
186	-0.0015829663208436918	0.0	-26.899999999999956
187	-0.009919471058076142	0.2	-26.899999999999956
188	-0.009900853642679048	0.4	-26.899999999999956
189	-0.00989265854603234	0.6	-26.899999999999956
190	-0.009888186488274539	0.8	-26.899999999999956
191	-0.009885383292546271	1.0	-26.899999999999956
192	-0.0015829523930791225	0.0	-26.799999999999955
193	-0.009919475569666165	0.2	-26.799999999999955
194	-0.009900856567531063	0.4	-26.799999999999955
195	-0.009892660029828748	0.6	-26.799999999999955
196	-0.009888187079222288	0.8	-26.799999999999955
197	-0.009885383292546271	1.0	-26.799999999999955
198	-0.0015829366018792774	0.0	-26.699999999999953
199	-0.00991948003003613	0.2	-26.699999999999953
200	-0.00990085948257	0.4	-26.699999999999953
201	-0.009892661510667911	0.6	-26.699999999999953
202	-0.009888187669324899	0.8	-26.699999999999953
203	-0.009885383292546271	1.0	-26.699999999999953
204	-0.0015829189304700456	0.0	-26.59999999999995
205	-0.009919484438732303	0.2	-26.59999999999995
206	-0.009900862387733052	0.4	-26.59999999999995
207	-0.009892662988537951	0.6	-26.59999999999995
208	-0.009888188258580984	0.8	-26.59999999999995
209	-0.009885383292546271	1.0	-26.59999999999995
210	-0.0015828993621263658	0.0	-26.49999999999995
211	-0.009919488795307444	0.2	-26.49999999999995
212	-0.00990086528296151	0.4	-26.49999999999995
213	-0.00989266446342906	0.6	-26.49999999999995
214	-0.009888188846989892	0.8	-26.49999999999995
215	-0.009885383292546271	1.0	-26.49999999999995
216	-0.00158287788017968	0.0	-26.39999999999995
217	-0.009919493099321258	0.2	-26.39999999999995
218	-0.009900868168200828	0.4	-26.39999999999995
219	-0.009892665935333531	0.6	-26.39999999999995
220	-0.009888189434551876	0.8	-26.39999999999995
221	-0.009885383292546271	1.0	-26.39999999999995
222	-0.0015828544680258358	0.0	-26.299999999999947
223	-0.009919497350340731	0.2	-26.299999999999947
224	-0.009900871043400998	0.4	-26.299999999999947
225	-0.009892667404245924	0.6	-26.299999999999947
226	-0.009888190021268022	0.8	-26.299999999999947
227	-0.009885383292546271	1.0	-26.299999999999947
228	-0.0015828291091331305	0.0	-26.199999999999946
229	-0.009919501547940796	0.2	-26.199999999999946
230	-0.009900873908516596	0.4	-26.199999999999946
231	-0.00989266887016312	0.6	-26.199999999999946
232	-0.009888190607140374	0.8	-26.199999999999946
233	-0.009885383292546271	1.0	-26.199999999999946
234	-0.0015828017870507744	0.0	-26.099999999999945
235	-0.009919505691704647	0.2	-26.099999999999945
236	-0.009900876763507146	0.4	-26.099999999999945
237	-0.009892670333084403	0.6	-26.099999999999945
238	-0.009888191192171911	0.8	-26.099999999999945
239	-0.009885383292546271	1.0	-26.099999999999945
240	-0.0015827724854175279	0.0	-25.999999999999943
241	-0.00991950978122427	0.2	-25.999999999999943
242	-0.009900879608337222	0.4	-25.999999999999943
243	-0.009892671793011672	0.6	-25.999999999999943
244	-0.009888191776366677	0.8	-25.999999999999943
245	-0.009885383292546271	1.0	-25.999999999999943
246	-0.0015827411879707981	0.0	-25.89999999999994
247	-0.009919513816101025	0.2	-25.89999999999994
248	-0.009900882442976728	0.4	-25.89999999999994
249	-0.009892673249949285	0.6	-25.89999999999994
250	-0.009888192359729613	0.8	-25.89999999999994
251	-0.009885383292546271	1.0	-25.89999999999994
252	-0.0015827078785559346	0.0	-25.79999999999994
253	-0.009919517795946131	0.2	-25.79999999999994
254	-0.009900885267401151	0.4	-25.79999999999994
255	-0.009892674703904586	0.6	-25.79999999999994
256	-0.00988819294226691	0.8	-25.79999999999994
257	-0.009885383292546271	1.0	-25.79999999999994
258	-0.001582672541136071	0.0	-25.69999999999994
259	-0.009919521720381243	0.2	-25.69999999999994
260	-0.009900888081591773	0.4	-25.69999999999994
261	-0.009892676154887566	0.6	-25.69999999999994
262	-0.009888193523985782	0.8	-25.69999999999994
263	-0.009885383292546271	1.0	-25.69999999999994
264	-0.0015826351598019917	0.0	-25.599999999999937
265	-0.009919525589038948	0.2	-25.599999999999937
266	-0.009900890885535866	0.4	-25.599999999999937
267	-0.009892677602911371	0.6	-25.599999999999937
268	-0.00988819410489463	0.8	-25.599999999999937
269	-0.009885383292546271	1.0	-25.599999999999937
270	-0.0015825957187826966	0.0	-25.499999999999936
271	-0.009919529401563501	0.2	-25.499999999999936
272	-0.009900893679227165	0.4	-25.499999999999936
273	-0.009892679047992145	0.6	-25.499999999999936
274	-0.009888194685003114	0.8	-25.499999999999936
275	-0.009885383292546271	1.0	-25.499999999999936
276	-0.0015825542024560657	0.0	-25.399999999999935
277	-0.00991953315761136	0.2	-25.399999999999935
278	-0.009900896462665827	0.4	-25.399999999999935
279	-0.009892680490149228	0.6	-25.399999999999935
280	-0.009888195264322103	0.8	-25.399999999999935
281	-0.009885383292546271	1.0	-25.399999999999935
282	-0.001582510595360219	0.0	-25.299999999999933
283	-0.009919536856851725	0.2	-25.299999999999933
284	-0.009900899235858993	0.4	-25.299999999999933
285	-0.009892681929405435	0.6	-25.299999999999933
286	-0.009888195842863837	0.8	-25.299999999999933
287	-0.009885383292546271	1.0	-25.299999999999933
288	-0.0015824648822048305	0.0	-25.199999999999932
289	-0.009919540498967441	0.2	-25.199999999999932
290	-0.009900901998820866	0.4	-25.199999999999932
291	-0.009892683365786973	0.6	-25.199999999999932
292	-0.009888196420641867	0.8	-25.199999999999932
293	-0.009885383292546271	1.0	-25.199999999999932
294	-0.0015824170478833041	0.0	-25.09999999999993
295	-0.00991954408365538	0.2	-25.09999999999993
296	-0.009900904751573179	0.4	-25.09999999999993
297	-0.009892684799323705	0.6	-25.09999999999993
298	-0.009888196997671215	0.8	-25.09999999999993
299	-0.009885383292546271	1.0	-25.09999999999993
300	-0.0015823670774850985	0.0	-24.99999999999993
301	-0.00991954761062739	0.2	-24.99999999999993
302	-0.009900907494145385	0.4	-24.99999999999993
303	-0.009892686230049314	0.6	-24.99999999999993
304	-0.00988819757396835	0.8	-24.99999999999993
305	-0.009885383292546271	1.0	-24.99999999999993
306	-0.0015823149563085233	0.0	-24.899999999999928
307	-0.009919551079610928	0.2	-24.899999999999928
308	-0.009900910226574921	0.4	-24.899999999999928
309	-0.009892687658001286	0.6	-24.899999999999928
310	-0.00988819814955127	0.8	-24.899999999999928
311	-0.009885383292546271	1.0	-24.899999999999928
312	-0.0015822606698740168	0.0	-24.799999999999926
313	-0.009919554490349734	0.2	-24.799999999999926
314	-0.009900912948907799	0.4	-24.799999999999926
315	-0.009892689083221308	0.6	-24.799999999999926
316	-0.009888198724439598	0.8	-24.799999999999926
317	-0.009885383292546271	1.0	-24.799999999999926
318	-0.0015822042039379718	0.0	-24.699999999999925
319	-0.009919557842604801	0.2	-24.699999999999925
320	-0.009900915661198629	0.4	-24.699999999999925
321	-0.009892690505755166	0.6	-24.699999999999925
322	-0.009888199298654558	0.8	-24.699999999999925
323	-0.009885383292546271	1.0	-24.699999999999925
324	-0.001582145544506832	0.0	-24.599999999999923
325	-0.009919561136154938	0.2	-24.599999999999923
326	-0.009900918363511108	0.4	-24.599999999999923
327	-0.009892691925653159	0.6	-24.599999999999923
328	-0.009888199872219096	0.8	-24.599999999999923
329	-0.009885383292546271	1.0	-24.599999999999923
330	-0.0015820846778517366	0.0	-24.499999999999922
331	-0.009919564370797863	0.2	-24.499999999999922
