	corr	w	p
0	-0.08335683053218647	0.0	-30.0
1	-0.03879840810571872	0.2	-30.0
2	-0.03464006528870841	0.4	-30.0
3	-0.03322234322373521	0.6	-30.0
4	-0.03250821223365195	0.8	-30.0
5	-0.032078135719806125	1.0	-30.0
6	-0.0833576121386916	0.0	-29.9
7	-0.03879910084506849	0.2	-29.9
8	-0.03464033359588922	0.4	-29.9
9	-0.033222463552906055	0.6	-29.9
10	-0.032508257546225175	0.8	-29.9
11	-0.032078135719806125	1.0	-29.9
12	-0.08335840004333843	0.0	-29.799999999999997
13	-0.03879979838240451	0.2	-29.799999999999997
14	-0.03464060376149382	0.4	-29.799999999999997
15	-0.03322258471552848	0.6	-29.799999999999997
16	-0.032508303172650146	0.8	-29.799999999999997
17	-0.032078135719806125	1.0	-29.799999999999997
18	-0.08335919432409647	0.0	-29.699999999999996
19	-0.03880050076788595	0.2	-29.699999999999996
20	-0.03464087580494845	0.4	-29.699999999999996
21	-0.03322270672031418	0.6	-29.699999999999996
22	-0.03250834911620728	0.8	-29.699999999999996
23	-0.032078135719806125	1.0	-29.699999999999996
24	-0.08335999506017669	0.0	-29.599999999999994
25	-0.03880120805237226	0.2	-29.599999999999994
26	-0.03464114974595051	0.4	-29.599999999999994
27	-0.03322282957609641	0.6	-29.599999999999994
28	-0.0325083953802228	0.8	-29.599999999999994
29	-0.032078135719806125	1.0	-29.599999999999994
30	-0.08336080233205469	0.0	-29.499999999999993
31	-0.038801920287435274	0.2	-29.499999999999993
32	-0.034641425604473294	0.4	-29.499999999999993
33	-0.03322295329183207	0.6	-29.499999999999993
34	-0.03250844196806954	0.8	-29.499999999999993
35	-0.032078135719806125	1.0	-29.499999999999993
36	-0.08336161622149488	0.0	-29.39999999999999
37	-0.03880263752537162	0.2	-29.39999999999999
38	-0.034641703400770815	0.4	-29.39999999999999
39	-0.03322307787660411	0.6	-29.39999999999999
40	-0.03250848888316768	0.8	-29.39999999999999
41	-0.032078135719806125	1.0	-29.39999999999999
42	-0.08336243681157451	0.0	-29.29999999999999
43	-0.03880335981921558	0.2	-29.29999999999999
44	-0.03464198315538265	0.4	-29.29999999999999
45	-0.03322320333962345	0.6	-29.29999999999999
46	-0.03250853612898569	0.8	-29.29999999999999
47	-0.032078135719806125	1.0	-29.29999999999999
48	-0.0833632641867086	0.0	-29.19999999999999
49	-0.03880408722275193	0.2	-29.19999999999999
50	-0.03464226488913911	0.4	-29.19999999999999
51	-0.03322332969023132	0.6	-29.19999999999999
52	-0.03250858370904107	0.8	-29.19999999999999
53	-0.032078135719806125	1.0	-29.19999999999999
54	-0.08336409843267531	0.0	-29.099999999999987
55	-0.03880481979052925	0.2	-29.099999999999987
56	-0.03464254862316625	0.4	-29.099999999999987
