	corr	w	p
0	-0.08636015645351963	0.0	-30.0
1	-0.03492905492463821	0.2	-30.0
2	-0.029159821794507282	0.4	-30.0
3	-0.02718334533900668	0.6	-30.0
4	-0.026186740052824255	0.8	-30.0
5	-0.025586323520225388	1.0	-30.0
6	-0.08636044075311615	0.0	-29.9
7	-0.03493048509977304	0.2	-29.9
8	-0.029160382512896117	0.4	-29.9
9	-0.02718359745361747	0.6	-29.9
10	-0.026186835086607102	0.8	-29.9
11	-0.025586323520225388	1.0	-29.9
12	-0.08636072698611748	0.0	-29.799999999999997
13	-0.03493192507726287	0.2	-29.799999999999997
14	-0.029160947079630066	0.4	-29.799999999999997
15	-0.02718385129908257	0.6	-29.799999999999997
16	-0.026186930772911673	0.8	-29.799999999999997
17	-0.025586323520225388	1.0	-29.799999999999997
18	-0.08636101517266305	0.0	-29.699999999999996
19	-0.03493337495799305	0.2	-29.699999999999996
20	-0.029161515534369853	0.4	-29.699999999999996
21	-0.027184106893245553	0.6	-29.699999999999996
22	-0.026187027118465753	0.8	-29.699999999999996
23	-0.025586323520225388	1.0	-29.699999999999996
24	-0.08636130533318369	0.0	-29.599999999999994
25	-0.03493483484423098	0.2	-29.599999999999994
26	-0.029162087917320396	0.4	-29.599999999999994
27	-0.027184364254194744	0.6	-29.599999999999994
28	-0.026187124130089418	0.8	-29.599999999999994
29	-0.025586323520225388	1.0	-29.599999999999994
30	-0.08636159748840726	0.0	-29.499999999999993
31	-0.034936304839649865	0.2	-29.499999999999993
32	-0.029162664269239868	0.4	-29.499999999999993
33	-0.02718462340026757	0.6	-29.499999999999993
34	-0.02618722181469655	0.8	-29.499999999999993
35	-0.025586323520225388	1.0	-29.499999999999993
36	-0.08636189165936421	0.0	-29.39999999999999
37	-0.03493778504935251	0.2	-29.39999999999999
38	-0.029163244631449328	0.4	-29.39999999999999
39	-0.02718488435005476	0.6	-29.39999999999999
40	-0.026187320179296765	0.8	-29.39999999999999
41	-0.025586323520225388	1.0	-29.39999999999999
42	-0.08636218786739357	0.0	-29.29999999999999
43	-0.03493927557989589	0.2	-29.29999999999999
44	-0.029163829045842367	0.4	-29.29999999999999
45	-0.02718514712240467	0.6	-29.29999999999999
46	-0.02618741923099665	0.8	-29.29999999999999
47	-0.025586323520225388	1.0	-29.29999999999999
48	-0.08636248613414899	0.0	-29.19999999999999
49	-0.03494077653931621	0.2	-29.19999999999999
50	-0.02916441755489485	0.4	-29.19999999999999
51	-0.02718541173642774	0.6	-29.19999999999999
52	-0.026187518977001677	0.8	-29.19999999999999
53	-0.025586323520225388	1.0	-29.19999999999999
54	-0.08636278648160489	0.0	-29.099999999999987
55	-0.03494228803715442	0.2	-29.099999999999987
56	-0.029165010201675137	0.4	-29.099999999999987
57	-0.027185678211501016	0.6	-29.099999999999987
58	-0.02618761942461789	0.8	-29.099999999999987
59	-0.025586323520225388	1.0	-29.099999999999987
60	-0.08636308893206275	0.0	-28.999999999999986
61	-0.03494381018448213	0.2	-28.999999999999986
62	-0.029165607029854122	0.4	-28.999999999999986
63	-0.027185946567272835	0.6	-28.999999999999986
64	-0.026187720581253585	0.8	-28.999999999999986
65	-0.025586323520225388	1.0	-28.999999999999986
66	-0.08636339350815754	0.0	-28.899999999999984
67	-0.03494534309392835	0.2	-28.899999999999984
68	-0.02916620808371602	0.4	-28.899999999999984
69	-0.027186216823667377	0.6	-28.899999999999984
70	-0.026187822454421104	0.8	-28.899999999999984
71	-0.025586323520225388	1.0	-28.899999999999984
72	-0.08636370023286456	0.0	-28.799999999999983
73	-0.03494688687970639	0.2	-28.799999999999983
74	-0.029166813408168724	0.4	-28.799999999999983
75	-0.02718648900088974	0.6	-28.799999999999983
76	-0.026187925051738697	0.8	-28.799999999999983
77	-0.025586323520225388	1.0	-28.799999999999983
78	-0.08636400912950608	0.0	-28.69999999999998
79	-0.034948441657641834	0.2	-28.69999999999998
80	-0.029167423048755046	0.4	-28.69999999999998
81	-0.027186763119430545	0.6	-28.69999999999998
82	-0.02618802838093231	0.8	-28.69999999999998
83	-0.025586323520225388	1.0	-28.69999999999998
84	-0.08636432022175831	0.0	-28.59999999999998
85	-0.034950007545200557	0.2	-28.59999999999998
86	-0.02916803705166355	0.4	-28.59999999999998
87	-0.02718703920007116	0.6	-28.59999999999998
88	-0.02618813244983753	0.8	-28.59999999999998
89	-0.025586323520225388	1.0	-28.59999999999998
90	-0.08636463353365875	0.0	-28.49999999999998
91	-0.03495158466151764	0.2	-28.49999999999998
92	-0.029168655463740145	0.4	-28.49999999999998
93	-0.02718731726388887	0.6	-28.49999999999998
94	-0.02618823726640146	0.8	-28.49999999999998
95	-0.025586323520225388	1.0	-28.49999999999998
96	-0.08636494908961347	0.0	-28.399999999999977
97	-0.034953173127426906	0.2	-28.399999999999977
98	-0.029169278332499615	0.4	-28.399999999999977
99	-0.027187597332261813	0.6	-28.399999999999977
100	-0.02618834283868477	0.8	-28.399999999999977
101	-0.025586323520225388	1.0	-28.399999999999977
102	-0.08636526691440453	0.0	-28.299999999999976
103	-0.03495477306549079	0.2	-28.299999999999976
104	-0.029169905706137436	0.4	-28.299999999999976
105	-0.02718787942687466	0.6	-28.299999999999976
106	-0.026188449174863647	0.8	-28.299999999999976
107	-0.025586323520225388	1.0	-28.299999999999976
108	-0.08636558703319787	0.0	-28.199999999999974
109	-0.0349563846000312	0.2	-28.199999999999974
110	-0.02917053763354198	0.4	-28.199999999999974
111	-0.027188163569723783	0.6	-28.199999999999974
112	-0.026188556283231863	0.8	-28.199999999999974
113	-0.025586323520225388	1.0	-28.199999999999974
114	-0.08636590947155116	0.0	-28.099999999999973
115	-0.03495800785716083	0.2	-28.099999999999973
116	-0.029171174164306778	0.4	-28.099999999999973
117	-0.02718844978312309	0.6	-28.099999999999973
118	-0.026188664172202846	0.8	-28.099999999999973
119	-0.025586323520225388	1.0	-28.099999999999973
120	-0.0863662342554222	0.0	-27.99999999999997
121	-0.03495964296481507	0.2	-27.99999999999997
122	-0.029171815348743163	0.4	-27.99999999999997
123	-0.027188738089709424	0.6	-27.99999999999997
124	-0.02618877285031191	0.8	-27.99999999999997
125	-0.025586323520225388	1.0	-27.99999999999997
126	-0.08636656141117678	0.0	-27.89999999999997
127	-0.0349612900527848	0.2	-27.89999999999997
128	-0.029172461237893202	0.4	-27.89999999999997
129	-0.027189028512448574	0.6	-27.89999999999997
130	-0.026188882326218355	0.8	-27.89999999999997
131	-0.025586323520225388	1.0	-27.89999999999997
132	-0.08636689096559795	0.0	-27.79999999999997
133	-0.03496294925274972	0.2	-27.79999999999997
134	-0.029173111883542824	0.4	-27.79999999999997
135	-0.0271893210746411	0.6	-27.79999999999997
136	-0.026188992608707714	0.8	-27.79999999999997
137	-0.025586323520225388	1.0	-27.79999999999997
138	-0.08636722294589423	0.0	-27.699999999999967
139	-0.03496462069831236	0.2	-27.699999999999967
140	-0.02917376733823524	0.4	-27.699999999999967
141	-0.02718961579992843	0.6	-27.699999999999967
142	-0.026189103706694132	0.8	-27.699999999999967
143	-0.025586323520225388	1.0	-27.699999999999967
144	-0.0863675573797091	0.0	-27.599999999999966
145	-0.03496630452503303	0.2	-27.599999999999966
146	-0.029174427655284715	0.4	-27.599999999999966
147	-0.027189912712299022	0.6	-27.599999999999966
148	-0.026189215629222534	0.8	-27.599999999999966
149	-0.025586323520225388	1.0	-27.599999999999966
150	-0.08636789429513006	0.0	-27.499999999999964
151	-0.03496800087046536	0.2	-27.499999999999964
152	-0.029175092888790617	0.4	-27.499999999999964
153	-0.0271902118360947	0.6	-27.499999999999964
154	-0.026189328385471118	0.8	-27.499999999999964
155	-0.025586323520225388	1.0	-27.499999999999964
156	-0.0863682337206984	0.0	-27.399999999999963
157	-0.03496970987419252	0.2	-27.399999999999963
158	-0.029175763093651677	0.4	-27.399999999999963
159	-0.027190513196017035	0.6	-27.399999999999963
160	-0.02618944198475383	0.8	-27.399999999999963
161	-0.025586323520225388	1.0	-27.399999999999963
162	-0.08636857568541881	0.0	-27.29999999999996
163	-0.03497143167786443	0.2	-27.29999999999996
164	-0.029176438325580617	0.4	-27.29999999999996
165	-0.02719081681713407	0.6	-27.29999999999996
166	-0.026189556436522696	0.8	-27.29999999999996
167	-0.025586323520225388	1.0	-27.29999999999996
168	-0.08636892021876959	0.0	-27.19999999999996
169	-0.03497316642523569	0.2	-27.19999999999996
170	-0.02917711864111925	0.4	-27.19999999999996
171	-0.02719112272488689	0.6	-27.19999999999996
172	-0.026189671750370493	0.8	-27.19999999999996
173	-0.025586323520225388	1.0	-27.19999999999996
174	-0.08636926735071315	0.0	-27.09999999999996
175	-0.034974914262204324	0.2	-27.09999999999996
176	-0.029177804097653602	0.4	-27.09999999999996
177	-0.02719143094509669	0.6	-27.09999999999996
178	-0.02618978793603329	0.8	-27.09999999999996
179	-0.025586323520225388	1.0	-27.09999999999996
180	-0.08636961711170636	0.0	-26.999999999999957
181	-0.03497667533685122	0.2	-26.999999999999957
182	-0.029178494753429624	0.4	-26.999999999999957
183	-0.027191741503971575	0.6	-26.999999999999957
184	-0.02618990500339312	0.8	-26.999999999999957
185	-0.025586323520225388	1.0	-26.999999999999957
186	-0.08636996953271181	0.0	-26.899999999999956
187	-0.03497844979948087	0.2	-26.899999999999956
188	-0.029179190667569084	0.4	-26.899999999999956
189	-0.027192054428113982	0.6	-26.899999999999956
190	-0.026190022962480665	0.8	-26.899999999999956
191	-0.025586323520225388	1.0	-26.899999999999956
192	-0.08637032464520898	0.0	-26.799999999999955
193	-0.034980237802662406	0.2	-26.799999999999955
194	-0.029179891900085953	0.4	-26.799999999999955
195	-0.027192369744527874	0.6	-26.799999999999955
196	-0.0261901418234781	0.8	-26.799999999999955
197	-0.025586323520225388	1.0	-26.799999999999955
198	-0.08637068248120579	0.0	-26.699999999999953
199	-0.034982039501272086	0.2	-26.699999999999953
200	-0.029180598511902973	0.4	-26.699999999999953
201	-0.027192687480626265	0.6	-26.699999999999953
202	-0.026190261596721755	0.8	-26.699999999999953
203	-0.025586323520225388	1.0	-26.699999999999953
204	-0.08637104307325051	0.0	-26.59999999999995
205	-0.03498385505253641	0.2	-26.59999999999995
206	-0.02918131056486884	0.4	-26.59999999999995
