	corr	w	p
0	-0.015019224117416574	0.0	-30.0
1	-0.05917448148871064	0.2	-30.0
2	-0.05917213437510498	0.4	-30.0
3	-0.05911972531599101	0.6	-30.0
4	-0.05908344274147816	0.8	-30.0
5	-0.05905840470506755	1.0	-30.0
6	-0.015018985718370022	0.0	-29.9
7	-0.059174385508453345	0.2	-29.9
8	-0.05917214809494556	0.4	-29.9
9	-0.05911973922625165	0.6	-29.9
10	-0.05908344944907176	0.8	-29.9
11	-0.05905840470506755	1.0	-29.9
12	-0.01501874383363909	0.0	-29.799999999999997
13	-0.05917428858247151	0.2	-29.799999999999997
14	-0.05917216182482718	0.4	-29.799999999999997
15	-0.05911975319855205	0.6	-29.799999999999997
16	-0.059083456190934636	0.8	-29.799999999999997
17	-0.05905840470506755	1.0	-29.799999999999997
18	-0.015018498403838704	0.0	-29.699999999999996
19	-0.05917419069732245	0.2	-29.699999999999996
20	-0.059172175563712626	0.4	-29.699999999999996
21	-0.05911976723306647	0.6	-29.699999999999996
22	-0.0590834629672537	0.8	-29.699999999999996
23	-0.05905840470506755	1.0	-29.699999999999996
24	-0.015018249368420819	0.0	-29.599999999999994
25	-0.05917409183931985	0.2	-29.599999999999994
26	-0.05917218931053185	0.4	-29.599999999999994
27	-0.059119781329963844	0.6	-29.599999999999994
28	-0.05908346977821564	0.8	-29.599999999999994
29	-0.05905840470506755	1.0	-29.599999999999994
30	-0.01501799666564737	0.0	-29.499999999999993
31	-0.0591739919945284	0.2	-29.499999999999993
32	-0.0591722030641809	0.4	-29.499999999999993
33	-0.05911979548940753	0.6	-29.499999999999993
34	-0.05908347662400695	0.8	-29.499999999999993
35	-0.05905840470506755	1.0	-29.499999999999993
36	-0.015017740232561957	0.0	-29.39999999999999
37	-0.059173891148758165	0.2	-29.39999999999999
38	-0.0591722168235209	0.4	-29.39999999999999
39	-0.059119809711555144	0.6	-29.39999999999999
40	-0.05908348350481371	0.8	-29.39999999999999
41	-0.05905840470506755	1.0	-29.39999999999999
42	-0.015017480004961309	0.0	-29.29999999999999
43	-0.059173789287558905	0.2	-29.29999999999999
44	-0.05917223058737707	0.4	-29.29999999999999
45	-0.059119823996558046	0.6	-29.29999999999999
46	-0.05908349042082162	0.8	-29.29999999999999
47	-0.05905840470506755	1.0	-29.29999999999999
48	-0.015017215917365219	0.0	-29.19999999999999
49	-0.05917368639621406	0.2	-29.19999999999999
50	-0.05917224435453766	0.4	-29.19999999999999
51	-0.05911983834456122	0.6	-29.19999999999999
52	-0.059083497372215896	0.8	-29.19999999999999
53	-0.05905840470506755	1.0	-29.19999999999999
54	-0.015016947902986376	0.0	-29.099999999999987
55	-0.05917358245973482	0.2	-29.099999999999987
56	-0.05917225812375272	0.4	-29.099999999999987
57	-0.05911985275570291	0.6	-29.099999999999987
58	-0.05908350435918119	0.8	-29.099999999999987
59	-0.05905840470506755	1.0	-29.099999999999987
60	-0.01501667589369864	0.0	-28.999999999999986
61	-0.059173477462853785	0.2	-28.999999999999986
62	-0.05917227189373303	0.4	-28.999999999999986
63	-0.059119867230114344	0.6	-28.999999999999986
64	-0.05908351138190143	0.8	-28.999999999999986
65	-0.05905840470506755	1.0	-28.999999999999986
66	-0.015016399820004848	0.0	-28.899999999999984
67	-0.05917337139001861	0.2	-28.899999999999984
68	-0.05917228566314886	0.4	-28.899999999999984
69	-0.059119881767919255	0.6	-28.899999999999984
70	-0.059083518440559896	0.8	-28.899999999999984
71	-0.05905840470506755	1.0	-28.899999999999984
72	-0.015016119611003395	0.0	-28.799999999999983
73	-0.05917326422538541	0.2	-28.799999999999983
74	-0.059172299430628794	0.4	-28.799999999999983
75	-0.05911989636923366	0.6	-28.799999999999983
76	-0.059083525535338965	0.8	-28.799999999999983
77	-0.05905840470506755	1.0	-28.799999999999983
78	-0.015015835194353927	0.0	-28.69999999999998
79	-0.05917315595281199	0.2	-28.69999999999998
80	-0.059172313194758366	0.4	-28.69999999999998
81	-0.05911991103416549	0.6	-28.69999999999998
82	-0.05908353266642013	0.8	-28.69999999999998
83	-0.05905840470506755	1.0	-28.69999999999998
84	-0.015015546496241958	0.0	-28.59999999999998
85	-0.05917304655585083	0.2	-28.59999999999998
86	-0.0591723269540788	0.4	-28.59999999999998
87	-0.05911992576281409	0.6	-28.59999999999998
88	-0.05908353983398372	0.8	-28.59999999999998
89	-0.05905840470506755	1.0	-28.59999999999998
90	-0.015015253441342767	0.0	-28.49999999999998
91	-0.059172936017742025	0.2	-28.49999999999998
92	-0.05917234070708558	0.4	-28.49999999999998
93	-0.05911994055526997	0.6	-28.49999999999998
94	-0.05908354703820909	0.8	-28.49999999999998
95	-0.05905840470506755	1.0	-28.49999999999998
96	-0.015014955952783255	0.0	-28.399999999999977
97	-0.05917282432140581	0.2	-28.399999999999977
98	-0.05917235445222709	0.4	-28.399999999999977
99	-0.059119955411614314	0.6	-28.399999999999977
100	-0.05908355427927418	0.8	-28.399999999999977
101	-0.05905840470506755	1.0	-28.399999999999977
102	-0.015014653952103989	0.0	-28.299999999999976
103	-0.05917271144943509	0.2	-28.299999999999976
104	-0.05917236818790319	0.4	-28.299999999999976
105	-0.059119970331918535	0.6	-28.299999999999976
106	-0.05908356155735562	0.8	-28.299999999999976
107	-0.05905840470506755	1.0	-28.299999999999976
108	-0.01501434735921895	0.0	-28.199999999999974
109	-0.05917259738408751	0.2	-28.199999999999974
110	-0.05917238191246353	0.4	-28.199999999999974
111	-0.059119985316243816	0.6	-28.199999999999974
112	-0.05908356887262854	0.8	-28.199999999999974
113	-0.05905840470506755	1.0	-28.199999999999974
114	-0.015014036092374665	0.0	-28.099999999999973
115	-0.05917248210727756	0.2	-28.099999999999973
116	-0.05917239562420609	0.4	-28.099999999999973
117	-0.05912000036464079	0.6	-28.099999999999973
118	-0.05908357622526634	0.8	-28.099999999999973
119	-0.05905840470506755	1.0	-28.099999999999973
