	corr	w	p
0	-0.027750072526419797	0.0	-30.0
1	-0.013906331802794962	0.2	-30.0
2	-0.010273895245176433	0.4	-30.0
3	-0.008896312783300353	0.6	-30.0
4	-0.008178429923661874	0.8	-30.0
5	-0.007738899461477091	1.0	-30.0
6	-0.027750693060912317	0.0	-29.9
7	-0.013907901869583749	0.2	-29.9
8	-0.010274614339044	0.4	-29.9
9	-0.008896650545103505	0.6	-29.9
10	-0.008178559789342421	0.8	-29.9
11	-0.007738899461477091	1.0	-29.9
12	-0.027751320004748267	0.0	-29.799999999999997
13	-0.01390948329313656	0.2	-29.799999999999997
14	-0.010275338651743625	0.4	-29.799999999999997
15	-0.008896990760419225	0.6	-29.799999999999997
16	-0.008178690598703294	0.8	-29.799999999999997
17	-0.007738899461477091	1.0	-29.799999999999997
18	-0.027751953445140067	0.0	-29.699999999999996
19	-0.013911076196403215	0.2	-29.699999999999996
20	-0.010276068239970028	0.4	-29.699999999999996
21	-0.008897333455925902	0.6	-29.699999999999996
22	-0.008178822362009291	0.8	-29.699999999999996
23	-0.007738899461477091	1.0	-29.699999999999996
24	-0.02775259347074993	0.0	-29.599999999999994
25	-0.013912680704096337	0.2	-29.599999999999994
26	-0.0102768031612341	0.4	-29.599999999999994
27	-0.008897678658686445	0.6	-29.599999999999994
28	-0.008178955089673402	0.8	-29.599999999999994
29	-0.007738899461477091	1.0	-29.599999999999994
30	-0.027753240171717996	0.0	-29.499999999999993
31	-0.013914296942722755	0.2	-29.499999999999993
32	-0.010277543473877479	0.4	-29.499999999999993
33	-0.008898026396155051	0.6	-29.499999999999993
34	-0.008179088792259117	0.8	-29.499999999999993
35	-0.007738899461477091	1.0	-29.499999999999993
36	-0.027753893639690986	0.0	-29.39999999999999
37	-0.01391592504061524	0.2	-29.39999999999999
38	-0.010278289237087467	0.4	-29.39999999999999
39	-0.008898376696184361	0.6	-29.39999999999999
40	-0.00817922348048335	0.8	-29.39999999999999
41	-0.007738899461477091	1.0	-29.39999999999999
42	-0.027754553967851696	0.0	-29.29999999999999
43	-0.01391756512796529	0.2	-29.29999999999999
44	-0.010279040510912132	0.4	-29.29999999999999
45	-0.008898729587032507	0.6	-29.29999999999999
46	-0.008179359165219079	0.8	-29.29999999999999
47	-0.007738899461477091	1.0	-29.29999999999999
48	-0.027755221250948904	0.0	-29.19999999999999
49	-0.013919217336856322	0.2	-29.19999999999999
50	-0.010279797356275804	0.4	-29.19999999999999
51	-0.0088990850973705	0.6	-29.19999999999999
52	-0.0081794958574982	0.8	-29.19999999999999
53	-0.007738899461477091	1.0	-29.19999999999999
54	-0.02775589558532819	0.0	-29.099999999999987
55	-0.013920881801297705	0.2	-29.099999999999987
56	-0.010280559834995042	0.4	-29.099999999999987
57	-0.008899443256289587	0.6	-29.099999999999987
58	-0.008179633568514448	0.8	-29.099999999999987
59	-0.007738899461477091	1.0	-29.099999999999987
60	-0.0277565770689632	0.0	-28.999999999999986
61	-0.013922558657259457	0.2	-28.999999999999986
62	-0.010281328009794567	0.4	-28.999999999999986
63	-0.00889980409330906	0.6	-28.999999999999986
64	-0.008179772309626293	0.8	-28.999999999999986
65	-0.007738899461477091	1.0	-28.999999999999986
66	-0.027757265801487862	0.0	-28.899999999999984
67	-0.0139242480427078	0.2	-28.899999999999984
68	-0.010282101944324074	0.4	-28.899999999999984
69	-0.008900167638383867	0.6	-28.899999999999984
70	-0.008179912092359907	0.8	-28.899999999999984
71	-0.007738899461477091	1.0	-28.899999999999984
72	-0.027757961884229135	0.0	-28.799999999999983
73	-0.013925950097641264	0.2	-28.799999999999983
74	-0.010282881703174884	0.4	-28.799999999999983
75	-0.008900533921912717	0.6	-28.799999999999983
76	-0.008180052928412316	0.8	-28.799999999999983
77	-0.007738899461477091	1.0	-28.799999999999983
78	-0.02775866542024061	0.0	-28.69999999999998
79	-0.013927664964127883	0.2	-28.69999999999998
80	-0.010283667351897261	0.4	-28.69999999999998
81	-0.008900902974746109	0.6	-28.69999999999998
82	-0.008180194829654444	0.8	-28.69999999999998
83	-0.007738899461477091	1.0	-28.69999999999998
84	-0.027759376514336798	0.0	-28.59999999999998
85	-0.013929392786342799	0.2	-28.59999999999998
86	-0.01028445895701814	0.4	-28.59999999999998
87	-0.008901274828194734	0.6	-28.59999999999998
88	-0.008180337808134428	0.8	-28.59999999999998
89	-0.007738899461477091	1.0	-28.59999999999998
90	-0.02776009527312837	0.0	-28.49999999999998
91	-0.013931133710607124	0.2	-28.49999999999998
92	-0.010285256586058927	0.4	-28.49999999999998
93	-0.008901649514037942	0.6	-28.49999999999998
94	-0.008180481876080713	0.8	-28.49999999999998
95	-0.007738899461477091	1.0	-28.49999999999998
96	-0.0277608218050578	0.0	-28.399999999999977
97	-0.013932887885427231	0.2	-28.399999999999977
98	-0.010286060307554112	0.4	-28.399999999999977
99	-0.008902027064532447	0.6	-28.399999999999977
100	-0.00818062704590569	0.8	-28.399999999999977
101	-0.007738899461477091	1.0	-28.399999999999977
102	-0.027761556220436488	0.0	-28.299999999999976
103	-0.013934655461535253	0.2	-28.299999999999976
104	-0.010286870191069943	0.4	-28.299999999999976
105	-0.008902407512421108	0.6	-28.299999999999976
106	-0.008180773330208758	0.8	-28.299999999999976
107	-0.007738899461477091	1.0	-28.299999999999976
108	-0.02776229863148206	0.0	-28.199999999999974
109	-0.013936436591930229	0.2	-28.199999999999974
110	-0.010287686307223693	0.4	-28.199999999999974
111	-0.008902790890942126	0.6	-28.199999999999974
112	-0.00818092074178008	0.8	-28.199999999999974
113	-0.007738899461477091	1.0	-28.199999999999974
114	-0.027763049152356868	0.0	-28.099999999999973
115	-0.013938231431920207	0.2	-28.099999999999973
116	-0.010288508727703307	0.4	-28.099999999999973
117	-0.008903177233838292	0.6	-28.099999999999973
118	-0.008181069293604078	0.8	-28.099999999999973
119	-0.007738899461477091	1.0	-28.099999999999973
120	-0.027763807899207474	0.0	-27.99999999999997
121	-0.013940040139165473	0.2	-27.99999999999997
122	-0.010289337525287516	0.4	-27.99999999999997
123	-0.008903566575366366	0.6	-27.99999999999997
124	-0.008181218998863067	0.8	-27.99999999999997
125	-0.007738899461477091	1.0	-27.99999999999997
126	-0.02776457499020479	0.0	-27.89999999999997
127	-0.013941862873722405	0.2	-27.89999999999997
128	-0.01029017277386635	0.4	-27.89999999999997
129	-0.008903958950306944	0.6	-27.89999999999997
130	-0.008181369870941002	0.8	-27.89999999999997
131	-0.007738899461477091	1.0	-27.89999999999997
132	-0.02776535054558536	0.0	-27.79999999999997
133	-0.013943699798088561	0.2	-27.79999999999997
134	-0.010291014548462112	0.4	-27.79999999999997
135	-0.008904354393974183	0.6	-27.79999999999997
136	-0.008181521923427299	0.8	-27.79999999999997
137	-0.007738899461477091	1.0	-27.79999999999997
138	-0.027766134687693428	0.0	-27.699999999999967
139	-0.013945551077248677	0.2	-27.699999999999967
140	-0.010291862925250866	0.4	-27.699999999999967
141	-0.00890475294222608	0.6	-27.699999999999967
142	-0.008181675170120707	0.8	-27.699999999999967
143	-0.007738899461477091	1.0	-27.699999999999967
144	-0.02776692754102426	0.0	-27.599999999999966
145	-0.013947416878721775	0.2	-27.599999999999966
146	-0.010292717981584442	0.4	-27.599999999999966
147	-0.008905154631474788	0.6	-27.599999999999966
148	-0.008181829625033391	0.8	-27.599999999999966
149	-0.007738899461477091	1.0	-27.599999999999966
150	-0.027767729232268112	0.0	-27.499999999999964
151	-0.01394929737260915	0.2	-27.499999999999964
152	-0.010293579796012814	0.4	-27.499999999999964
153	-0.008905559498697174	0.6	-27.499999999999964
154	-0.008181985302394905	0.8	-27.499999999999964
155	-0.007738899461477091	1.0	-27.499999999999964
156	-0.027768539890355687	0.0	-27.399999999999963
157	-0.013951192731643594	0.2	-27.399999999999963
158	-0.010294448448307066	0.4	-27.399999999999963
159	-0.008905967581445693	0.6	-27.399999999999963
160	-0.008182142216656446	0.8	-27.399999999999963
161	-0.007738899461477091	1.0	-27.399999999999963
162	-0.027769359646504264	0.0	-27.29999999999996
163	-0.01395310313123977	0.2	-27.29999999999996
164	-0.01029532401948296	0.4	-27.29999999999996
165	-0.008906378917859538	0.6	-27.29999999999996
166	-0.008182300382495102	0.8	-27.29999999999996
167	-0.007738899461477091	1.0	-27.29999999999996
168	-0.027770188634265235	0.0	-27.19999999999996
169	-0.01395502874954555	0.2	-27.19999999999996
170	-0.01029620659182482	0.4	-27.19999999999996
171	-0.008906793546675791	0.6	-27.19999999999996
172	-0.008182459814818186	0.8	-27.19999999999996
173	-0.007738899461477091	1.0	-27.19999999999996
174	-0.02777102698957242	0.0	-27.09999999999996
175	-0.013956969767494732	0.2	-27.09999999999996
176	-0.010297096248910231	0.4	-27.09999999999996
177	-0.008907211507241282	0.6	-27.09999999999996
178	-0.008182620528767766	0.8	-27.09999999999996
179	-0.007738899461477091	1.0	-27.09999999999996
180	-0.027771874850792046	0.0	-26.999999999999957
181	-0.013958926368860763	0.2	-26.999999999999957
182	-0.010297993075635135	0.4	-26.999999999999957
183	-0.008907632839524312	0.6	-26.999999999999957
184	-0.008182782539725205	0.8	-26.999999999999957
185	-0.007738899461477091	1.0	-26.999999999999957
186	-0.027772732358773453	0.0	-26.899999999999956
187	-0.013960898740311933	0.2	-26.899999999999956
188	-0.010298897158239555	0.4	-26.899999999999956
189	-0.00890805758412671	0.6	-26.899999999999956
190	-0.008182945863315853	0.8	-26.899999999999956
191	-0.007738899461477091	1.0	-26.899999999999956
192	-0.027773599656901307	0.0	-26.799999999999955
193	-0.01396288707146755	0.2	-26.799999999999955
194	-0.010299808584333874	0.4	-26.799999999999955
195	-0.008908485782296582	0.6	-26.799999999999955
196	-0.008183110515413816	0.8	-26.799999999999955
197	-0.007738899461477091	1.0	-26.799999999999955
198	-0.027774476891148925	0.0	-26.699999999999953
199	-0.0139648915549557	0.2	-26.699999999999953
200	-0.010300727442925903	0.4	-26.699999999999953
201	-0.008908917475940581	0.6	-26.699999999999953
202	-0.008183276512146894	0.8	-26.699999999999953
203	-0.007738899461477091	1.0	-26.699999999999953
204	-0.027775364210133043	0.0	-26.59999999999995
205	-0.013966912386472113	0.2	-26.59999999999995
206	-0.010301653824448281	0.4	-26.59999999999995
207	-0.008909352707637347	0.6	-26.59999999999995
208	-0.008183443869901543	0.8	-26.59999999999995
209	-0.007738899461477091	1.0	-26.59999999999995
210	-0.027776261765169775	0.0	-26.49999999999995
211	-0.013968949764840664	0.2	-26.49999999999995
212	-0.010302587820786739	0.4	-26.49999999999995
213	-0.008909791520650596	0.6	-26.49999999999995
214	-0.008183612605328126	0.8	-26.49999999999995
215	-0.007738899461477091	1.0	-26.49999999999995
216	-0.027777169710332075	0.0	-26.39999999999995
217	-0.01397100389207498	0.2	-26.39999999999995
218	-0.010303529525309149	0.4	-26.39999999999995
219	-0.008910233958942788	0.6	-26.39999999999995
220	-0.008183782735345969	0.8	-26.39999999999995
221	-0.007738899461477091	1.0	-26.39999999999995
222	-0.02777808820250852	0.0	-26.299999999999947
223	-0.013973074973441725	0.2	-26.299999999999947
224	-0.010304479032894755	0.4	-26.299999999999947
225	-0.008910680067189139	0.6	-26.299999999999947
226	-0.008183954277148912	0.8	-26.299999999999947
227	-0.007738899461477091	1.0	-26.299999999999947
228	-0.02777901740146351	0.0	-26.199999999999946
229	-0.013975163217525333	0.2	-26.199999999999946
230	-0.01030543643996475	0.4	-26.199999999999946
231	-0.008911129890791928	0.6	-26.199999999999946
232	-0.008184127248210805	0.8	-26.199999999999946
233	-0.007738899461477091	1.0	-26.199999999999946
234	-0.02777995746989916	0.0	-26.099999999999945
235	-0.01397726883629422	0.2	-26.099999999999945
236	-0.010306401844513133	0.4	-26.099999999999945
237	-0.008911583475895032	0.6	-26.099999999999945
238	-0.00818430166629104	0.8	-26.099999999999945
239	-0.007738899461477091	1.0	-26.099999999999945
240	-0.027780908573518472	0.0	-25.999999999999943
241	-0.013979392045168532	0.2	-25.999999999999943
242	-0.010307375346138367	0.4	-25.999999999999943
243	-0.008912040869399071	0.6	-25.999999999999943
244	-0.008184477549440454	0.8	-25.999999999999943
245	-0.007738899461477091	1.0	-25.999999999999943
246	-0.02778187088109033	0.0	-25.89999999999994
247	-0.01398153306308968	0.2	-25.89999999999994
248	-0.010308357046076065	0.4	-25.89999999999994
249	-0.008912502118976585	0.6	-25.89999999999994
250	-0.008184654916007145	0.8	-25.89999999999994
251	-0.007738899461477091	1.0	-25.89999999999994
252	-0.027782844564515886	0.0	-25.79999999999994
253	-0.013983692112591352	0.2	-25.79999999999994
254	-0.01030934704723205	0.4	-25.79999999999994
255	-0.008912967273087916	0.6	-25.79999999999994
256	-0.008184833784642565	0.8	-25.79999999999994
257	-0.007738899461477091	1.0	-25.79999999999994
258	-0.02778382979889677	0.0	-25.69999999999994
259	-0.013985869419872413	0.2	-25.69999999999994
260	-0.010310345454216552	0.4	-25.69999999999994
261	-0.008913436380997182	0.6	-25.69999999999994
262	-0.008185014174307786	0.8	-25.69999999999994
263	-0.007738899461477091	1.0	-25.69999999999994
264	-0.02778482676260507	0.0	-25.599999999999937
265	-0.013988065214871316	0.2	-25.599999999999937
266	-0.010311352373379204	0.4	-25.599999999999937
267	-0.008913909492788884	0.6	-25.599999999999937
268	-0.008185196104279775	0.8	-25.599999999999937
269	-0.007738899461477091	1.0	-25.599999999999937
270	-0.027785835637354903	0.0	-25.499999999999936
271	-0.013990279731342571	0.2	-25.499999999999936
272	-0.010312367912844586	0.4	-25.499999999999936
273	-0.008914386659384686	0.6	-25.499999999999936
274	-0.008185379594157894	0.8	-25.499999999999936
275	-0.007738899461477091	1.0	-25.499999999999936
276	-0.027786856608275973	0.0	-25.399999999999935
277	-0.013992513206935004	0.2	-25.399999999999935
278	-0.01031339218254909	0.4	-25.399999999999935
279	-0.008914867932560808	0.6	-25.399999999999935
280	-0.008185564663870671	0.8	-25.399999999999935
281	-0.007738899461477091	1.0	-25.399999999999935
282	-0.02778788986398882	0.0	-25.299999999999933
283	-0.01399476588327173	0.2	-25.299999999999933
284	-0.010314425294278253	0.4	-25.299999999999933
285	-0.008915353364965774	0.6	-25.299999999999933
286	-0.008185751333682573	0.8	-25.299999999999933
287	-0.007738899461477091	1.0	-25.299999999999933
288	-0.027788935596682357	0.0	-25.199999999999932
289	-0.013997038006032457	0.2	-25.199999999999932
290	-0.010315467361705402	0.4	-25.199999999999932
291	-0.008915843010138593	0.6	-25.199999999999932
292	-0.008185939624200974	0.8	-25.199999999999932
293	-0.007738899461477091	1.0	-25.199999999999932
294	-0.027789994002192963	0.0	-25.09999999999993
295	-0.013999329825037387	0.2	-25.09999999999993
