	corr	w	p
0	-0.15091014050021684	0.0	-30.0
1	-0.04344587889311676	0.2	-30.0
2	-0.04344587887702088	0.4	-30.0
3	-0.04344587887165559	0.6	-30.0
4	-0.04344587886897293	0.8	-30.0
5	-0.04344587886736334	1.0	-30.0
6	-0.1509125834748959	0.0	-29.9
7	-0.04344587889321311	0.2	-29.9
8	-0.043445878877057004	0.4	-29.9
9	-0.04344587887167163	0.6	-29.9
10	-0.04344587886897896	0.8	-29.9
11	-0.04344587886736334	1.0	-29.9
12	-0.1509150428739897	0.0	-29.799999999999997
13	-0.0434458788933102	0.2	-29.799999999999997
14	-0.043445878877093405	0.4	-29.799999999999997
15	-0.043445878871687826	0.6	-29.799999999999997
16	-0.043445878868985	0.8	-29.799999999999997
17	-0.04344587886736334	1.0	-29.799999999999997
18	-0.15091751886368354	0.0	-29.699999999999996
19	-0.043445878893407994	0.2	-29.699999999999996
20	-0.04344587887713009	0.4	-29.699999999999996
21	-0.04344587887170413	0.6	-29.699999999999996
22	-0.04344587886899113	0.8	-29.699999999999996
23	-0.04344587886736334	1.0	-29.699999999999996
24	-0.15092001161242974	0.0	-29.599999999999994
25	-0.04344587889350655	0.2	-29.599999999999994
26	-0.04344587887716703	0.4	-29.599999999999994
27	-0.04344587887172055	0.6	-29.599999999999994
28	-0.04344587886899727	0.8	-29.599999999999994
29	-0.04344587886736334	1.0	-29.599999999999994
30	-0.15092252129096112	0.0	-29.499999999999993
31	-0.04344587889360582	0.2	-29.499999999999993
32	-0.04344587887720427	0.4	-29.499999999999993
33	-0.0434458788717371	0.6	-29.499999999999993
34	-0.04344587886900349	0.8	-29.499999999999993
35	-0.04344587886736334	1.0	-29.499999999999993
36	-0.15092504807233664	0.0	-29.39999999999999
37	-0.043445878893705867	0.2	-29.39999999999999
38	-0.043445878877241786	0.4	-29.39999999999999
39	-0.04344587887175376	0.6	-29.39999999999999
40	-0.043445878869009726	0.8	-29.39999999999999
41	-0.04344587886736334	1.0	-29.39999999999999
42	-0.15092759213199666	0.0	-29.29999999999999
43	-0.043445878893806675	0.2	-29.29999999999999
44	-0.043445878877279576	0.4	-29.29999999999999
45	-0.043445878871770566	0.6	-29.29999999999999
46	-0.04344587886901606	0.8	-29.29999999999999
47	-0.04344587886736334	1.0	-29.29999999999999
48	-0.1509301536477682	0.0	-29.19999999999999
49	-0.043445878893908246	0.2	-29.19999999999999
50	-0.04344587887731768	0.4	-29.19999999999999
51	-0.0434458788717875	0.6	-29.19999999999999
52	-0.0434458788690224	0.8	-29.19999999999999
53	-0.04344587886736334	1.0	-29.19999999999999
54	-0.15093273279993163	0.0	-29.099999999999987
55	-0.04344587889401058	0.2	-29.099999999999987
56	-0.043445878877356056	0.4	-29.099999999999987
57	-0.04344587887180455	0.6	-29.099999999999987
58	-0.04344587886902879	0.8	-29.099999999999987
59	-0.04344587886736334	1.0	-29.099999999999987
60	-0.15093532977127436	0.0	-28.999999999999986
61	-0.04344587889411373	0.2	-28.999999999999986
62	-0.04344587887739472	0.4	-28.999999999999986
63	-0.04344587887182173	0.6	-28.999999999999986
64	-0.04344587886903524	0.8	-28.999999999999986
65	-0.04344587886736334	1.0	-28.999999999999986
66	-0.15093794474710634	0.0	-28.899999999999984
67	-0.04344587889421765	0.2	-28.899999999999984
68	-0.043445878877433716	0.4	-28.899999999999984
69	-0.043445878871839066	0.6	-28.899999999999984
70	-0.043445878869041735	0.8	-28.899999999999984
71	-0.04344587886736334	1.0	-28.899999999999984
72	-0.1509405779152984	0.0	-28.799999999999983
73	-0.04344587889432239	0.2	-28.799999999999983
74	-0.04344587887747299	0.4	-28.799999999999983
75	-0.04344587887185651	0.6	-28.799999999999983
76	-0.04344587886904828	0.8	-28.799999999999983
77	-0.04344587886736334	1.0	-28.799999999999983
78	-0.15094322946638233	0.0	-28.69999999999998
79	-0.043445878894427956	0.2	-28.69999999999998
80	-0.04344587887751256	0.4	-28.69999999999998
81	-0.043445878871874115	0.6	-28.69999999999998
82	-0.04344587886905488	0.8	-28.69999999999998
83	-0.04344587886736334	1.0	-28.69999999999998
84	-0.15094589959354718	0.0	-28.59999999999998
85	-0.04344587889453433	0.2	-28.59999999999998
86	-0.04344587887755247	0.4	-28.59999999999998
87	-0.043445878871891844	0.6	-28.59999999999998
88	-0.043445878869061524	0.8	-28.59999999999998
89	-0.04344587886736334	1.0	-28.59999999999998
90	-0.1509485884926755	0.0	-28.49999999999998
91	-0.043445878894641535	0.2	-28.49999999999998
92	-0.043445878877592665	0.4	-28.49999999999998
93	-0.0434458788719097	0.6	-28.49999999999998
94	-0.043445878869068214	0.8	-28.49999999999998
95	-0.04344587886736334	1.0	-28.49999999999998
96	-0.15095129636242993	0.0	-28.399999999999977
97	-0.0434458788947496	0.2	-28.399999999999977
98	-0.04344587887763318	0.4	-28.399999999999977
99	-0.043445878871927725	0.6	-28.399999999999977
100	-0.043445878869074986	0.8	-28.399999999999977
101	-0.04344587886736334	1.0	-28.399999999999977
102	-0.15095402340430092	0.0	-28.299999999999976
103	-0.04344587889485851	0.2	-28.299999999999976
104	-0.043445878877674024	0.4	-28.299999999999976
105	-0.04344587887194587	0.6	-28.299999999999976
106	-0.04344587886908179	0.8	-28.299999999999976
107	-0.04344587886736334	1.0	-28.299999999999976
108	-0.15095676982260414	0.0	-28.199999999999974
109	-0.04344587889496828	0.2	-28.199999999999974
110	-0.04344587887771519	0.4	-28.199999999999974
111	-0.043445878871964175	0.6	-28.199999999999974
112	-0.04344587886908864	0.8	-28.199999999999974
113	-0.04344587886736334	1.0	-28.199999999999974
114	-0.15095953582461819	0.0	-28.099999999999973
115	-0.043445878895078935	0.2	-28.099999999999973
116	-0.043445878877756694	0.4	-28.099999999999973
117	-0.043445878871982604	0.6	-28.099999999999973
118	-0.04344587886909558	0.8	-28.099999999999973
119	-0.04344587886736334	1.0	-28.099999999999973
120	-0.15096232162055245	0.0	-27.99999999999997
121	-0.043445878895190485	0.2	-27.99999999999997
122	-0.04344587887779852	0.4	-27.99999999999997
123	-0.0434458788720012	0.6	-27.99999999999997
124	-0.04344587886910253	0.8	-27.99999999999997
125	-0.04344587886736334	1.0	-27.99999999999997
126	-0.15096512742364854	0.0	-27.89999999999997
127	-0.043445878895302895	0.2	-27.89999999999997
128	-0.043445878877840675	0.4	-27.89999999999997
129	-0.043445878872019936	0.6	-27.89999999999997
130	-0.04344587886910957	0.8	-27.89999999999997
131	-0.04344587886736334	1.0	-27.89999999999997
132	-0.15096795345021197	0.0	-27.79999999999997
