	corr	w	p
0	-0.1495033354499582	0.0	-30.0
1	-0.04344587889359226	0.2	-30.0
2	-0.04344587887719918	0.4	-30.0
3	-0.04344587887173483	0.6	-30.0
4	-0.04344587886900264	0.8	-30.0
5	-0.04344587886736334	1.0	-30.0
6	-0.1495061961168841	0.0	-29.9
7	-0.043445878893688394	0.2	-29.9
8	-0.04344587887723522	0.4	-29.9
9	-0.04344587887175086	0.6	-29.9
10	-0.043445878869008636	0.8	-29.9
11	-0.04344587886736334	1.0	-29.9
12	-0.14950907605280192	0.0	-29.799999999999997
13	-0.04344587889378522	0.2	-29.799999999999997
14	-0.04344587887727154	0.4	-29.799999999999997
15	-0.043445878871766985	0.6	-29.799999999999997
16	-0.043445878869014715	0.8	-29.799999999999997
17	-0.04344587886736334	1.0	-29.799999999999997
18	-0.14951197545308453	0.0	-29.699999999999996
19	-0.04344587889388274	0.2	-29.699999999999996
20	-0.04344587887730811	0.4	-29.699999999999996
21	-0.04344587887178324	0.6	-29.699999999999996
22	-0.04344587886902079	0.8	-29.699999999999996
23	-0.04344587886736334	1.0	-29.699999999999996
24	-0.14951489451572658	0.0	-29.599999999999994
25	-0.04344587889398101	0.2	-29.599999999999994
26	-0.04344587887734497	0.4	-29.599999999999994
27	-0.043445878871799626	0.6	-29.599999999999994
28	-0.04344587886902694	0.8	-29.599999999999994
29	-0.04344587886736334	1.0	-29.599999999999994
30	-0.1495178334414204	0.0	-29.499999999999993
31	-0.04344587889408	0.2	-29.499999999999993
32	-0.04344587887738208	0.4	-29.499999999999993
33	-0.043445878871816127	0.6	-29.499999999999993
34	-0.04344587886903313	0.8	-29.499999999999993
35	-0.04344587886736334	1.0	-29.499999999999993
36	-0.14952079243361105	0.0	-29.39999999999999
37	-0.043445878894179696	0.2	-29.39999999999999
38	-0.04344587887741948	0.4	-29.39999999999999
39	-0.043445878871832745	0.6	-29.39999999999999
40	-0.04344587886903936	0.8	-29.39999999999999
41	-0.04344587886736334	1.0	-29.39999999999999
42	-0.1495237716985331	0.0	-29.29999999999999
43	-0.04344587889428017	0.2	-29.29999999999999
44	-0.043445878877457156	0.4	-29.29999999999999
45	-0.043445878871849475	0.6	-29.29999999999999
46	-0.04344587886904564	0.8	-29.29999999999999
47	-0.04344587886736334	1.0	-29.29999999999999
48	-0.14952677144524137	0.0	-29.19999999999999
49	-0.04344587889438138	0.2	-29.19999999999999
50	-0.04344587887749511	0.4	-29.19999999999999
51	-0.043445878871866364	0.6	-29.19999999999999
52	-0.043445878869051956	0.8	-29.19999999999999
53	-0.04344587886736334	1.0	-29.19999999999999
54	-0.1495297918856875	0.0	-29.099999999999987
55	-0.043445878894483356	0.2	-29.099999999999987
56	-0.04344587887753335	0.4	-29.099999999999987
57	-0.04344587887188335	0.6	-29.099999999999987
58	-0.04344587886905834	0.8	-29.099999999999987
59	-0.04344587886736334	1.0	-29.099999999999987
60	-0.14953283323475564	0.0	-28.999999999999986
61	-0.04344587889458612	0.2	-28.999999999999986
62	-0.0434458788775719	0.4	-28.999999999999986
63	-0.043445878871900476	0.6	-28.999999999999986
64	-0.04344587886906476	0.8	-28.999999999999986
65	-0.04344587886736334	1.0	-28.999999999999986
66	-0.1495358957103043	0.0	-28.899999999999984
67	-0.04344587889468964	0.2	-28.899999999999984
68	-0.043445878877610714	0.4	-28.899999999999984
69	-0.043445878871917726	0.6	-28.899999999999984
70	-0.04344587886907123	0.8	-28.899999999999984
71	-0.04344587886736334	1.0	-28.899999999999984
72	-0.1495389795332519	0.0	-28.799999999999983
73	-0.04344587889479396	0.2	-28.799999999999983
74	-0.04344587887764982	0.4	-28.799999999999983
75	-0.043445878871935115	0.6	-28.799999999999983
76	-0.043445878869077775	0.8	-28.799999999999983
77	-0.04344587886736334	1.0	-28.799999999999983
78	-0.1495420849275829	0.0	-28.69999999999998
79	-0.043445878894899065	0.2	-28.69999999999998
80	-0.043445878877689234	0.4	-28.69999999999998
81	-0.043445878871952635	0.6	-28.69999999999998
82	-0.04344587886908433	0.8	-28.69999999999998
83	-0.04344587886736334	1.0	-28.69999999999998
84	-0.14954521212044358	0.0	-28.59999999999998
85	-0.04344587889500499	0.2	-28.59999999999998
86	-0.043445878877728966	0.4	-28.59999999999998
87	-0.04344587887197028	0.6	-28.59999999999998
88	-0.043445878869090945	0.8	-28.59999999999998
89	-0.04344587886736334	1.0	-28.59999999999998
90	-0.14954836134217736	0.0	-28.49999999999998
91	-0.04344587889511172	0.2	-28.49999999999998
92	-0.043445878877768976	0.4	-28.49999999999998
93	-0.04344587887198808	0.6	-28.49999999999998
94	-0.04344587886909761	0.8	-28.49999999999998
95	-0.04344587886736334	1.0	-28.49999999999998
96	-0.14955153282637706	0.0	-28.399999999999977
97	-0.04344587889521927	0.2	-28.399999999999977
98	-0.043445878877809305	0.4	-28.399999999999977
99	-0.04344587887200599	0.6	-28.399999999999977
100	-0.04344587886910434	0.8	-28.399999999999977
101	-0.04344587886736334	1.0	-28.399999999999977
102	-0.14955472680996193	0.0	-28.299999999999976
103	-0.04344587889532765	0.2	-28.299999999999976
104	-0.04344587887784996	0.4	-28.299999999999976
105	-0.04344587887202406	0.6	-28.299999999999976
106	-0.04344587886911111	0.8	-28.299999999999976
107	-0.04344587886736334	1.0	-28.299999999999976
108	-0.14955794353320723	0.0	-28.199999999999974
109	-0.043445878895436885	0.2	-28.199999999999974
110	-0.043445878877890906	0.4	-28.199999999999974
111	-0.04344587887204228	0.6	-28.199999999999974
112	-0.04344587886911793	0.8	-28.199999999999974
113	-0.04344587886736334	1.0	-28.199999999999974
114	-0.14956118323984857	0.0	-28.099999999999973
115	-0.04344587889554697	0.2	-28.099999999999973
116	-0.04344587887793219	0.4	-28.099999999999973
117	-0.043445878872060625	0.6	-28.099999999999973
118	-0.043445878869124814	0.8	-28.099999999999973
119	-0.04344587886736334	1.0	-28.099999999999973
120	-0.14956444617709236	0.0	-27.99999999999997
121	-0.04344587889565792	0.2	-27.99999999999997
122	-0.04344587887797381	0.4	-27.99999999999997
123	-0.0434458788720791	0.6	-27.99999999999997
124	-0.043445878869131746	0.8	-27.99999999999997
125	-0.04344587886736334	1.0	-27.99999999999997
126	-0.14956773259572104	0.0	-27.89999999999997
127	-0.043445878895769736	0.2	-27.89999999999997
128	-0.04344587887801572	0.4	-27.89999999999997
129	-0.043445878872097735	0.6	-27.89999999999997
130	-0.04344587886913875	0.8	-27.89999999999997
131	-0.04344587886736334	1.0	-27.89999999999997
132	-0.14957104275011512	0.0	-27.79999999999997
133	-0.04344587889588243	0.2	-27.79999999999997
134	-0.043445878878057995	0.4	-27.79999999999997
135	-0.04344587887211654	0.6	-27.79999999999997
136	-0.04344587886914578	0.8	-27.79999999999997
137	-0.04344587886736334	1.0	-27.79999999999997
138	-0.14957437689837666	0.0	-27.699999999999967
139	-0.043445878895996035	0.2	-27.699999999999967
140	-0.0434458788781006	0.4	-27.699999999999967
141	-0.043445878872135454	0.6	-27.699999999999967
142	-0.043445878869152875	0.8	-27.699999999999967
143	-0.04344587886736334	1.0	-27.699999999999967
144	-0.149577735302343	0.0	-27.599999999999966
145	-0.043445878896110526	0.2	-27.599999999999966
146	-0.04344587887814355	0.4	-27.599999999999966
147	-0.04344587887215455	0.6	-27.599999999999966
148	-0.04344587886916003	0.8	-27.599999999999966
149	-0.04344587886736334	1.0	-27.599999999999966
150	-0.1495811182276816	0.0	-27.499999999999964
151	-0.04344587889622596	0.2	-27.499999999999964
152	-0.04344587887818682	0.4	-27.499999999999964
153	-0.043445878872173785	0.6	-27.499999999999964
154	-0.04344587886916726	0.8	-27.499999999999964
155	-0.04344587886736334	1.0	-27.499999999999964
156	-0.1495845259439419	0.0	-27.399999999999963
157	-0.0434458788963423	0.2	-27.399999999999963
158	-0.04344587887823045	0.4	-27.399999999999963
159	-0.04344587887219317	0.6	-27.399999999999963
160	-0.04344587886917453	0.8	-27.399999999999963
161	-0.04344587886736334	1.0	-27.399999999999963
162	-0.1495879587246512	0.0	-27.29999999999996
163	-0.04344587889645958	0.2	-27.29999999999996
164	-0.04344587887827444	0.4	-27.29999999999996
165	-0.04344587887221271	0.6	-27.29999999999996
166	-0.04344587886918186	0.8	-27.29999999999996
167	-0.04344587886736334	1.0	-27.29999999999996
168	-0.1495914168473731	0.0	-27.19999999999996
169	-0.043445878896577805	0.2	-27.19999999999996
170	-0.04344587887831875	0.4	-27.19999999999996
171	-0.043445878872232425	0.6	-27.19999999999996
172	-0.04344587886918924	0.8	-27.19999999999996
173	-0.04344587886736334	1.0	-27.19999999999996
174	-0.1495949005937811	0.0	-27.09999999999996
175	-0.043445878896696995	0.2	-27.09999999999996
176	-0.04344587887836346	0.4	-27.09999999999996
177	-0.04344587887225229	0.6	-27.09999999999996
178	-0.0434458788691967	0.8	-27.09999999999996
179	-0.04344587886736334	1.0	-27.09999999999996
180	-0.14959841024975815	0.0	-26.999999999999957
181	-0.04344587889681716	0.2	-26.999999999999957
182	-0.04344587887840852	0.4	-26.999999999999957
183	-0.04344587887227233	0.6	-26.999999999999957
184	-0.04344587886920421	0.8	-26.999999999999957
185	-0.04344587886736334	1.0	-26.999999999999957
186	-0.14960194610542127	0.0	-26.899999999999956
187	-0.04344587889693831	0.2	-26.899999999999956
188	-0.04344587887845395	0.4	-26.899999999999956
189	-0.04344587887229251	0.6	-26.899999999999956
190	-0.04344587886921177	0.8	-26.899999999999956
191	-0.04344587886736334	1.0	-26.899999999999956
192	-0.14960550845526066	0.0	-26.799999999999955
193	-0.04344587889706045	0.2	-26.799999999999955
194	-0.04344587887849974	0.4	-26.799999999999955
195	-0.04344587887231287	0.6	-26.799999999999955
196	-0.0434458788692194	0.8	-26.799999999999955
197	-0.04344587886736334	1.0	-26.799999999999955
198	-0.1496090975981912	0.0	-26.699999999999953
199	-0.04344587889718361	0.2	-26.699999999999953
200	-0.04344587887854594	0.4	-26.699999999999953
201	-0.04344587887233339	0.6	-26.699999999999953
202	-0.04344587886922712	0.8	-26.699999999999953
203	-0.04344587886736334	1.0	-26.699999999999953
204	-0.1496127138376402	0.0	-26.59999999999995
205	-0.043445878897307784	0.2	-26.59999999999995
206	-0.043445878878592505	0.4	-26.59999999999995
207	-0.04344587887235408	0.6	-26.59999999999995
208	-0.04344587886923487	0.8	-26.59999999999995
209	-0.04344587886736334	1.0	-26.59999999999995
210	-0.14961635748162916	0.0	-26.49999999999995
211	-0.043445878897432996	0.2	-26.49999999999995
212	-0.043445878878639446	0.4	-26.49999999999995
213	-0.04344587887237494	0.6	-26.49999999999995
214	-0.04344587886924268	0.8	-26.49999999999995
215	-0.04344587886736334	1.0	-26.49999999999995
216	-0.14962002884288267	0.0	-26.39999999999995
217	-0.04344587889755924	0.2	-26.39999999999995
218	-0.0434458788786868	0.4	-26.39999999999995
219	-0.043445878872395996	0.6	-26.39999999999995
220	-0.043445878869250595	0.8	-26.39999999999995
221	-0.04344587886736334	1.0	-26.39999999999995
222	-0.14962372823887132	0.0	-26.299999999999947
223	-0.04344587889768656	0.2	-26.299999999999947
224	-0.04344587887873454	0.4	-26.299999999999947
225	-0.0434458788724172	0.6	-26.299999999999947
226	-0.04344587886925852	0.8	-26.299999999999947
227	-0.04344587886736334	1.0	-26.299999999999947
228	-0.14962745599198085	0.0	-26.199999999999946
229	-0.04344587889781494	0.2	-26.199999999999946
230	-0.04344587887878268	0.4	-26.199999999999946
231	-0.04344587887243863	0.6	-26.199999999999946
232	-0.04344587886926656	0.8	-26.199999999999946
233	-0.04344587886736334	1.0	-26.199999999999946
234	-0.14963121242950422	0.0	-26.099999999999945
235	-0.04344587889794441	0.2	-26.099999999999945
236	-0.04344587887883124	0.4	-26.099999999999945
237	-0.0434458788724602	0.6	-26.099999999999945
238	-0.04344587886927466	0.8	-26.099999999999945
239	-0.04344587886736334	1.0	-26.099999999999945
240	-0.1496349978838294	0.0	-25.999999999999943
241	-0.043445878898074976	0.2	-25.999999999999943
242	-0.04344587887888021	0.4	-25.999999999999943
243	-0.043445878872481955	0.6	-25.999999999999943
244	-0.04344587886928283	0.8	-25.999999999999943
245	-0.04344587886736334	1.0	-25.999999999999943
246	-0.14963881269248597	0.0	-25.89999999999994
247	-0.04344587889820667	0.2	-25.89999999999994
248	-0.0434458788789296	0.4	-25.89999999999994
249	-0.043445878872503896	0.6	-25.89999999999994
250	-0.043445878869291056	0.8	-25.89999999999994
251	-0.04344587886736334	1.0	-25.89999999999994
252	-0.1496426571982559	0.0	-25.79999999999994
253	-0.04344587889833948	0.2	-25.79999999999994
254	-0.04344587887897941	0.4	-25.79999999999994
255	-0.043445878872526045	0.6	-25.79999999999994
256	-0.04344587886929935	0.8	-25.79999999999994
257	-0.04344587886736334	1.0	-25.79999999999994
258	-0.1496465317492881	0.0	-25.69999999999994
259	-0.04344587889847344	0.2	-25.69999999999994
260	-0.043445878879029634	0.4	-25.69999999999994
261	-0.04344587887254836	0.6	-25.69999999999994
262	-0.04344587886930771	0.8	-25.69999999999994
263	-0.04344587886736334	1.0	-25.69999999999994
264	-0.14965043669919645	0.0	-25.599999999999937
265	-0.043445878898608556	0.2	-25.599999999999937
266	-0.0434458788790803	0.4	-25.599999999999937
267	-0.043445878872570884	0.6	-25.599999999999937
268	-0.04344587886931616	0.8	-25.599999999999937
269	-0.04344587886736334	1.0	-25.599999999999937
270	-0.14965437240714613	0.0	-25.499999999999936
271	-0.043445878898744864	0.2	-25.499999999999936
272	-0.0434458788791314	0.4	-25.499999999999936
273	-0.0434458788725936	0.6	-25.499999999999936
274	-0.04344587886932469	0.8	-25.499999999999936
275	-0.04344587886736334	1.0	-25.499999999999936
276	-0.14965833923801458	0.0	-25.399999999999935
277	-0.04344587889888234	0.2	-25.399999999999935
