	corr	w	p
0	-0.016863590744943605	0.0	-30.0
1	-0.02583251840622751	0.2	-30.0
2	-0.02583251840452553	0.4	-30.0
3	-0.025832518403958202	0.6	-30.0
4	-0.025832518403674544	0.8	-30.0
5	-0.025832518403504354	1.0	-30.0
6	-0.016863707499966317	0.0	-29.9
7	-0.025832518406237685	0.2	-29.9
8	-0.02583251840452934	0.4	-29.9
9	-0.0258325184039599	0.6	-29.9
10	-0.02583251840367517	0.8	-29.9
11	-0.025832518403504354	1.0	-29.9
12	-0.01686382502972883	0.0	-29.799999999999997
13	-0.02583251840624795	0.2	-29.799999999999997
14	-0.0258325184045332	0.4	-29.799999999999997
15	-0.025832518403961592	0.6	-29.799999999999997
16	-0.025832518403675814	0.8	-29.799999999999997
17	-0.025832518403504354	1.0	-29.799999999999997
18	-0.016863943341965795	0.0	-29.699999999999996
19	-0.02583251840625828	0.2	-29.699999999999996
20	-0.025832518404537062	0.4	-29.699999999999996
21	-0.02583251840396333	0.6	-29.699999999999996
22	-0.025832518403676466	0.8	-29.699999999999996
23	-0.025832518403504354	1.0	-29.699999999999996
24	-0.016864062444534353	0.0	-29.599999999999994
25	-0.025832518406268684	0.2	-29.599999999999994
26	-0.02583251840454097	0.4	-29.599999999999994
27	-0.02583251840396506	0.6	-29.599999999999994
28	-0.02583251840367711	0.8	-29.599999999999994
29	-0.025832518403504354	1.0	-29.599999999999994
30	-0.016864182345361835	0.0	-29.499999999999993
31	-0.02583251840627919	0.2	-29.499999999999993
32	-0.02583251840454491	0.4	-29.499999999999993
33	-0.025832518403966824	0.6	-29.499999999999993
34	-0.025832518403677736	0.8	-29.499999999999993
35	-0.025832518403504354	1.0	-29.499999999999993
36	-0.016864303052517543	0.0	-29.39999999999999
37	-0.025832518406289764	0.2	-29.39999999999999
38	-0.02583251840454886	0.4	-29.39999999999999
39	-0.025832518403968566	0.6	-29.39999999999999
40	-0.02583251840367843	0.8	-29.39999999999999
41	-0.025832518403504354	1.0	-29.39999999999999
42	-0.01686442457415544	0.0	-29.29999999999999
43	-0.025832518406300402	0.2	-29.29999999999999
44	-0.025832518404552855	0.4	-29.29999999999999
45	-0.02583251840397036	0.6	-29.29999999999999
46	-0.025832518403679103	0.8	-29.29999999999999
47	-0.025832518403504354	1.0	-29.29999999999999
48	-0.016864546918550098	0.0	-29.19999999999999
49	-0.025832518406311143	0.2	-29.19999999999999
50	-0.02583251840455688	0.4	-29.19999999999999
51	-0.025832518403972132	0.6	-29.19999999999999
52	-0.02583251840367977	0.8	-29.19999999999999
53	-0.025832518403504354	1.0	-29.19999999999999
54	-0.016864670094088048	0.0	-29.099999999999987
55	-0.025832518406321947	0.2	-29.099999999999987
56	-0.025832518404560936	0.4	-29.099999999999987
57	-0.025832518403973947	0.6	-29.099999999999987
58	-0.025832518403680456	0.8	-29.099999999999987
59	-0.025832518403504354	1.0	-29.099999999999987
60	-0.016864794109278686	0.0	-28.999999999999986
61	-0.025832518406332848	0.2	-28.999999999999986
62	-0.025832518404565026	0.4	-28.999999999999986
63	-0.025832518403975754	0.6	-28.999999999999986
64	-0.02583251840368113	0.8	-28.999999999999986
65	-0.025832518403504354	1.0	-28.999999999999986
66	-0.01686491897272982	0.0	-28.899999999999984
67	-0.025832518406343843	0.2	-28.899999999999984
68	-0.025832518404569155	0.4	-28.899999999999984
69	-0.025832518403977576	0.6	-28.899999999999984
70	-0.02583251840368181	0.8	-28.899999999999984
71	-0.025832518403504354	1.0	-28.899999999999984
72	-0.016865044693171842	0.0	-28.799999999999983
73	-0.025832518406354893	0.2	-28.799999999999983
74	-0.025832518404573294	0.4	-28.799999999999983
75	-0.025832518403979418	0.6	-28.799999999999983
76	-0.025832518403682513	0.8	-28.799999999999983
77	-0.025832518403504354	1.0	-28.799999999999983
78	-0.016865171279472846	0.0	-28.69999999999998
79	-0.025832518406366054	0.2	-28.69999999999998
80	-0.025832518404577468	0.4	-28.69999999999998
81	-0.02583251840398128	0.6	-28.69999999999998
82	-0.025832518403683197	0.8	-28.69999999999998
83	-0.025832518403504354	1.0	-28.69999999999998
84	-0.016865298740607465	0.0	-28.59999999999998
85	-0.0258325184063773	0.2	-28.59999999999998
