	corr	w	p
0	-0.09514983527202997	0.0	-30.0
1	-0.0018154316500754789	0.2	-30.0
2	-0.001815431640686694	0.4	-30.0
3	-0.0018154316375571175	0.6	-30.0
4	-0.0018154316359923206	0.8	-30.0
5	-0.0018154316350534362	1.0	-30.0
6	-0.09514972412882222	0.0	-29.9
7	-0.0018154316501315867	0.2	-29.9
8	-0.001815431640707743	0.4	-29.9
9	-0.0018154316375664642	0.6	-29.9
10	-0.0018154316359958178	0.8	-29.9
11	-0.0018154316350534362	1.0	-29.9
12	-0.09514961232072353	0.0	-29.799999999999997
13	-0.001815431650188097	0.2	-29.799999999999997
14	-0.0018154316407289414	0.4	-29.799999999999997
15	-0.0018154316375758768	0.6	-29.799999999999997
16	-0.0018154316359993636	0.8	-29.799999999999997
17	-0.0018154316350534362	1.0	-29.799999999999997
18	-0.0951494998418516	0.0	-29.699999999999996
19	-0.0018154316502450515	0.2	-29.699999999999996
20	-0.0018154316407502924	0.4	-29.699999999999996
21	-0.0018154316375853866	0.6	-29.699999999999996
22	-0.0018154316360029163	0.8	-29.699999999999996
23	-0.0018154316350534362	1.0	-29.699999999999996
24	-0.09514938668621928	0.0	-29.599999999999994
25	-0.0018154316503024154	0.2	-29.599999999999994
26	-0.0018154316407717995	0.4	-29.599999999999994
27	-0.0018154316375949206	0.6	-29.599999999999994
28	-0.0018154316360065106	0.8	-29.599999999999994
29	-0.0018154316350534362	1.0	-29.599999999999994
30	-0.09514927284782887	0.0	-29.499999999999993
31	-0.001815431650360206	0.2	-29.499999999999993
32	-0.0018154316407934731	0.4	-29.499999999999993
33	-0.0018154316376045726	0.6	-29.499999999999993
34	-0.0018154316360101223	0.8	-29.499999999999993
35	-0.0018154316350534362	1.0	-29.499999999999993
36	-0.09514915832056481	0.0	-29.39999999999999
37	-0.0018154316504184406	0.2	-29.39999999999999
38	-0.0018154316408153272	0.4	-29.39999999999999
39	-0.0018154316376142766	0.6	-29.39999999999999
40	-0.0018154316360137548	0.8	-29.39999999999999
41	-0.0018154316350534362	1.0	-29.39999999999999
42	-0.09514904309826579	0.0	-29.29999999999999
43	-0.0018154316504771333	0.2	-29.29999999999999
44	-0.001815431640837327	0.4	-29.29999999999999
45	-0.00181543163762405	0.6	-29.29999999999999
46	-0.0018154316360174116	0.8	-29.29999999999999
47	-0.0018154316350534362	1.0	-29.29999999999999
48	-0.09514892717469124	0.0	-29.19999999999999
49	-0.001815431650536263	0.2	-29.19999999999999
50	-0.0018154316408594932	0.4	-29.19999999999999
51	-0.001815431637633893	0.6	-29.19999999999999
52	-0.0018154316360211205	0.8	-29.19999999999999
53	-0.0018154316350534362	1.0	-29.19999999999999
54	-0.09514881054351682	0.0	-29.099999999999987
55	-0.00181543165059583	0.2	-29.099999999999987
