	corr	w	p
0	-0.12056009898816535	0.0	-30.0
1	-0.001815431655371482	0.2	-30.0
2	-0.001815431642672706	0.4	-30.0
3	-0.0018154316384397795	0.6	-30.0
4	-0.0018154316363233197	0.8	-30.0
5	-0.0018154316350534362	1.0	-30.0
6	-0.12056051595615852	0.0	-29.9
7	-0.0018154316554461133	0.2	-29.9
8	-0.0018154316427006975	0.4	-29.9
9	-0.001815431638452221	0.6	-29.9
10	-0.0018154316363279827	0.8	-29.9
11	-0.0018154316350534362	1.0	-29.9
12	-0.12056093579990418	0.0	-29.799999999999997
13	-0.0018154316555213101	0.2	-29.799999999999997
14	-0.0018154316427288937	0.4	-29.799999999999997
15	-0.0018154316384647595	0.6	-29.799999999999997
16	-0.0018154316363326872	0.8	-29.799999999999997
17	-0.0018154316350534362	1.0	-29.799999999999997
18	-0.12056135854922398	0.0	-29.699999999999996
19	-0.001815431655597062	0.2	-29.699999999999996
20	-0.0018154316427573015	0.4	-29.699999999999996
21	-0.0018154316384773883	0.6	-29.699999999999996
22	-0.0018154316363374196	0.8	-29.699999999999996
23	-0.0018154316350534362	1.0	-29.699999999999996
24	-0.12056178423434834	0.0	-29.599999999999994
25	-0.0018154316556733899	0.2	-29.599999999999994
26	-0.001815431642785921	0.4	-29.599999999999994
27	-0.001815431638490083	0.6	-29.599999999999994
28	-0.0018154316363421866	0.8	-29.599999999999994
29	-0.0018154316350534362	1.0	-29.599999999999994
30	-0.12056221288596392	0.0	-29.499999999999993
31	-0.0018154316557502694	0.2	-29.499999999999993
32	-0.0018154316428147452	0.4	-29.499999999999993
33	-0.0018154316385028922	0.6	-29.499999999999993
34	-0.0018154316363470022	0.8	-29.499999999999993
35	-0.0018154316350534362	1.0	-29.499999999999993
36	-0.12056264453512915	0.0	-29.39999999999999
37	-0.001815431655827704	0.2	-29.39999999999999
38	-0.0018154316428437914	0.4	-29.39999999999999
39	-0.001815431638515802	0.6	-29.39999999999999
40	-0.0018154316363518386	0.8	-29.39999999999999
41	-0.0018154316350534362	1.0	-29.39999999999999
42	-0.12056307921336973	0.0	-29.29999999999999
43	-0.0018154316559057526	0.2	-29.29999999999999
44	-0.0018154316428730492	0.4	-29.29999999999999
45	-0.0018154316385288333	0.6	-29.29999999999999
46	-0.0018154316363567131	0.8	-29.29999999999999
47	-0.0018154316350534362	1.0	-29.29999999999999
48	-0.12056351695266368	0.0	-29.19999999999999
49	-0.001815431655984353	0.2	-29.19999999999999
50	-0.0018154316429025395	0.4	-29.19999999999999
51	-0.001815431638541934	0.6	-29.19999999999999
52	-0.001815431636361619	0.8	-29.19999999999999
53	-0.0018154316350534362	1.0	-29.19999999999999
54	-0.12056395778542191	0.0	-29.099999999999987
55	-0.0018154316560635708	0.2	-29.099999999999987
56	-0.001815431642932231	0.4	-29.099999999999987
57	-0.0018154316385551143	0.6	-29.099999999999987
58	-0.0018154316363665803	0.8	-29.099999999999987
59	-0.0018154316350534362	1.0	-29.099999999999987
60	-0.12056440174452296	0.0	-28.999999999999986
61	-0.0018154316561433854	0.2	-28.999999999999986
62	-0.001815431642962169	0.4	-28.999999999999986
63	-0.00181543163856843	0.6	-28.999999999999986
64	-0.001815431636371552	0.8	-28.999999999999986
65	-0.0018154316350534362	1.0	-28.999999999999986
66	-0.12056484886330719	0.0	-28.899999999999984
67	-0.0018154316562238107	0.2	-28.899999999999984
68	-0.0018154316429923253	0.4	-28.899999999999984
69	-0.0018154316385818187	0.6	-28.899999999999984
70	-0.001815431636376593	0.8	-28.899999999999984
71	-0.0018154316350534362	1.0	-28.899999999999984
72	-0.12056529917557143	0.0	-28.799999999999983
73	-0.0018154316563048362	0.2	-28.799999999999983
74	-0.0018154316430227038	0.4	-28.799999999999983
75	-0.0018154316385953322	0.6	-28.799999999999983
76	-0.001815431636381655	0.8	-28.799999999999983
77	-0.0018154316350534362	1.0	-28.799999999999983
78	-0.1205657527156603	0.0	-28.69999999999998
79	-0.0018154316563864653	0.2	-28.69999999999998
80	-0.001815431643053332	0.4	-28.69999999999998
81	-0.0018154316386089324	0.6	-28.69999999999998
82	-0.0018154316363867655	0.8	-28.69999999999998
83	-0.0018154316350534362	1.0	-28.69999999999998
84	-0.12056620951833653	0.0	-28.59999999999998
85	-0.0018154316564687606	0.2	-28.59999999999998
86	-0.0018154316430841824	0.4	-28.59999999999998
87	-0.001815431638622661	0.6	-28.59999999999998
88	-0.0018154316363919003	0.8	-28.59999999999998
89	-0.0018154316350534362	1.0	-28.59999999999998
90	-0.12056666961889742	0.0	-28.49999999999998
91	-0.0018154316565516596	0.2	-28.49999999999998
92	-0.0018154316431152687	0.4	-28.49999999999998
93	-0.0018154316386364763	0.6	-28.49999999999998
94	-0.001815431636397087	0.8	-28.49999999999998
95	-0.0018154316350534362	1.0	-28.49999999999998
96	-0.12056713305316487	0.0	-28.399999999999977
97	-0.0018154316566352108	0.2	-28.399999999999977
98	-0.0018154316431466151	0.4	-28.399999999999977
99	-0.0018154316386503958	0.6	-28.399999999999977
100	-0.001815431636402312	0.8	-28.399999999999977
101	-0.0018154316350534362	1.0	-28.399999999999977
102	-0.12056759985745179	0.0	-28.299999999999976
103	-0.0018154316567194212	0.2	-28.299999999999976
104	-0.0018154316431781906	0.4	-28.299999999999976
105	-0.0018154316386644297	0.6	-28.299999999999976
106	-0.0018154316364075579	0.8	-28.299999999999976
107	-0.0018154316350534362	1.0	-28.299999999999976
108	-0.12056807006862524	0.0	-28.199999999999974
109	-0.0018154316568042908	0.2	-28.199999999999974
110	-0.0018154316432100054	0.4	-28.199999999999974
111	-0.0018154316386785885	0.6	-28.199999999999974
112	-0.0018154316364128557	0.8	-28.199999999999974
113	-0.0018154316350534362	1.0	-28.199999999999974
114	-0.12056854372405958	0.0	-28.099999999999973
115	-0.0018154316568898023	0.2	-28.099999999999973
116	-0.0018154316432420874	0.4	-28.099999999999973
117	-0.0018154316386928444	0.6	-28.099999999999973
118	-0.001815431636418209	0.8	-28.099999999999973
119	-0.0018154316350534362	1.0	-28.099999999999973
120	-0.12056902086172065	0.0	-27.99999999999997
121	-0.0018154316569760007	0.2	-27.99999999999997
122	-0.001815431643274381	0.4	-27.99999999999997
123	-0.0018154316387071975	0.6	-27.99999999999997
124	-0.0018154316364236006	0.8	-27.99999999999997
125	-0.0018154316350534362	1.0	-27.99999999999997
126	-0.12056950152009693	0.0	-27.89999999999997
127	-0.0018154316570628826	0.2	-27.89999999999997
128	-0.001815431643306973	0.4	-27.89999999999997
129	-0.0018154316387216755	0.6	-27.89999999999997
130	-0.0018154316364290234	0.8	-27.89999999999997
131	-0.0018154316350534362	1.0	-27.89999999999997
132	-0.12056998573826863	0.0	-27.79999999999997
133	-0.001815431657150434	0.2	-27.79999999999997
134	-0.0018154316433398009	0.4	-27.79999999999997
135	-0.001815431638736275	0.6	-27.79999999999997
136	-0.0018154316364345086	0.8	-27.79999999999997
137	-0.0018154316350534362	1.0	-27.79999999999997
138	-0.12057047355586731	0.0	-27.699999999999967
139	-0.0018154316572387003	0.2	-27.699999999999967
140	-0.0018154316433729133	0.4	-27.699999999999967
141	-0.0018154316387509924	0.6	-27.699999999999967
142	-0.001815431636440018	0.8	-27.699999999999967
143	-0.0018154316350534362	1.0	-27.699999999999967
144	-0.12057096501315115	0.0	-27.599999999999966
145	-0.0018154316573276569	0.2	-27.599999999999966
146	-0.0018154316434062755	0.4	-27.599999999999966
147	-0.0018154316387658034	0.6	-27.599999999999966
148	-0.0018154316364455726	0.8	-27.599999999999966
149	-0.0018154316350534362	1.0	-27.599999999999966
150	-0.12057146015095602	0.0	-27.499999999999964
151	-0.0018154316574173386	0.2	-27.499999999999964
152	-0.0018154316434399083	0.4	-27.499999999999964
153	-0.0018154316387807498	0.6	-27.499999999999964
154	-0.0018154316364511966	0.8	-27.499999999999964
155	-0.0018154316350534362	1.0	-27.499999999999964
156	-0.12057195901074101	0.0	-27.399999999999963
157	-0.0018154316575077385	0.2	-27.399999999999963
158	-0.0018154316434738083	0.4	-27.399999999999963
159	-0.001815431638795828	0.6	-27.399999999999963
160	-0.001815431636456831	0.8	-27.399999999999963
161	-0.0018154316350534362	1.0	-27.399999999999963
162	-0.12057246163458338	0.0	-27.29999999999996
163	-0.001815431657598874	0.2	-27.29999999999996
164	-0.001815431643507965	0.4	-27.29999999999996
165	-0.0018154316388110173	0.6	-27.29999999999996
166	-0.0018154316364625417	0.8	-27.29999999999996
167	-0.0018154316350534362	1.0	-27.29999999999996
168	-0.12057296806519838	0.0	-27.19999999999996
169	-0.001815431657690745	0.2	-27.19999999999996
170	-0.001815431643542434	0.4	-27.19999999999996
171	-0.0018154316388263349	0.6	-27.19999999999996
172	-0.0018154316364682697	0.8	-27.19999999999996
173	-0.0018154316350534362	1.0	-27.19999999999996
