	corr	w	p
0	-0.19837875789043025	0.0	-30.0
1	-0.014824928946063359	0.2	-30.0
2	-0.014824928924568985	0.4	-30.0
3	-0.014824928917404206	0.6	-30.0
4	-0.014824928913821811	0.8	-30.0
5	-0.014824928911672362	1.0	-30.0
6	-0.19838423205946723	0.0	-29.9
7	-0.014824928946189997	0.2	-29.9
8	-0.01482492892461647	0.4	-29.9
9	-0.014824928917425297	0.6	-29.9
10	-0.014824928913829707	0.8	-29.9
11	-0.014824928911672362	1.0	-29.9
12	-0.19838974294764675	0.0	-29.799999999999997
13	-0.014824928946317555	0.2	-29.799999999999997
14	-0.014824928924664305	0.4	-29.799999999999997
15	-0.014824928917446552	0.6	-29.799999999999997
16	-0.014824928913837689	0.8	-29.799999999999997
17	-0.014824928911672362	1.0	-29.799999999999997
18	-0.19839529092567995	0.0	-29.699999999999996
19	-0.014824928946446067	0.2	-29.699999999999996
20	-0.014824928924712502	0.4	-29.699999999999996
21	-0.014824928917467972	0.6	-29.699999999999996
22	-0.014824928913845717	0.8	-29.699999999999996
23	-0.014824928911672362	1.0	-29.699999999999996
24	-0.19840087636923975	0.0	-29.599999999999994
25	-0.014824928946575533	0.2	-29.599999999999994
26	-0.014824928924761052	0.4	-29.599999999999994
27	-0.014824928917489568	0.6	-29.599999999999994
28	-0.014824928913853811	0.8	-29.599999999999994
29	-0.014824928911672362	1.0	-29.599999999999994
30	-0.198406499659127	0.0	-29.499999999999993
31	-0.014824928946705975	0.2	-29.499999999999993
32	-0.014824928924809952	0.4	-29.499999999999993
33	-0.014824928917511295	0.6	-29.499999999999993
34	-0.014824928913861963	0.8	-29.499999999999993
35	-0.014824928911672362	1.0	-29.499999999999993
36	-0.19841216118129612	0.0	-29.39999999999999
37	-0.014824928946837356	0.2	-29.39999999999999
38	-0.014824928924859237	0.4	-29.39999999999999
39	-0.014824928917533195	0.6	-29.39999999999999
40	-0.014824928913870175	0.8	-29.39999999999999
41	-0.014824928911672362	1.0	-29.39999999999999
