	corr	w	p
0	-0.06859753116814671	0.0	-30.0
1	-0.018865623352067255	0.2	-30.0
2	-0.018865623345080428	0.4	-30.0
3	-0.018865623342751457	0.6	-30.0
4	-0.018865623341586986	0.8	-30.0
5	-0.018865623340888305	1.0	-30.0
6	-0.06860086056599136	0.0	-29.9
7	-0.018865623352109503	0.2	-29.9
8	-0.01886562334509627	0.4	-29.9
9	-0.018865623342758483	0.6	-29.9
10	-0.01886562334158963	0.8	-29.9
11	-0.018865623340888305	1.0	-29.9
12	-0.06860421232484486	0.0	-29.799999999999997
13	-0.018865623352152073	0.2	-29.799999999999997
14	-0.018865623345112232	0.4	-29.799999999999997
15	-0.01886562334276559	0.6	-29.799999999999997
16	-0.018865623341592277	0.8	-29.799999999999997
17	-0.018865623340888305	1.0	-29.799999999999997
18	-0.06860758667074782	0.0	-29.699999999999996
19	-0.018865623352194962	0.2	-29.699999999999996
20	-0.018865623345128302	0.4	-29.699999999999996
21	-0.018865623342772746	0.6	-29.699999999999996
22	-0.018865623341594966	0.8	-29.699999999999996
23	-0.018865623340888305	1.0	-29.699999999999996
24	-0.06861098383278343	0.0	-29.599999999999994
25	-0.018865623352238178	0.2	-29.599999999999994
26	-0.0188656233451445	0.4	-29.599999999999994
27	-0.018865623342779934	0.6	-29.599999999999994
28	-0.018865623341597675	0.8	-29.599999999999994
29	-0.018865623340888305	1.0	-29.599999999999994
30	-0.06861440404316622	0.0	-29.499999999999993
31	-0.01886562335228173	0.2	-29.499999999999993
32	-0.018865623345160846	0.4	-29.499999999999993
33	-0.018865623342787192	0.6	-29.499999999999993
34	-0.018865623341600406	0.8	-29.499999999999993
35	-0.018865623340888305	1.0	-29.499999999999993
36	-0.06861784753724591	0.0	-29.39999999999999
37	-0.018865623352325597	0.2	-29.39999999999999
38	-0.018865623345177298	0.4	-29.39999999999999
39	-0.018865623342794503	0.6	-29.39999999999999
40	-0.018865623341603136	0.8	-29.39999999999999
41	-0.018865623340888305	1.0	-29.39999999999999
42	-0.06862131455360922	0.0	-29.29999999999999
43	-0.018865623352369798	0.2	-29.29999999999999
44	-0.018865623345193854	0.4	-29.29999999999999
45	-0.018865623342801886	0.6	-29.29999999999999
46	-0.01886562334160588	0.8	-29.29999999999999
47	-0.018865623340888305	1.0	-29.29999999999999
48	-0.06862480533409888	0.0	-29.19999999999999
49	-0.01886562335241436	0.2	-29.19999999999999
50	-0.018865623345210566	0.4	-29.19999999999999
51	-0.018865623342809303	0.6	-29.19999999999999
52	-0.01886562334160868	0.8	-29.19999999999999
53	-0.018865623340888305	1.0	-29.19999999999999
54	-0.06862832012391111	0.0	-29.099999999999987
55	-0.01886562335245926	0.2	-29.099999999999987
56	-0.01886562334522742	0.4	-29.099999999999987
57	-0.01886562334281678	0.6	-29.099999999999987
58	-0.018865623341611473	0.8	-29.099999999999987
59	-0.018865623340888305	1.0	-29.099999999999987
60	-0.06863185917159241	0.0	-28.999999999999986
61	-0.01886562335250451	0.2	-28.999999999999986
62	-0.018865623345244373	0.4	-28.999999999999986
63	-0.018865623342824336	0.6	-28.999999999999986
64	-0.01886562334161432	0.8	-28.999999999999986
65	-0.018865623340888305	1.0	-28.999999999999986
66	-0.06863542272914844	0.0	-28.899999999999984
67	-0.018865623352550112	0.2	-28.899999999999984
68	-0.01886562334526147	0.4	-28.899999999999984
69	-0.018865623342831934	0.6	-28.899999999999984
70	-0.018865623341617163	0.8	-28.899999999999984
71	-0.018865623340888305	1.0	-28.899999999999984
72	-0.06863901105209608	0.0	-28.799999999999983
73	-0.01886562335259605	0.2	-28.799999999999983
74	-0.01886562334527871	0.4	-28.799999999999983
75	-0.018865623342839578	0.6	-28.799999999999983
76	-0.018865623341620022	0.8	-28.799999999999983
77	-0.018865623340888305	1.0	-28.799999999999983
78	-0.0686426243995028	0.0	-28.69999999999998
79	-0.018865623352642382	0.2	-28.69999999999998
80	-0.018865623345296074	0.4	-28.69999999999998
81	-0.018865623342847297	0.6	-28.69999999999998
82	-0.01886562334162293	0.8	-28.69999999999998
