	corr	w	p
0	-0.06352780291519675	0.0	-30.0
1	-0.018865623351955928	0.2	-30.0
2	-0.018865623345038666	0.4	-30.0
3	-0.01886562334273292	0.6	-30.0
4	-0.018865623341580033	0.8	-30.0
5	-0.018865623340888305	1.0	-30.0
6	-0.06353386949689137	0.0	-29.9
7	-0.018865623351997533	0.2	-29.9
8	-0.01886562334505426	0.4	-29.9
9	-0.018865623342739828	0.6	-29.9
10	-0.018865623341582635	0.8	-29.9
11	-0.018865623340888305	1.0	-29.9
12	-0.06353997692599815	0.0	-29.799999999999997
13	-0.0188656233520394	0.2	-29.799999999999997
14	-0.01886562334506996	0.4	-29.799999999999997
15	-0.01886562334274681	0.6	-29.799999999999997
16	-0.01886562334158526	0.8	-29.799999999999997
17	-0.018865623340888305	1.0	-29.799999999999997
18	-0.06354612561647852	0.0	-29.699999999999996
19	-0.01886562335208158	0.2	-29.699999999999996
20	-0.018865623345085777	0.4	-29.699999999999996
21	-0.01886562334275384	0.6	-29.699999999999996
22	-0.018865623341587878	0.8	-29.699999999999996
23	-0.018865623340888305	1.0	-29.699999999999996
24	-0.06355231598786854	0.0	-29.599999999999994
25	-0.018865623352124113	0.2	-29.599999999999994
26	-0.018865623345101723	0.4	-29.599999999999994
27	-0.018865623342760925	0.6	-29.599999999999994
28	-0.01886562334159053	0.8	-29.599999999999994
29	-0.018865623340888305	1.0	-29.599999999999994
30	-0.06355854846543295	0.0	-29.499999999999993
31	-0.018865623352166946	0.2	-29.499999999999993
32	-0.018865623345117787	0.4	-29.499999999999993
33	-0.018865623342768055	0.6	-29.499999999999993
34	-0.018865623341593203	0.8	-29.499999999999993
35	-0.018865623340888305	1.0	-29.499999999999993
36	-0.06356482348023866	0.0	-29.39999999999999
37	-0.01886562335221012	0.2	-29.39999999999999
38	-0.018865623345133975	0.4	-29.39999999999999
39	-0.018865623342775258	0.6	-29.39999999999999
40	-0.018865623341595937	0.8	-29.39999999999999
41	-0.018865623340888305	1.0	-29.39999999999999
42	-0.0635711414692515	0.0	-29.29999999999999
43	-0.01886562335225362	0.2	-29.29999999999999
44	-0.018865623345150292	0.4	-29.29999999999999
45	-0.018865623342782526	0.6	-29.29999999999999
46	-0.018865623341598636	0.8	-29.29999999999999
47	-0.018865623340888305	1.0	-29.29999999999999
48	-0.06357750287545218	0.0	-29.19999999999999
49	-0.018865623352297415	0.2	-29.19999999999999
50	-0.018865623345166723	0.4	-29.19999999999999
51	-0.01886562334278983	0.6	-29.19999999999999
52	-0.01886562334160137	0.8	-29.19999999999999
53	-0.018865623340888305	1.0	-29.19999999999999
54	-0.06358390814791963	0.0	-29.099999999999987
55	-0.0188656233523416	0.2	-29.099999999999987
56	-0.018865623345183297	0.4	-29.099999999999987
57	-0.018865623342797185	0.6	-29.099999999999987
58	-0.018865623341604142	0.8	-29.099999999999987
59	-0.018865623340888305	1.0	-29.099999999999987
60	-0.06359035774196141	0.0	-28.999999999999986
61	-0.018865623352386097	0.2	-28.999999999999986
62	-0.018865623345199964	0.4	-28.999999999999986
63	-0.01886562334280459	0.6	-28.999999999999986
64	-0.018865623341606925	0.8	-28.999999999999986
65	-0.018865623340888305	1.0	-28.999999999999986
66	-0.06359685211918659	0.0	-28.899999999999984
67	-0.01886562335243094	0.2	-28.899999999999984
68	-0.018865623345216787	0.4	-28.899999999999984
69	-0.01886562334281206	0.6	-28.899999999999984
70	-0.018865623341609718	0.8	-28.899999999999984
71	-0.018865623340888305	1.0	-28.899999999999984
72	-0.06360339174766695	0.0	-28.799999999999983
73	-0.018865623352476144	0.2	-28.799999999999983
74	-0.01886562334523374	0.4	-28.799999999999983
75	-0.01886562334281961	0.6	-28.799999999999983
76	-0.01886562334161254	0.8	-28.799999999999983
77	-0.018865623340888305	1.0	-28.799999999999983
78	-0.06360997710199286	0.0	-28.69999999999998
79	-0.01886562335252169	0.2	-28.69999999999998
80	-0.018865623345250816	0.4	-28.69999999999998
81	-0.018865623342827195	0.6	-28.69999999999998
82	-0.018865623341615383	0.8	-28.69999999999998
83	-0.018865623340888305	1.0	-28.69999999999998
84	-0.06361660866343141	0.0	-28.59999999999998
85	-0.018865623352567595	0.2	-28.59999999999998
86	-0.018865623345268027	0.4	-28.59999999999998
87	-0.018865623342834842	0.6	-28.59999999999998
88	-0.01886562334161828	0.8	-28.59999999999998
89	-0.018865623340888305	1.0	-28.59999999999998
90	-0.06362328692000732	0.0	-28.49999999999998
91	-0.01886562335261386	0.2	-28.49999999999998
92	-0.01886562334528539	0.4	-28.49999999999998
93	-0.018865623342842544	0.6	-28.49999999999998
94	-0.01886562334162114	0.8	-28.49999999999998
95	-0.018865623340888305	1.0	-28.49999999999998
96	-0.06363001236667143	0.0	-28.399999999999977
97	-0.018865623352660496	0.2	-28.399999999999977
98	-0.018865623345302875	0.4	-28.399999999999977
99	-0.018865623342850323	0.6	-28.399999999999977
100	-0.01886562334162406	0.8	-28.399999999999977
101	-0.018865623340888305	1.0	-28.399999999999977
102	-0.06363678550536464	0.0	-28.299999999999976
103	-0.018865623352707507	0.2	-28.299999999999976
104	-0.018865623345320506	0.4	-28.299999999999976
105	-0.01886562334285816	0.6	-28.299999999999976
106	-0.01886562334162701	0.8	-28.299999999999976
107	-0.018865623340888305	1.0	-28.299999999999976
108	-0.06364360684519271	0.0	-28.199999999999974
109	-0.01886562335275489	0.2	-28.199999999999974
110	-0.018865623345338277	0.4	-28.199999999999974
111	-0.018865623342866056	0.6	-28.199999999999974
112	-0.018865623341629965	0.8	-28.199999999999974
113	-0.018865623340888305	1.0	-28.199999999999974
114	-0.06365047690253611	0.0	-28.099999999999973
115	-0.01886562335280264	0.2	-28.099999999999973
116	-0.01886562334535618	0.4	-28.099999999999973
117	-0.018865623342874012	0.6	-28.099999999999973
118	-0.018865623341632942	0.8	-28.099999999999973
119	-0.018865623340888305	1.0	-28.099999999999973
120	-0.06365739620114863	0.0	-27.99999999999997
121	-0.01886562335285079	0.2	-27.99999999999997
122	-0.018865623345374234	0.4	-27.99999999999997
123	-0.01886562334288203	0.6	-27.99999999999997
124	-0.018865623341635954	0.8	-27.99999999999997
125	-0.018865623340888305	1.0	-27.99999999999997
126	-0.06366436527234884	0.0	-27.89999999999997
127	-0.01886562335289931	0.2	-27.89999999999997
128	-0.018865623345392435	0.4	-27.89999999999997
129	-0.018865623342890128	0.6	-27.89999999999997
130	-0.018865623341639007	0.8	-27.89999999999997
131	-0.018865623340888305	1.0	-27.89999999999997
132	-0.06367138465511328	0.0	-27.79999999999997
133	-0.01886562335294823	0.2	-27.79999999999997
134	-0.018865623345410778	0.4	-27.79999999999997
135	-0.018865623342898274	0.6	-27.79999999999997
136	-0.018865623341642032	0.8	-27.79999999999997
137	-0.018865623340888305	1.0	-27.79999999999997
138	-0.06367845489622583	0.0	-27.699999999999967
139	-0.01886562335299755	0.2	-27.699999999999967
140	-0.018865623345429273	0.4	-27.699999999999967
141	-0.018865623342906493	0.6	-27.699999999999967
142	-0.018865623341645148	0.8	-27.699999999999967
143	-0.018865623340888305	1.0	-27.699999999999967
144	-0.06368557655043669	0.0	-27.599999999999966
145	-0.018865623353047294	0.2	-27.599999999999966
146	-0.018865623345447904	0.4	-27.599999999999966
147	-0.018865623342914792	0.6	-27.599999999999966
148	-0.018865623341648232	0.8	-27.599999999999966
149	-0.018865623340888305	1.0	-27.599999999999966
150	-0.0636927501805901	0.0	-27.499999999999964
151	-0.018865623353097417	0.2	-27.499999999999964
152	-0.01886562334546671	0.4	-27.499999999999964
153	-0.018865623342923153	0.6	-27.499999999999964
154	-0.018865623341651365	0.8	-27.499999999999964
155	-0.018865623340888305	1.0	-27.499999999999964
156	-0.0636999763577518	0.0	-27.399999999999963
157	-0.018865623353147933	0.2	-27.399999999999963
158	-0.018865623345485673	0.4	-27.399999999999963
159	-0.018865623342931553	0.6	-27.399999999999963
160	-0.018865623341654533	0.8	-27.399999999999963
161	-0.018865623340888305	1.0	-27.399999999999963
162	-0.06370725566141748	0.0	-27.29999999999996
163	-0.018865623353198892	0.2	-27.29999999999996
164	-0.018865623345504786	0.4	-27.29999999999996
165	-0.018865623342940077	0.6	-27.29999999999996
166	-0.018865623341657714	0.8	-27.29999999999996
167	-0.018865623340888305	1.0	-27.29999999999996
168	-0.06371458867961291	0.0	-27.19999999999996
169	-0.018865623353250274	0.2	-27.19999999999996
170	-0.01886562334552406	0.4	-27.19999999999996
171	-0.01886562334294862	0.6	-27.19999999999996
172	-0.018865623341660927	0.8	-27.19999999999996
173	-0.018865623340888305	1.0	-27.19999999999996
174	-0.06372197600908805	0.0	-27.09999999999996
175	-0.018865623353302087	0.2	-27.09999999999996
176	-0.018865623345543463	0.4	-27.09999999999996
177	-0.018865623342957265	0.6	-27.09999999999996
178	-0.018865623341664174	0.8	-27.09999999999996
179	-0.018865623340888305	1.0	-27.09999999999996
180	-0.06372941825545239	0.0	-26.999999999999957
181	-0.018865623353354323	0.2	-26.999999999999957
182	-0.018865623345563052	0.4	-26.999999999999957
183	-0.018865623342965977	0.6	-26.999999999999957
184	-0.018865623341667432	0.8	-26.999999999999957
185	-0.018865623340888305	1.0	-26.999999999999957
186	-0.063736916033365	0.0	-26.899999999999956
187	-0.01886562335340701	0.2	-26.899999999999956
188	-0.018865623345582817	0.4	-26.899999999999956
189	-0.018865623342974737	0.6	-26.899999999999956
190	-0.01886562334167072	0.8	-26.899999999999956
191	-0.018865623340888305	1.0	-26.899999999999956
192	-0.06374446996667915	0.0	-26.799999999999955
193	-0.018865623353460124	0.2	-26.799999999999955
194	-0.018865623345602732	0.4	-26.799999999999955
195	-0.018865623342983598	0.6	-26.799999999999955
196	-0.01886562334167404	0.8	-26.799999999999955
197	-0.018865623340888305	1.0	-26.799999999999955
198	-0.06375208068864285	0.0	-26.699999999999953
199	-0.0188656233535137	0.2	-26.699999999999953
200	-0.018865623345622848	0.4	-26.699999999999953
201	-0.01886562334299252	0.6	-26.699999999999953
202	-0.01886562334167738	0.8	-26.699999999999953
203	-0.018865623340888305	1.0	-26.699999999999953
204	-0.0637597488420474	0.0	-26.59999999999995
205	-0.018865623353567736	0.2	-26.59999999999995
206	-0.01886562334564308	0.4	-26.59999999999995
207	-0.01886562334300154	0.6	-26.59999999999995
208	-0.018865623341680758	0.8	-26.59999999999995
209	-0.018865623340888305	1.0	-26.59999999999995
210	-0.0637674750794259	0.0	-26.49999999999995
211	-0.01886562335362221	0.2	-26.49999999999995
212	-0.018865623345663506	0.4	-26.49999999999995
213	-0.01886562334301061	0.6	-26.49999999999995
214	-0.018865623341684172	0.8	-26.49999999999995
215	-0.018865623340888305	1.0	-26.49999999999995
216	-0.06377526006324682	0.0	-26.39999999999995
217	-0.018865623353677165	0.2	-26.39999999999995
218	-0.018865623345684118	0.4	-26.39999999999995
219	-0.018865623343019774	0.6	-26.39999999999995
220	-0.018865623341687614	0.8	-26.39999999999995
221	-0.018865623340888305	1.0	-26.39999999999995
