	corr	w	p
0	-0.031146461723038123	0.0	-30.0
1	-0.010379704460246792	0.2	-30.0
2	-0.010379704456247354	0.4	-30.0
3	-0.010379704454914217	0.6	-30.0
4	-0.010379704454247626	0.8	-30.0
5	-0.010379704453847694	1.0	-30.0
6	-0.031146095187512324	0.0	-29.9
7	-0.01037970446027072	0.2	-29.9
8	-0.010379704456256331	0.4	-29.9
9	-0.0103797044549182	0.6	-29.9
10	-0.01037970445424913	0.8	-29.9
11	-0.010379704453847694	1.0	-29.9
12	-0.03114572618766124	0.0	-29.799999999999997
13	-0.010379704460294844	0.2	-29.799999999999997
14	-0.01037970445626537	0.4	-29.799999999999997
15	-0.010379704454922235	0.6	-29.799999999999997
16	-0.01037970445425064	0.8	-29.799999999999997
17	-0.010379704453847694	1.0	-29.799999999999997
18	-0.031145354698548188	0.0	-29.699999999999996
19	-0.01037970446031915	0.2	-29.699999999999996
20	-0.010379704456274489	0.4	-29.699999999999996
21	-0.010379704454926279	0.6	-29.699999999999996
22	-0.010379704454252164	0.8	-29.699999999999996
23	-0.010379704453847694	1.0	-29.699999999999996
24	-0.031144980694902978	0.0	-29.599999999999994
25	-0.010379704460343631	0.2	-29.599999999999994
26	-0.010379704456283672	0.4	-29.599999999999994
27	-0.010379704454930359	0.6	-29.599999999999994
28	-0.01037970445425368	0.8	-29.599999999999994
29	-0.010379704453847694	1.0	-29.599999999999994
30	-0.031144604151112282	0.0	-29.499999999999993
31	-0.010379704460368316	0.2	-29.499999999999993
32	-0.01037970445629291	0.4	-29.499999999999993
33	-0.010379704454934469	0.6	-29.499999999999993
34	-0.01037970445425523	0.8	-29.499999999999993
35	-0.010379704453847694	1.0	-29.499999999999993
36	-0.03114422504121528	0.0	-29.39999999999999
37	-0.01037970446039316	0.2	-29.39999999999999
38	-0.010379704456302246	0.4	-29.39999999999999
39	-0.010379704454938606	0.6	-29.39999999999999
40	-0.010379704454256787	0.8	-29.39999999999999
41	-0.010379704453847694	1.0	-29.39999999999999
42	-0.031143843338893223	0.0	-29.29999999999999
43	-0.010379704460418204	0.2	-29.29999999999999
44	-0.01037970445631163	0.4	-29.29999999999999
45	-0.01037970445494279	0.6	-29.29999999999999
46	-0.010379704454258348	0.8	-29.29999999999999
47	-0.010379704453847694	1.0	-29.29999999999999
48	-0.03114345901747574	0.0	-29.19999999999999
49	-0.010379704460443439	0.2	-29.19999999999999
50	-0.010379704456321082	0.4	-29.19999999999999
51	-0.010379704454946998	0.6	-29.19999999999999
52	-0.01037970445425992	0.8	-29.19999999999999
53	-0.010379704453847694	1.0	-29.19999999999999
54	-0.03114307204991157	0.0	-29.099999999999987
55	-0.010379704460468856	0.2	-29.099999999999987
56	-0.010379704456330636	0.4	-29.099999999999987
57	-0.01037970445495123	0.6	-29.099999999999987
58	-0.010379704454261514	0.8	-29.099999999999987
59	-0.010379704453847694	1.0	-29.099999999999987
60	-0.031142682408790093	0.0	-28.999999999999986
61	-0.010379704460494509	0.2	-28.999999999999986
62	-0.010379704456340243	0.4	-28.999999999999986
63	-0.010379704454955506	0.6	-28.999999999999986
64	-0.010379704454263127	0.8	-28.999999999999986
65	-0.010379704453847694	1.0	-28.999999999999986
66	-0.031142290066300118	0.0	-28.899999999999984
67	-0.010379704460520322	0.2	-28.899999999999984
68	-0.010379704456349932	0.4	-28.899999999999984
69	-0.010379704454959796	0.6	-28.899999999999984
70	-0.010379704454264732	0.8	-28.899999999999984
71	-0.010379704453847694	1.0	-28.899999999999984
72	-0.03114189499426902	0.0	-28.799999999999983
73	-0.010379704460546342	0.2	-28.799999999999983
74	-0.010379704456359684	0.4	-28.799999999999983
75	-0.01037970445496413	0.6	-28.799999999999983
76	-0.01037970445426634	0.8	-28.799999999999983
77	-0.010379704453847694	1.0	-28.799999999999983
78	-0.031141497164111936	0.0	-28.69999999999998
79	-0.01037970446057257	0.2	-28.69999999999998
80	-0.010379704456369505	0.4	-28.69999999999998
81	-0.010379704454968507	0.6	-28.69999999999998
82	-0.010379704454268	0.8	-28.69999999999998
83	-0.010379704453847694	1.0	-28.69999999999998
84	-0.03114109654684856	0.0	-28.59999999999998
85	-0.010379704460598993	0.2	-28.59999999999998
86	-0.010379704456379433	0.4	-28.59999999999998
87	-0.010379704454972915	0.6	-28.59999999999998
