	corr	w	p
0	-0.032724465988177805	0.0	-30.0
1	-0.010379704461945865	0.2	-30.0
2	-0.010379704456884492	0.4	-30.0
3	-0.010379704455197387	0.6	-30.0
4	-0.010379704454353832	0.8	-30.0
5	-0.010379704453847694	1.0	-30.0
6	-0.032723831241377135	0.0	-29.9
7	-0.010379704461975586	0.2	-29.9
8	-0.01037970445689566	0.4	-29.9
9	-0.010379704455202352	0.6	-29.9
10	-0.010379704454355689	0.8	-29.9
11	-0.010379704453847694	1.0	-29.9
12	-0.03272319222593034	0.0	-29.799999999999997
13	-0.01037970446200554	0.2	-29.799999999999997
14	-0.0103797044569069	0.4	-29.799999999999997
15	-0.010379704455207339	0.6	-29.799999999999997
16	-0.010379704454357555	0.8	-29.799999999999997
17	-0.010379704453847694	1.0	-29.799999999999997
18	-0.032722548898640465	0.0	-29.699999999999996
19	-0.010379704462035731	0.2	-29.699999999999996
20	-0.010379704456918205	0.4	-29.699999999999996
21	-0.010379704455212366	0.6	-29.699999999999996
22	-0.010379704454359446	0.8	-29.699999999999996
23	-0.010379704453847694	1.0	-29.699999999999996
24	-0.03272190121571383	0.0	-29.599999999999994
25	-0.010379704462066128	0.2	-29.599999999999994
26	-0.010379704456929593	0.4	-29.599999999999994
27	-0.010379704455217445	0.6	-29.599999999999994
28	-0.010379704454361345	0.8	-29.599999999999994
29	-0.010379704453847694	1.0	-29.599999999999994
30	-0.0327212491327978	0.0	-29.499999999999993
31	-0.010379704462096743	0.2	-29.499999999999993
32	-0.010379704456941086	0.4	-29.499999999999993
33	-0.010379704455222542	0.6	-29.499999999999993
34	-0.010379704454363254	0.8	-29.499999999999993
35	-0.010379704453847694	1.0	-29.499999999999993
36	-0.03272059260490351	0.0	-29.39999999999999
37	-0.010379704462127602	0.2	-29.39999999999999
38	-0.010379704456952656	0.4	-29.39999999999999
39	-0.010379704455227675	0.6	-29.39999999999999
40	-0.010379704454365197	0.8	-29.39999999999999
41	-0.010379704453847694	1.0	-29.39999999999999
42	-0.03271993158643628	0.0	-29.29999999999999
43	-0.010379704462158693	0.2	-29.29999999999999
44	-0.010379704456964307	0.4	-29.29999999999999
45	-0.010379704455232862	0.6	-29.29999999999999
46	-0.010379704454367124	0.8	-29.29999999999999
47	-0.010379704453847694	1.0	-29.29999999999999
48	-0.03271926603116529	0.0	-29.19999999999999
49	-0.01037970446219001	0.2	-29.19999999999999
50	-0.010379704456976068	0.4	-29.19999999999999
51	-0.01037970445523808	0.6	-29.19999999999999
52	-0.010379704454369082	0.8	-29.19999999999999
53	-0.010379704453847694	1.0	-29.19999999999999
54	-0.0327185958922483	0.0	-29.099999999999987
55	-0.010379704462221565	0.2	-29.099999999999987
56	-0.010379704456987885	0.4	-29.099999999999987
57	-0.010379704455243353	0.6	-29.099999999999987
58	-0.010379704454371058	0.8	-29.099999999999987
59	-0.010379704453847694	1.0	-29.099999999999987
60	-0.032717921122176155	0.0	-28.999999999999986
61	-0.01037970446225335	0.2	-28.999999999999986
62	-0.010379704456999797	0.4	-28.999999999999986
63	-0.010379704455248637	0.6	-28.999999999999986
64	-0.010379704454373037	0.8	-28.999999999999986
65	-0.010379704453847694	1.0	-28.999999999999986
66	-0.03271724167278673	0.0	-28.899999999999984
67	-0.010379704462285368	0.2	-28.899999999999984
68	-0.010379704457011826	0.4	-28.899999999999984
69	-0.010379704455253987	0.6	-28.899999999999984
70	-0.010379704454375048	0.8	-28.899999999999984
71	-0.010379704453847694	1.0	-28.899999999999984
72	-0.03271655749524288	0.0	-28.799999999999983
73	-0.010379704462317665	0.2	-28.799999999999983
74	-0.010379704457023922	0.4	-28.799999999999983
75	-0.010379704455259356	0.6	-28.799999999999983
76	-0.010379704454377069	0.8	-28.799999999999983
77	-0.010379704453847694	1.0	-28.799999999999983
78	-0.03271586854003786	0.0	-28.69999999999998
79	-0.01037970446235017	0.2	-28.69999999999998
80	-0.010379704457036117	0.4	-28.69999999999998
81	-0.010379704455264774	0.6	-28.69999999999998
82	-0.010379704454379095	0.8	-28.69999999999998
83	-0.010379704453847694	1.0	-28.69999999999998
84	-0.03271517475696123	0.0	-28.59999999999998
85	-0.010379704462382948	0.2	-28.59999999999998
86	-0.01037970445704842	0.4	-28.59999999999998
87	-0.010379704455270238	0.6	-28.59999999999998
88	-0.010379704454381161	0.8	-28.59999999999998
89	-0.010379704453847694	1.0	-28.59999999999998
90	-0.03271447609508766	0.0	-28.49999999999998
91	-0.010379704462415972	0.2	-28.49999999999998
92	-0.010379704457060787	0.4	-28.49999999999998
93	-0.010379704455275748	0.6	-28.49999999999998
94	-0.010379704454383215	0.8	-28.49999999999998
95	-0.010379704453847694	1.0	-28.49999999999998
96	-0.032713772502801705	0.0	-28.399999999999977
97	-0.010379704462449256	0.2	-28.399999999999977
98	-0.010379704457073268	0.4	-28.399999999999977
99	-0.010379704455281283	0.6	-28.399999999999977
100	-0.010379704454385288	0.8	-28.399999999999977
101	-0.010379704453847694	1.0	-28.399999999999977
102	-0.03271306392772971	0.0	-28.299999999999976
103	-0.010379704462482795	0.2	-28.299999999999976
104	-0.01037970445708585	0.4	-28.299999999999976
105	-0.01037970445528687	0.6	-28.299999999999976
106	-0.010379704454387389	0.8	-28.299999999999976
107	-0.010379704453847694	1.0	-28.299999999999976
108	-0.03271235031676173	0.0	-28.199999999999974
109	-0.010379704462516601	0.2	-28.199999999999974
110	-0.010379704457098533	0.4	-28.199999999999974
111	-0.010379704455292526	0.6	-28.199999999999974
112	-0.010379704454389484	0.8	-28.199999999999974
113	-0.010379704453847694	1.0	-28.199999999999974
114	-0.0327116316160387	0.0	-28.099999999999973
115	-0.010379704462550673	0.2	-28.099999999999973
116	-0.010379704457111302	0.4	-28.099999999999973
117	-0.010379704455298192	0.6	-28.099999999999973
118	-0.010379704454391618	0.8	-28.099999999999973
119	-0.010379704453847694	1.0	-28.099999999999973
120	-0.0327109077709275	0.0	-27.99999999999997
121	-0.010379704462585003	0.2	-27.99999999999997
122	-0.010379704457124184	0.4	-27.99999999999997
123	-0.010379704455303904	0.6	-27.99999999999997
124	-0.010379704454393778	0.8	-27.99999999999997
125	-0.010379704453847694	1.0	-27.99999999999997
126	-0.03271017872599985	0.0	-27.89999999999997
127	-0.010379704462619602	0.2	-27.89999999999997
128	-0.010379704457137161	0.4	-27.89999999999997
129	-0.010379704455309679	0.6	-27.89999999999997
130	-0.010379704454395925	0.8	-27.89999999999997
131	-0.010379704453847694	1.0	-27.89999999999997
132	-0.03270944442504075	0.0	-27.79999999999997
133	-0.01037970446265448	0.2	-27.79999999999997
134	-0.01037970445715024	0.4	-27.79999999999997
135	-0.010379704455315504	0.6	-27.79999999999997
136	-0.0103797044543981	0.8	-27.79999999999997
137	-0.010379704453847694	1.0	-27.79999999999997
138	-0.0327087048110142	0.0	-27.699999999999967
139	-0.010379704462689631	0.2	-27.699999999999967
